isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE018A01030,Larsen & Toubro Ltd.,3985014.0,160596.06,0.1614754659817,Construction,BHARATETF,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,51768747.0,132657.41,0.1333838270732,Diversified Fmcg,BHARATETF,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,28745293.0,94198.33,0.0947141494719,Power,BHARATETF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,8865445.0,93973.72,0.0944883095328,Banks,BHARATETF,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,6100467.0,78268.99,0.0786975821957,Banks,BHARATETF,ICICI Prudential AMC,2026-08
INE752E01010,Power Grid Corporation Of India Ltd.,27571246.0,72829.45,0.0732282558858,Power,BHARATETF,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,13151449.0,52868.82,0.0531583237185,Consumable Fuels,BHARATETF,ICICI Prudential AMC,2026-08
INE213A01029,Oil & Natural Gas Corporation Ltd.,22493229.0,52184.29,0.0524700453091,Oil,BHARATETF,ICICI Prudential AMC,2026-08
INE139A01034,National Aluminium Company Ltd.,13410527.0,51027.06,0.0513064784477,Non - Ferrous Metals,BHARATETF,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,12206649.0,50535.53,0.0508122568846,Aerospace & Defense,BHARATETF,ICICI Prudential AMC,2026-08
INE029A01011,Bharat Petroleum Corporation Ltd.,11260144.0,35694.66,0.0358901199478,Petroleum Products,BHARATETF,ICICI Prudential AMC,2026-08
INE242A01010,Indian Oil Corporation Ltd.,21176047.0,28799.42,0.0289571223883,Petroleum Products,BHARATETF,ICICI Prudential AMC,2026-08
INE129A01019,GAIL (India) Ltd.,15548333.0,26898.62,0.027045913821,Gas,BHARATETF,ICICI Prudential AMC,2026-08
INE848E01016,NHPC Ltd.,18839172.0,14129.38,0.0142067508974,Power,BHARATETF,ICICI Prudential AMC,2026-08
INE134E01011,Power Finance Corporation Ltd.,3099224.0,10723.32,0.0107820396955,Finance,BHARATETF,ICICI Prudential AMC,2026-08
INE028A01039,Bank Of Baroda,3973339.0,9450.59,0.009502340369,Banks,BHARATETF,ICICI Prudential AMC,2026-08
INE020B01018,Rural Electrification Corporation Ltd.,2641485.0,8320.68,0.0083662431088,Finance,BHARATETF,ICICI Prudential AMC,2026-08
INE562A01011,Indian Bank,747372.0,6711.4,0.0067481508723,Banks,BHARATETF,ICICI Prudential AMC,2026-08
INE589A01014,NLC India Ltd.,1929335.0,5176.41,0.0052047554395,Power,BHARATETF,ICICI Prudential AMC,2026-08
INE095N01031,NBCC (India) Ltd.,3496520.0,3001.76,0.0030181973005,Construction,BHARATETF,ICICI Prudential AMC,2026-08
INE002L01015,SJVN Ltd.,4279397.0,2767.06,0.0027822121096,Power,BHARATETF,ICICI Prudential AMC,2026-08
INE510A01028,Engineers India Ltd.,938443.0,2457.31,0.0024707659534,Construction,BHARATETF,ICICI Prudential AMC,2026-08
