isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE733E01010,NTPC Ltd.,5770144.0,18891.45,0.0692483148045,Power,HOUSING,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,1256629.0,18271.39,0.0669754289181,Banks,HOUSING,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,2418976.0,17150.54,0.0628668520938,Banks,HOUSING,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,8619320.0,15889.72,0.058245202603,Ferrous Metals,HOUSING,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,563786.0,14960.63,0.0548395393637,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,330409.0,13364.71,0.0489895505824,Construction,HOUSING,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,91616.0,10490.03,0.0384521516214,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-08
INE093I01010,Oberoi Realty Ltd.,560556.0,10471.19,0.0383830919012,Realty,HOUSING,ICICI Prudential AMC,2026-08
INE070A01015,Shree Cements Ltd.,42920.0,9957.44,0.0364998949136,Cement & Cement Products,HOUSING,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,753479.0,7986.88,0.0292766294035,Banks,HOUSING,ICICI Prudential AMC,2026-08
INE791I01019,Brigade Enterprises Ltd.,1208513.0,7926.03,0.0290535782372,Realty,HOUSING,ICICI Prudential AMC,2026-08
INE472A01039,Blue Star Ltd.,461923.0,6761.63,0.0247853649577,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,471969.0,6171.94,0.0226238030471,Ferrous Metals,HOUSING,ICICI Prudential AMC,2026-08
INE702C01027,APL Apollo Tubes Ltd.,262882.0,5844.92,0.0214250817257,Industrial Products,HOUSING,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,457127.0,5687.12,0.0208466515852,Consumer Durables,HOUSING,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,422603.0,5493.84,0.020138166303,Banks,HOUSING,ICICI Prudential AMC,2026-08
INE671H01015,Sobha Ltd.,428519.0,5381.77,0.0197273636044,Realty,HOUSING,ICICI Prudential AMC,2026-08
