isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE062A01020,State Bank Of India,2926335,31019.15,0.1676397061038,Banks,PSUEQU,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,5115627,16748.56,0.0905158160705,Power,PSUEQU,ICICI Prudential AMC,2026-08
INE752E01010,Power Grid Corporation Of India Ltd.,5335745,14062.36,0.0759985330844,Power,PSUEQU,ICICI Prudential AMC,2026-08
INE0J1Y01017,Life Insurance Corporation of India,2656098,11102.49,0.0600022296104,Insurance,PSUEQU,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,2640742,10944.56,0.0591487136764,Aerospace & Defense,PSUEQU,ICICI Prudential AMC,2026-08
INE213A01029,Oil & Natural Gas Corporation Ltd.,3837331,8894.93,0.048071705737,Oil,PSUEQU,ICICI Prudential AMC,2026-08
INE242A01010,Indian Oil Corporation Ltd.,6187174,8608.22,0.0465222119522,Petroleum Products,PSUEQU,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,1599733,6426.93,0.0347336615074,Consumable Fuels,PSUEQU,ICICI Prudential AMC,2026-08
INE029A01011,Bharat Petroleum Corporation Ltd.,1909375,6187.33,0.0334387687208,Petroleum Products,PSUEQU,ICICI Prudential AMC,2026-08
INE335Y01020,Indian Railway Catering and Tourism Corporation Ltd.,1038865,4999.54,0.0270194836497,Leisure Services,PSUEQU,ICICI Prudential AMC,2026-08
INE274J01014,Oil India Ltd.,984223,4755.27,0.0256993523434,Oil,PSUEQU,ICICI Prudential AMC,2026-08
INE481Y01014,General Insurance Corporation of India,1163525,4127.6,0.0223071764027,Insurance,PSUEQU,ICICI Prudential AMC,2026-08
INE028A01039,Bank Of Baroda,1624879,3876.96,0.0209526191071,Banks,PSUEQU,ICICI Prudential AMC,2026-08
INE848E01016,NHPC Ltd.,4709853,3613.4,0.0195282370418,Power,PSUEQU,ICICI Prudential AMC,2026-08
