isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE775A01035,Samvardhana Motherson International Ltd.,4966154.0,8476.23,0.0391881389847,Auto Components,MOMACT,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,254355.0,8347.93,0.0385949698244,Automobiles,MOMACT,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,560069.0,7280.9,0.0336617719356,Banks,MOMACT,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,128034.0,6532.81,0.0302031287779,Consumer Durables,MOMACT,ICICI Prudential AMC,2026-08
INE298J01013,Nippon Life India Asset Management Ltd,526751.0,6175.1,0.0285493287752,Capital Markets,MOMACT,ICICI Prudential AMC,2026-08
INE526E01018,SPR Auto Technologies Ltd.,130297.0,6005.65,0.0277659108936,Auto Components,MOMACT,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,548133.0,5793.77,0.0267863264689,Finance,MOMACT,ICICI Prudential AMC,2026-08
INE944F01028,Radico Khaitan Ltd.,129156.0,5792.65,0.0267811483749,Beverages,MOMACT,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,1719573.0,5641.92,0.0260842786357,Retailing,MOMACT,ICICI Prudential AMC,2026-08
INE437A01024,Apollo Hospitals Enterprise Ltd.,62595.0,5570.02,0.0257518634944,Healthcare Services,MOMACT,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,135464.0,5479.38,0.0253328077447,Construction,MOMACT,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,374500.0,5445.23,0.0251749221108,Banks,MOMACT,ICICI Prudential AMC,2026-08
INE572E01012,PNB Housing Finance Ltd.,469125.0,5388.84,0.0249142143248,Finance,MOMACT,ICICI Prudential AMC,2026-08
INE388Y01029,FSN E-Commerce Ventures Ltd.,1541158.0,5387.12,0.0249062622519,Retailing,MOMACT,ICICI Prudential AMC,2026-08
INE00H001014,Swiggy Ltd,1906550.0,5374.56,0.0248481936264,Retailing,MOMACT,ICICI Prudential AMC,2026-08
INE298A01020,Cummins India Ltd.,102635.0,5239.52,0.0242238634361,Industrial Products,MOMACT,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,2821217.0,5200.91,0.0240453578922,Ferrous Metals,MOMACT,ICICI Prudential AMC,2026-08
INE066F01020,Hindustan Aeronautics Ltd.,107641.0,5168.49,0.0238954705643,Aerospace & Defense,MOMACT,ICICI Prudential AMC,2026-08
INE1NPP01017,SIEMENS ENERGY INDIA LTD,159177.0,5140.78,0.0237673589709,Electrical Equipment,MOMACT,ICICI Prudential AMC,2026-08
INE0V6F01027,Hyundai Motor India Ltd.,232400.0,5124.42,0.0236917218122,Automobiles,MOMACT,ICICI Prudential AMC,2026-08
INE878B01027,KEI Industries Ltd.,88786.0,5096.58,0.02356300919,Industrial Products,MOMACT,ICICI Prudential AMC,2026-08
INE1TAE01010,Tata Motors Ltd.,1078593.0,5081.25,0.0234921340284,"Agricultural, Commercial & Construction Vehicles",MOMACT,ICICI Prudential AMC,2026-08
INE114A01011,Steel Authority Of India Ltd.,2543360.0,4959.55,0.0229294786363,Ferrous Metals,MOMACT,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,1178715.0,4885.18,0.0225856439485,Aerospace & Defense,MOMACT,ICICI Prudential AMC,2026-08
INE146L01010,Kirloskar Oil Engines Ltd.,215360.0,4521.27,0.0209031794969,Industrial Products,MOMACT,ICICI Prudential AMC,2026-08
INE067A01029,CG Power and Industrial Solutions Ltd.,491479.0,4501.95,0.0208138573755,Electrical Equipment,MOMACT,ICICI Prudential AMC,2026-08
INE372A01015,Apar Industries Ltd.,25304.0,4479.31,0.020709185904,Electrical Equipment,MOMACT,ICICI Prudential AMC,2026-08
INE200A01026,Ge Vernova T&D India Ltd.,100650.0,4474.09,0.0206850522874,Electrical Equipment,MOMACT,ICICI Prudential AMC,2026-08
INE0LEZ01016,Ather Energy LTD.,260300.0,4471.17,0.0206715522566,Automobiles,MOMACT,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,100931.0,4381.72,0.0202579982318,Automobiles,MOMACT,ICICI Prudential AMC,2026-08
INE745G01043,Multi Commodity Exchange Of India Ltd.,127500.0,4335.0,0.0200419977394,Capital Markets,MOMACT,ICICI Prudential AMC,2026-08
INE118H01025,BSE Ltd.,129720.0,4257.41,0.0196832760313,Capital Markets,MOMACT,ICICI Prudential AMC,2026-08
INE386C01029,Astra Microwave Products Ltd.,233020.0,3882.11,0.0179481522132,Aerospace & Defense,MOMACT,ICICI Prudential AMC,2026-08
INE741K01010,CreditAccess Grameen Ltd.,282786.0,3855.79,0.0178264670043,Finance,MOMACT,ICICI Prudential AMC,2026-08
INE949L01017,AU Small Finance Bank Ltd.,346982.0,3768.92,0.0174248410888,Banks,MOMACT,ICICI Prudential AMC,2026-08
INE956O01016,Lenskart Solutions Ltd.,558750.0,3701.16,0.0171115664021,Retailing,MOMACT,ICICI Prudential AMC,2026-08
INE459N01021,Manipal Health Enterprises Ltd.,423275.0,3228.74,0.0149274278618,Healthcare Services,MOMACT,ICICI Prudential AMC,2026-08
INE594H01019,Thyrocare Technologies Ltd.,468406.0,2831.51,0.013090915114,Healthcare Services,MOMACT,ICICI Prudential AMC,2026-08
INE055S01018,CYIENT DLM LTD,328500.0,2769.26,0.0128031148004,Aerospace & Defense,MOMACT,ICICI Prudential AMC,2026-08
INE419M01035,TD Power Systems Ltd.,304150.0,2363.25,0.0109260094942,Electrical Equipment,MOMACT,ICICI Prudential AMC,2026-08
INE726V01018,Pricol Ltd,288782.0,2319.64,0.0107243874593,Auto Components,MOMACT,ICICI Prudential AMC,2026-08
INE663F01032,Info Edge (India) Ltd.,175000.0,2297.75,0.0106231834615,Retailing,MOMACT,ICICI Prudential AMC,2026-08
INE921L01032,Powerica Ltd,441307.0,2290.38,0.0105891097537,Electrical Equipment,MOMACT,ICICI Prudential AMC,2026-08
INE119A01028,Balrampur Chini Mills Ltd.,161043.0,1116.83,0.0051634381396,Agricultural Food & Other Products,MOMACT,ICICI Prudential AMC,2026-08
