isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K013J1,ICICI Prudential  Banking and Financial Services Fund - Direct - Growth,175251652.225,262912.53,0.2787707823775,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109K01Z48,ICICI Prudential Technology Fund - Direct - Growth,87741931.264,181827.6,0.19279500414,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109KC1YD4,ICICI Prudential Bharat Consumption Fund - Direct - Growth,290761960.776,79639.7,0.0844433754348,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109KC1GH2,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Growth,139911213.521,66793.61,0.0708224401382,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109KC12K1,ICICI Prudential Transportation & Logistic Fund - Direct Plan -  Growth,278409830.526,66762.68,0.0707896445149,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109K018C5,ICICI Prudential Gilt Fund - Direct Plan - Growth,56758933.8,66476.35,0.0704860437769,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109K016B1,ICICI Prudential Corporate Bond Fund- Direct Plan -  Growth,169197170.068,56694.42,0.0601140912524,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109KC12Z9,ICICI Prudential Rural Opportunities Fund - Direct Plan -  Growth,459247916.626,51343.92,0.0544408619426,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109K01O82,ICICI Prudential Savings Fund - Direct - Growth,8030616.11,47725.94,0.0506046540783,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109K01Z14,ICICI Prudential FMCG Fund - Direct Plan - Growth,8244079.322,36391.01,0.0385860283235,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
INF109K01P57,ICICI Prudential Floating Interest Fund - Direct Plan,3990820.313,19999.33,0.0212056415535,Capital Markets,VERAGG,ICICI Prudential AMC,2026-08
