isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE123W01016,SBI Life Insurance Company Ltd.,88312.0,1538.62,0.2535194311637,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE795G01014,HDFC Life Insurance Company Ltd.,216201.0,1175.92,0.1937571131884,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE180A01020,Max Financial Services Ltd.,52583.0,824.26,0.1358138632872,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE765G01017,ICICI Lombard General Insurance Company Ltd.,48959.0,763.71,0.1258369998921,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE0J1Y01017,Life Insurance Corporation of India,101381.0,423.06,0.0697078749451,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,78465.0,400.96,0.0660664433839,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE575P01011,Star Health & Allied Insurance,47184.0,267.91,0.0441437072201,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE481Y01014,General Insurance Corporation of India,63283.0,224.53,0.036995956038,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE03JT01014,Go Digit General Insurance Ltd,50001.0,129.13,0.0212768351809,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE995S01015,Niva Bupa Health Insurance Company Ltd.,133320.0,108.31,0.0178463100631,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE470Y01017,The New India Assurance Company Ltd.,49549.0,94.84,0.015626849288,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE01TY01017,Canara HSBC Life Insurance Co Ltd,47595.0,73.39,0.012092518655,Insurance,INSURETF,ICICI Prudential AMC,2026-08
INE456Z01021,Medi Assist Healthcare Services Ltd,13439.0,44.21,0.007284510829,Insurance,INSURETF,ICICI Prudential AMC,2026-08
