isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE171A01029,The Federal Bank Ltd.,198217.0,691.78,0.0589247712483,Banks,MIDETF,ICICI Prudential AMC,2026-08
INE947Q01028,Laurus Labs Ltd.,30829.0,587.91,0.0500772821773,Pharmaceuticals & Biotechnology,MIDETF,ICICI Prudential AMC,2026-08
INE982J01020,One 97 Communications Ltd,33984.0,570.39,0.0485849551481,Financial Technology (Fintech),MIDETF,ICICI Prudential AMC,2026-08
INE591G01025,COFORGE Ltd.,28056.0,558.02,0.0475312973084,It - Software,MIDETF,ICICI Prudential AMC,2026-08
INE417T01026,PB Fintech Ltd.,30144.0,551.03,0.0469358997094,Financial Technology (Fintech),MIDETF,ICICI Prudential AMC,2026-08
INE257A01026,Bharat Heavy Electricals Ltd.,117630.0,510.51,0.0434844675619,Electrical Equipment,MIDETF,ICICI Prudential AMC,2026-08
INE262H01021,Persistent Systems Ltd.,8754.0,491.23,0.0418422264019,It - Software,MIDETF,ICICI Prudential AMC,2026-08
INE949L01017,AU Small Finance Bank Ltd.,45156.0,489.94,0.0417323461583,Banks,MIDETF,ICICI Prudential AMC,2026-08
INE935N01020,Dixon Technologies (India) Ltd.,3325.0,489.61,0.0417042372588,Consumer Durables,MIDETF,ICICI Prudential AMC,2026-08
INE040H01021,Suzlon Energy Ltd.,970783.0,460.15,0.0391948791378,Electrical Equipment,MIDETF,ICICI Prudential AMC,2026-08
INE092T01019,IDFC First Bank Ltd.,533143.0,453.44,0.0386233315141,Banks,MIDETF,ICICI Prudential AMC,2026-08
INE465A01025,Bharat Forge Ltd.,21534.0,442.31,0.0376752949938,Auto Components,MIDETF,ICICI Prudential AMC,2026-08
INE200A01026,Ge Vernova T&D India Ltd.,9885.0,428.91,0.0365339033162,Electrical Equipment,MIDETF,ICICI Prudential AMC,2026-08
INE208A01029,Ashok Leyland Ltd.,226777.0,397.2,0.0338328936075,"Agricultural, Commercial & Construction Vehicles",MIDETF,ICICI Prudential AMC,2026-08
INE061F01013,Fortis Healthcare Ltd.,41899.0,380.44,0.0324053022257,Healthcare Services,MIDETF,ICICI Prudential AMC,2026-08
INE406A01037,Aurobindo Pharma Ltd.,22423.0,378.95,0.0322783862854,Pharmaceuticals & Biotechnology,MIDETF,ICICI Prudential AMC,2026-08
INE388Y01029,FSN E-Commerce Ventures Ltd.,110549.0,377.97,0.0321949113717,Retailing,MIDETF,ICICI Prudential AMC,2026-08
INE702C01027,APL Apollo Tubes Ltd.,16079.0,357.92,0.0304870827795,Industrial Products,MIDETF,ICICI Prudential AMC,2026-08
INE180A01020,Max Financial Services Ltd.,21096.0,330.69,0.0281676726764,Insurance,MIDETF,ICICI Prudential AMC,2026-08
INE528G01035,Yes Bank Ltd.,1413455.0,319.44,0.0272094147381,Banks,MIDETF,ICICI Prudential AMC,2026-08
INE211B01039,The Phoenix Mills Ltd.,14958.0,281.92,0.0240135180409,Realty,MIDETF,ICICI Prudential AMC,2026-08
INE094A01015,Hindustan Petroleum Corporation Ltd.,77016.0,277.26,0.0236165863082,Petroleum Products,MIDETF,ICICI Prudential AMC,2026-08
INE776C01039,Gmr Airports Ltd.,288759.0,271.0,0.0230833690021,Transport Infrastructure,MIDETF,ICICI Prudential AMC,2026-08
INE414G01012,Muthoot Finance Ltd.,8718.0,260.67,0.0222034752686,Finance,MIDETF,ICICI Prudential AMC,2026-08
INE356A01018,Mphasis Ltd.,10592.0,256.33,0.0218338006506,It - Software,MIDETF,ICICI Prudential AMC,2026-08
INE628A01036,UPL Ltd.,44813.0,252.07,0.0214709403113,Fertilizers & Agrochemicals,MIDETF,ICICI Prudential AMC,2026-08
INE974X01010,Tube Investments of India Ltd.,8406.0,233.48,0.0198874723048,Auto Components,MIDETF,ICICI Prudential AMC,2026-08
INE226A01021,Voltas Ltd.,18097.0,217.16,0.0184973594557,Consumer Durables,MIDETF,ICICI Prudential AMC,2026-08
INE484J01027,Godrej Properties Ltd.,10175.0,204.63,0.0174300730587,Realty,MIDETF,ICICI Prudential AMC,2026-08
INE259A01022,Colgate - Palmolive (India) Ltd.,10500.0,194.67,0.016581695364,Personal Products,MIDETF,ICICI Prudential AMC,2026-08
