isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,3074125.0,21795.55,0.1184743965705,Banks,SINDEX,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,1446035.0,20967.51,0.1139734071788,Banks,SINDEX,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,1364710.0,17536.52,0.0953235236067,Petroleum Products,SINDEX,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,614481.0,11245.0,0.0611246144022,Telecom - Services,SINDEX,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,235841.0,9504.39,0.0516631546357,Construction,SINDEX,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,837788.0,8880.55,0.0482721382329,Banks,SINDEX,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,703470.0,7924.94,0.0430777146875,It - Software,SINDEX,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,576961.0,7402.41,0.0402373905644,Banks,SINDEX,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,1484539.0,6209.08,0.0337507888655,Banks,SINDEX,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,180581.0,5997.1,0.0325985260143,Automobiles,SINDEX,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,539962.0,5748.98,0.0312498164256,Finance,SINDEX,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,1945872.0,4986.3,0.0271041053618,Diversified Fmcg,SINDEX,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,204323.0,4830.2,0.026255590261,It - Software,SINDEX,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,1459805.0,4783.78,0.0260032643739,Retailing,SINDEX,ICICI Prudential AMC,2026-08
INE044A01036,Sun Pharmaceutical Industries Ltd.,217759.0,4259.37,0.0231527211068,Pharmaceuticals & Biotechnology,SINDEX,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,82363.0,4213.53,0.0229035479344,Consumer Durables,SINDEX,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,180078.0,3592.56,0.0195281320335,Diversified Fmcg,SINDEX,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,25993.0,3503.86,0.0190459841191,Automobiles,SINDEX,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,958315.0,3140.4,0.0170703191701,Power,SINDEX,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,1661761.0,3057.64,0.0166204594024,Ferrous Metals,SINDEX,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,722423.0,2990.83,0.0162572992879,Aerospace & Defense,SINDEX,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,213455.0,2794.13,0.0151880941609,It - Software,SINDEX,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,23773.0,2733.9,0.0148607010506,Cement & Cement Products,SINDEX,ICICI Prudential AMC,2026-08
INE742F01042,Adani Ports and Special Economic Zone Ltd.,148697.0,2431.2,0.0132153101409,Transport Infrastructure,SINDEX,ICICI Prudential AMC,2026-08
INE752E01010,Power Grid Corporation Of India Ltd.,919173.0,2428.0,0.0131979158531,Power,SINDEX,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,45230.0,2344.72,0.0127452295136,Transport Services,SINDEX,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,90927.0,2343.1,0.0127364236554,Consumer Durables,SINDEX,ICICI Prudential AMC,2026-08
INE918I01026,Bajaj Finserv Ltd.,112984.0,2280.53,0.0123963109722,Finance,SINDEX,ICICI Prudential AMC,2026-08
INE669C01036,Tech Mahindra Ltd.,128471.0,2087.91,0.0113492835621,It - Software,SINDEX,ICICI Prudential AMC,2026-08
INE849A01020,Trent Ltd.,66676.0,1920.27,0.010438040311,Retailing,SINDEX,ICICI Prudential AMC,2026-08
