isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE603J01030,PI Industries Ltd.,28206.0,668.48,0.0320615801076,Fertilizers & Agrochemicals,BALHYBID,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,46923.0,610.0,0.0292567673912,Banks,BALHYBID,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,72443.0,513.62,0.0246341981434,Banks,BALHYBID,ICICI Prudential AMC,2026-08
INE123W01016,SBI Life Insurance Company Ltd.,27201.0,473.43,0.0227066088295,Insurance,BALHYBID,ICICI Prudential AMC,2026-08
INE089A01031,Dr. Reddy's Laboratories Ltd.,39887.0,460.46,0.0220845428081,Pharmaceuticals & Biotechnology,BALHYBID,ICICI Prudential AMC,2026-08
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,88617.0,458.19,0.0219756692639,Insurance,BALHYBID,ICICI Prudential AMC,2026-08
INE517F01014,Gujarat Pipavav Port Ltd.,243705.0,408.35,0.0195852474823,Transport Infrastructure,BALHYBID,ICICI Prudential AMC,2026-08
INE540H01012,Voltamp Transformers Ltd.,3544.0,386.6,0.0185420758581,Electrical Equipment,BALHYBID,ICICI Prudential AMC,2026-08
INE324A01032,Jindal Saw Ltd.,122295.0,378.69,0.0181626971203,Industrial Products,BALHYBID,ICICI Prudential AMC,2026-08
INE795G01014,HDFC Life Insurance Company Ltd.,65719.0,357.08,0.017126240164,Insurance,BALHYBID,ICICI Prudential AMC,2026-08
INE084101034,Indo-Mim Ltd.,40027.0,350.42,0.0168068138184,Industrial Manufacturing,BALHYBID,ICICI Prudential AMC,2026-08
INE1CDF01017,Vedanta Aluminium Metal Ltd.,76464.0,332.73,0.015958367564,Non - Ferrous Metals,BALHYBID,ICICI Prudential AMC,2026-08
INE04I401011,KPIT Technologies Ltd,55706.0,325.88,0.0156298284548,It - Software,BALHYBID,ICICI Prudential AMC,2026-08
INE765G01017,ICICI Lombard General Insurance Company Ltd.,20075.0,314.56,0.0150868995911,Insurance,BALHYBID,ICICI Prudential AMC,2026-08
INE203G01027,Indraprastha Gas Ltd.,208627.0,313.96,0.0150581224428,Gas,BALHYBID,ICICI Prudential AMC,2026-08
INE018E01016,SBI Cards & Payment Services Ltd.,48461.0,312.45,0.0149856999531,Finance,BALHYBID,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,24396.0,311.54,0.0149420546115,Petroleum Products,BALHYBID,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,15525.0,305.44,0.0146494869376,Diversified Fmcg,BALHYBID,ICICI Prudential AMC,2026-08
INE804L01022,Medplus Health Services Ltd,45266.0,304.3,0.0145948103559,Retailing,BALHYBID,ICICI Prudential AMC,2026-08
INE278Y01022,Campus Activewear Ltd,129056.0,291.91,0.0140005622445,Consumer Durables,BALHYBID,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,6687.0,270.48,0.0129727384327,Construction,BALHYBID,ICICI Prudential AMC,2026-08
INE098F01031,Amrutanjan Health Care Ltd.,52606.0,267.95,0.0128513947909,Pharmaceuticals & Biotechnology,BALHYBID,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,7908.0,259.54,0.0124480350962,Automobiles,BALHYBID,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,20840.0,259.27,0.0124350853795,Consumer Durables,BALHYBID,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,73792.0,241.6,0.0115875983634,Power,BALHYBID,ICICI Prudential AMC,2026-08
INE597I01028,Sharda Motor Industries Ltd,26276.0,231.99,0.0111266843722,Auto Components,BALHYBID,ICICI Prudential AMC,2026-08
INE102D01028,Godrej Consumer Products Ltd.,23846.0,214.92,0.0103079745044,Personal Products,BALHYBID,ICICI Prudential AMC,2026-08
INE0JUS01029,Harsha Engineers International Ltd.,47089.0,214.68,0.0102964636451,Industrial Products,BALHYBID,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,4913.0,213.29,0.010229796585,Automobiles,BALHYBID,ICICI Prudential AMC,2026-08
INE536H01010,CIE Automotive India Ltd,48065.0,187.96,0.0090149213096,Auto Components,BALHYBID,ICICI Prudential AMC,2026-08
INE482A01020,CEAT Ltd.,5369.0,183.6,0.0088058073656,Auto Components,BALHYBID,ICICI Prudential AMC,2026-08
INE00WV01027,CMR Green Technologies Limited,77165.0,178.08,0.0085410576016,Industrial Products,BALHYBID,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,40000.0,167.76,0.0080460906517,Banks,BALHYBID,ICICI Prudential AMC,2026-08
INE871C01038,Avanti Feeds Ltd.,15167.0,125.08,0.0059990761726,Food Products,BALHYBID,ICICI Prudential AMC,2026-08
INE845D01014,Ganesha Ecosphere Ltd,11980.0,122.4,0.0058705382437,Textiles & Apparels,BALHYBID,ICICI Prudential AMC,2026-08
INE133A01011,Jsw Dulux Ltd.,3132.0,99.11,0.0047535052723,Consumer Durables,BALHYBID,ICICI Prudential AMC,2026-08
INE146L01010,Kirloskar Oil Engines Ltd.,1583.0,33.23,0.0015937743941,Industrial Products,BALHYBID,ICICI Prudential AMC,2026-08
INE873D01024,Indoco Remedies Ltd.,4953.0,12.05,0.0005779410607,Pharmaceuticals & Biotechnology,BALHYBID,ICICI Prudential AMC,2026-08
INE0O6601022,Kross Ltd.,977.0,2.08,9.97607806e-05,Auto Components,BALHYBID,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,500000.0,499.57,0.0239603332551,SOV,BALHYBID,ICICI Prudential AMC,2026-08
IN3520260057,State Government of Chhattisgarh,500000.0,491.43,0.0235699232771,SOV,BALHYBID,ICICI Prudential AMC,2026-08
INE261F08EK5,NABARD,1500.0,1495.12,0.071708816495,CRISIL AAA,BALHYBID,ICICI Prudential AMC,2026-08
INE020B08EK4,Rural Electrification Corporation Ltd. **,1000.0,998.13,0.0478722249773,CRISIL AAA,BALHYBID,ICICI Prudential AMC,2026-08
INE0CCU07215,MINDSPACE BUSINESS PARKS REIT **,750.0,747.7,0.0358611229154,ICRA AAA,BALHYBID,ICICI Prudential AMC,2026-08
INE414G07KC4,Muthoot Finance Ltd. **,750.0,745.81,0.0357704748984,CRISIL AA+,BALHYBID,ICICI Prudential AMC,2026-08
INE205A08038,Vedanta Ltd.,500.0,501.84,0.0240692067993,ICRA AA+,BALHYBID,ICICI Prudential AMC,2026-08
INE213W07392,SMFG India Home Finance Company Ltd. **,500.0,498.03,0.0238864719079,CARE AAA,BALHYBID,ICICI Prudential AMC,2026-08
INE522D07CK1,Manappuram Finance Ltd. **,500.0,497.97,0.0238835941931,CRISIL AA,BALHYBID,ICICI Prudential AMC,2026-08
INE216P07308,Aavas Financiers Ltd. **,500.0,497.31,0.02385193933,CARE AA,BALHYBID,ICICI Prudential AMC,2026-08
INE028A16LG5,Bank Of Baroda **,200.0,972.29,0.0466328891259,FITCH A1+,BALHYBID,ICICI Prudential AMC,2026-08
