isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,10972843,159545.14,0.140809348834,Banks,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,19287181,136746.11,0.1206876668552,Banks,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,25301678,106115.24,0.0936538577469,Banks,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,7800554,101407.2,0.0894986948464,Banks,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,5465748,57936.93,0.0511332491027,Banks,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE018E01016,SBI Cards & Payment Services Ltd.,5346071,34468.79,0.0304210324112,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE115A01026,LIC Housing Finance Ltd.,5781902,31129.76,0.027474113188,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE123W01016,SBI Life Insurance Company Ltd.,1780261,30985.44,0.0273467410523,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE795G01014,HDFC Life Insurance Company Ltd.,5428988,29498.41,0.0260343367635,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE918I01026,Bajaj Finserv Ltd.,1286820,26006.63,0.0229526053608,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE765G01017,ICICI Lombard General Insurance Company Ltd.,1573420,24653.92,0.0217587475331,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE572E01012,PNB Housing Finance Ltd.,1836327,21093.89,0.0186167809014,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE463V01026,Anand Rathi Wealth Ltd.,900480,19848.38,0.0175175343054,Capital Markets,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE756I01012,HDB Financial Services Ltd.,2873887,19609.97,0.0173071213974,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE477A01020,Can Fin Homes Ltd.,2378215,18913.94,0.0166928279688,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE118H01025,BSE Ltd.,563480,18493.41,0.0163216818752,Capital Markets,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE745G01043,Multi Commodity Exchange Of India Ltd.,487387,16571.16,0.0146251665768,Capital Markets,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE0J1Y01017,Life Insurance Corporation of India,3890600,16262.71,0.014352938644,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE216P01012,Aavas Financiers Ltd.,1176831,14842.19,0.0130992339169,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE202B01038,Piramal Finance Ltd,643195,14796.06,0.01305852108,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,1392739,14721.25,0.0129924962084,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE852O01025,Aptus Value Housing Finance,5878027,14627.47,0.0129097290321,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE180A01020,Max Financial Services Ltd.,836325,13156.23,0.0116112604834,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE03JT01014,Go Digit General Insurance Ltd,5050345,12999.59,0.0114730151166,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE640G01020,SBI Funds Management Ltd.,2047226,11822.73,0.0104343567766,Capital Markets,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE094J01016,UTI Asset Management Co Ltd,1208997,10524.92,0.0092889519024,Capital Markets,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE732I01021,Angel One Ltd.,3602035,10334.24,0.0091206639393,Capital Markets,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE483A01010,Central Bank Of India,32731429,9891.44,0.0087298630684,Banks,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE612J01015,Repco Home Finance Ltd.,2548140,9249.75,0.0081635283555,Finance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
INE456Z01021,Medi Assist Healthcare Services Ltd,2808410,9245.29,0.0081595921046,Insurance,BANFIN SERVICES,ICICI Prudential AMC,2026-08
