isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,31879000.0,28939.92,0.0333908545511,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN2120250138,State Government of Madhya Pradesh,12245500.0,12067.06,0.0139229633433,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,11988800.0,11522.53,0.0132946851025,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN2120250120,State Government of Madhya Pradesh,9991000.0,9846.75,0.0113611715945,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,7759200.0,7752.54,0.0089448739161,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN3520260057,State Government of Chhattisgarh,5000000.0,4914.25,0.0056700573801,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,4960700.0,4758.7,0.0054905839253,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN4520250684,State Government of Telangana,4405600.0,4424.21,0.0051046496539,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,4153400.0,3998.47,0.0046134312118,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,3500000.0,3357.98,0.0038744344063,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,2762800.0,2682.71,0.003095308467,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,2329600.0,2282.69,0.0026337657386,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN2220250186,State Government of Maharashtra,2280000.0,2143.45,0.0024731107476,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN1320250112,State Government of Bihar,1707100.0,1687.47,0.0019470014198,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020240118,Government Securities,772650.0,729.68,0.00084190415,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN2220250319,State Government of Maharashtra,655800.0,639.03,0.0007373122587,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,577700.0,558.62,0.0006445352706,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020200120,Government Securities,181170.0,188.95,0.0002180103458,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020250042,Government Securities,25450.0,24.57,,SOV,BANPSU,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,1630.0,1.67,,SOV,BANPSU,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,37500.0,37421.21,0.0431765595841,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-08
INE115A07RF8,LIC Housing Finance Ltd. **,32500.0,32450.93,0.0374418548385,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
INE261F08EI9,NABARD **,25000.0,25029.85,0.0288794191824,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-08
INE020B08FZ9,Rural Electrification Corporation Ltd. **,25000.0,24834.0,0.0286534476226,ICRA AAA,BANPSU,ICICI Prudential AMC,2026-08
INE134E08OC3,Power Finance Corporation Ltd. **,25000.0,24782.28,0.0285937731315,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
INE556F08KQ2,Small Industries Development Bank Of India. **,20000.0,20011.04,0.0230887205651,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
INE134E08OA7,Power Finance Corporation Ltd. **,20000.0,19819.2,0.0228673757398,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
INE040A08427,HDFC Bank Ltd.( Tier II Bond under Basel III ) **,182.0,18144.45,0.0209350506449,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
INE153A08170,Mahanagar Telephone Nigam Ltd. **,17500.0,17216.4,0.0198642673613,FITCH AAA(CE),BANPSU,ICICI Prudential AMC,2026-08
INE040A08724,HDFC Bank Ltd. **,1500.0,15249.71,0.017595102148,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
INE040A08393,HDFC Bank Ltd. **,1500.0,15217.92,0.0175584228737,CRISIL AAA,BANPSU,ICICI Prudential AMC,2026-08
