isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE030A01027,Hindustan Unilever Ltd.,1458023.0,28685.14,0.0885833303696,Diversified Fmcg,BHACON,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,840255.0,27577.17,0.0851617792617,Automobiles,BHACON,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,921593.0,16698.34,0.0515665800775,Telecom - Services,BHACON,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,4868879.0,15974.79,0.0493321664163,Retailing,BHACON,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,115491.0,15645.57,0.0483154935319,Automobiles,BHACON,ICICI Prudential AMC,2026-08
INE849A01020,Trent Ltd.,538773.0,15516.12,0.0479157356044,Retailing,BHACON,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,245545.0,12851.83,0.0396880720381,Transport Services,BHACON,ICICI Prudential AMC,2026-08
INE053A01029,The Indian Hotels Company Ltd.,1293653.0,9545.87,0.0294788505782,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,213201.0,9255.7,0.0285827690191,Automobiles,BHACON,ICICI Prudential AMC,2026-08
INE797F01020,Jubilant Foodworks Ltd.,1728542.0,8573.57,0.0264762655422,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,162795.0,8546.74,0.0263934111182,Food Products,BHACON,ICICI Prudential AMC,2026-08
INE0V6F01027,Hyundai Motor India Ltd.,368549.0,8126.51,0.0250956878747,Automobiles,BHACON,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,3028433.0,7737.65,0.0238948391479,Diversified Fmcg,BHACON,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,620697.0,7722.09,0.0238467879053,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,137371.0,7009.22,0.0216453554312,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE951I01027,V-Guard Industries Ltd.,1772551.0,6139.23,0.0189587165795,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE459N01021,Manipal Health Enterprises Ltd.,781315.0,5959.87,0.0184048302769,Healthcare Services,BHACON,ICICI Prudential AMC,2026-08
INE854D01024,United Spirits Ltd.,393030.0,5856.15,0.0180845298347,Beverages,BHACON,ICICI Prudential AMC,2026-08
INE192R01011,Avenue Supermarts Ltd.,146579.0,5716.58,0.0176535200708,Retailing,BHACON,ICICI Prudential AMC,2026-08
INE318A01026,Pidilite Industries Ltd.,305175.0,5150.44,0.0159052083437,Chemicals & Petrochemicals,BHACON,ICICI Prudential AMC,2026-08
INE00IT01020,Milky Mist Dairy Food Ltd.,2438316.0,5143.38,0.0158834061732,Food Products,BHACON,ICICI Prudential AMC,2026-08
INE102D01028,Godrej Consumer Products Ltd.,545122.0,4913.18,0.0151725195381,Personal Products,BHACON,ICICI Prudential AMC,2026-08
INE043W01024,Vijaya Diagnostic Centre Ltd.,313166.0,4755.11,0.0146843794408,Healthcare Services,BHACON,ICICI Prudential AMC,2026-08
INE825V01034,Vedant Fashions Ltd.,852854.0,4650.19,0.0143603732473,Retailing,BHACON,ICICI Prudential AMC,2026-08
INE0Q9301021,International Gemmological Institute (India) Ltd.,1361552.0,4642.21,0.0143357300008,Commercial Services & Supplies,BHACON,ICICI Prudential AMC,2026-08
INE0KCE01017,Eureka Forbes Ltd.,1043109.0,4479.11,0.013832056629,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,292284.0,4374.03,0.0135075563353,Food Products,BHACON,ICICI Prudential AMC,2026-08
INE686F01025,United Breweries Ltd.,323907.0,4238.32,0.0130884667382,Beverages,BHACON,ICICI Prudential AMC,2026-08
INE961O01016,Rainbow Childrens Medicare Ltd,259543.0,3671.75,0.0113388271169,Healthcare Services,BHACON,ICICI Prudential AMC,2026-08
INE00H001014,Swiggy Ltd,1190536.0,3356.12,0.0103641218665,Retailing,BHACON,ICICI Prudential AMC,2026-08
INE531A01024,Kansai Nerolac Paints Ltd.,1695763.0,3269.6,0.0100969371938,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE699H01024,Adani Wilmar Ltd,1683456.0,3241.49,0.0100101299683,Agricultural Food & Other Products,BHACON,ICICI Prudential AMC,2026-08
INE761H01022,Page Industries Ltd.,7273.0,2603.73,0.0080406466478,Textiles & Apparels,BHACON,ICICI Prudential AMC,2026-08
INE0LXT01019,Red Tape Ltd,1872700.0,2324.96,0.0071797697266,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE016A01026,Dabur India Ltd.,605969.0,2308.74,0.0071296803208,Personal Products,BHACON,ICICI Prudential AMC,2026-08
INE259A01022,Colgate - Palmolive (India) Ltd.,118836.0,2255.03,0.0069638170663,Personal Products,BHACON,ICICI Prudential AMC,2026-08
INE274F01020,Westlife Development Ltd.,348256.0,1989.24,0.0061430240223,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE027H01010,MAX Healthcare Institute Ltd,184788.0,1925.68,0.0059467427255,Healthcare Services,BHACON,ICICI Prudential AMC,2026-08
INE226A01021,Voltas Ltd.,160667.0,1919.01,0.0059261449242,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE472A01039,Blue Star Ltd.,120460.0,1763.29,0.0054452619233,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE716A01013,Whirlpool of India Ltd.,178247.0,1431.59,0.004420930486,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE0UOS01011,Sanofi Consumer Healthcare India Ltd,34239.0,1417.56,0.0043776040764,Pharmaceuticals & Biotechnology,BHACON,ICICI Prudential AMC,2026-08
INE191H01014,PVR INOX Ltd.,115945.0,1400.27,0.0043242103757,Entertainment,BHACON,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,422253.0,1382.46,0.0042692108493,Power,BHACON,ICICI Prudential AMC,2026-08
INE872J01023,Devyani International Ltd,959754.0,1331.85,0.0041129207859,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE103V01028,Travel Food Services Ltd,101749.0,1322.33,0.0040835218251,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE806T01020,Sapphire Foods India Ltd,455607.0,1067.99,0.0032980878253,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE955V01021,Arvind Fashions Ltd.,232434.0,1051.76,0.0032479675382,Retailing,BHACON,ICICI Prudential AMC,2026-08
INE142Z01019,Orient Electric Ltd.,570910.0,1026.67,0.0031704864536,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE777K01022,RR Kabel Ltd.,34934.0,1023.01,0.003159183912,Industrial Products,BHACON,ICICI Prudential AMC,2026-08
INE299U01018,Crompton Greaves Consumer Electricals Ltd.,419338.0,989.22,0.00305483613,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
INE08U801020,Samhi hotels Ltd,562034.0,878.8,0.0027138452428,Leisure Services,BHACON,ICICI Prudential AMC,2026-08
INE131B01039,Relaxo Footwears Ltd.,233878.0,836.93,0.0025845454017,Consumer Durables,BHACON,ICICI Prudential AMC,2026-08
