isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE115A07PN6,LIC Housing Finance Ltd.,600.0,5991.88,0.1123314645787,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-08
INE756I07EU9,HDB Financial Services Ltd. **,3500.0,3509.09,0.0657859000912,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-08
INE403D08207,Bharti Telecom Ltd. **,2500.0,2507.09,0.0470011234421,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-08
INE916DA7SL3,Kotak Mahindra Prime Ltd. **,2500.0,2502.25,0.0469103865968,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-08
INE261F08ED0,NABARD **,2000.0,2004.43,0.0375776146293,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-08
INE115A07RA9,LIC Housing Finance Ltd. **,450.0,450.63,0.0084480877259,CRISIL AAA,CRI36DEX,ICICI Prudential AMC,2026-08
INE028A16KK9,Bank Of Baroda,500.0,2463.4,0.0461820546878,FITCH A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE028A16MQ2,Bank Of Baroda,500.0,2457.84,0.0460778197995,FITCH A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE476A16J90,Canara Bank,500.0,2457.12,0.0460643217564,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE238AD6CA3,Axis Bank Ltd. **,500.0,2453.61,0.0459985187962,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE562A16QO6,Indian Bank **,400.0,1965.06,0.0368395341337,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE040A16HL8,HDFC Bank Ltd.,300.0,1497.75,0.0280787417426,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE556F16BS0,Small Industries Development Bank Of India. **,300.0,1475.19,0.0276558030587,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE028A16KT0,Bank Of Baroda **,100.0,491.21,0.0092088524329,FITCH A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE040A16II2,HDFC Bank Ltd. **,100.0,490.31,0.009191979879,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE296A14D13,Bajaj Finance Ltd. **,1500.0,7409.19,0.1389021749504,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE976I14RP1,Tata Capital Ltd. **,1000.0,4993.71,0.09361849002,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE01C314GL9,Bajaj Financial Security Ltd. **,500.0,2465.42,0.0462199241977,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE774D14TS1,Mahindra & Mahindra Financial Services Ltd. **,500.0,2450.63,0.0459426518956,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
INE110O14JL1,Axis Securities Ltd. **,400.0,1961.42,0.0367712940269,CRISIL A1+,CRI36DEX,ICICI Prudential AMC,2026-08
