isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,1715000,12159.35,0.0846851850553,Banks,CC GP,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,900000,11700.0,0.0814859893948,Banks,CC GP,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,811937,10368.44,0.0722121873402,Petroleum Products,CC GP,ICICI Prudential AMC,2026-08
INE100A01010,Atul Ltd.,84035,5371.52,0.0374105659618,Chemicals & Petrochemicals,CC GP,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,400000,4240.0,0.0295299653875,Banks,CC GP,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,1000000,4194.0,0.0292095931215,Banks,CC GP,ICICI Prudential AMC,2026-08
INE118A01012,Bajaj Holdings & Investment Ltd.,35000,4075.4,0.0283835898444,Finance,CC GP,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,1299594,3320.46,0.0231257237902,Diversified Fmcg,CC GP,ICICI Prudential AMC,2026-08
INE398R01022,Syngene International Ltd.,654462,2622.76,0.0182665122688,Healthcare Services,CC GP,ICICI Prudential AMC,2026-08
INE325A01013,Timken India Ltd.,74715,2353.22,0.0163892700823,Industrial Products,CC GP,ICICI Prudential AMC,2026-08
INE466L01038,360 One Wam Ltd.,200000,2350.0,0.0163668440237,Capital Markets,CC GP,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,691806,2264.97,0.0157746428546,Power,CC GP,ICICI Prudential AMC,2026-08
INE028A01039,Bank Of Baroda,924399,2205.62,0.0153612929853,Banks,CC GP,ICICI Prudential AMC,2026-08
INE540L01014,Alkem Laboratories Ltd.,40000,2131.8,0.0148471651446,Pharmaceuticals & Biotechnology,CC GP,ICICI Prudential AMC,2026-08
INE752H01013,Credit Analysis And Research Ltd.,120133,2077.1,0.0144662007326,Capital Markets,CC GP,ICICI Prudential AMC,2026-08
INE271C01023,DLF Ltd.,300000,2073.15,0.0144386905054,Realty,CC GP,ICICI Prudential AMC,2026-08
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,364007,1882.1,0.0131081009094,Insurance,CC GP,ICICI Prudential AMC,2026-08
INE285A01027,Elgi Equipments Ltd.,291288,1827.4,0.0127271364974,Industrial Products,CC GP,ICICI Prudential AMC,2026-08
INE663A01033,Supreme Petrochem Ltd.,244797,1784.69,0.012429677813,Chemicals & Petrochemicals,CC GP,ICICI Prudential AMC,2026-08
INE065X01017,Indegene Ltd.,250000,1529.13,0.010649800937,Healthcare Services,CC GP,ICICI Prudential AMC,2026-08
