isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE094A01015,Hindustan Petroleum Corporation Ltd.,9766991.0,35722.77,0.0835280658636,Petroleum Products,COMFUND,ICICI Prudential AMC,2026-08
INE749A01030,Jindal Steel Ltd.,2793523.0,33323.94,0.0779190486951,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE1CDF01017,Vedanta Aluminium Metal Ltd.,6578949.0,28628.3,0.0669395606209,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,2183042.0,28547.64,0.0667509589589,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,1977939.0,20084.98,0.0469633103006,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE220G01021,Jindal Stainless Ltd.,2595232.0,18222.42,0.0426082159349,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE205A01025,Vedanta Ltd.,6054635.0,16843.99,0.0393851290402,Diversified Metals,COMFUND,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,146683.0,16795.2,0.0392710467803,Cement & Cement Products,COMFUND,ICICI Prudential AMC,2026-08
INE628A01036,UPL Ltd.,2986869.0,16793.67,0.0392674692878,Fertilizers & Agrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE228A01035,Usha Martin Ltd.,3138006.0,15657.08,0.0366098600268,Industrial Products,COMFUND,ICICI Prudential AMC,2026-08
INE048G01026,Navin Fluorine International Ltd.,168613.0,14628.02,0.034203680678,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE769A01020,Aarti Industries Ltd.,2486676.0,13040.13,0.0304908280491,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE702C01027,APL Apollo Tubes Ltd.,538522.0,11973.5,0.0279968013851,Industrial Products,COMFUND,ICICI Prudential AMC,2026-08
INE139A01034,National Aluminium Company Ltd.,2906992.0,11090.17,0.0259313723487,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE088F01024,Paradeep Phosphates Ltd.,6244548.0,9993.77,0.0233677365665,Fertilizers & Agrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE114A01011,Steel Authority Of India Ltd.,4880928.0,9517.81,0.0222548324376,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE079A01024,Ambuja Cements Ltd.,2117783.0,8495.49,0.0198644127614,Cement & Cement Products,COMFUND,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,4490960.0,8279.08,0.0193583963262,Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Ltd.,517043.0,7274.8,0.017010158326,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE647A01010,SRF Ltd.,280352.0,7178.13,0.0167841215957,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE052I01032,Camlin Fine Sciences Ltd.,6093377.0,6253.63,0.0146224276148,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE288B01029,Deepak Nitrite Ltd.,346748.0,6066.01,0.014183728832,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE029A01011,Bharat Petroleum Corporation Ltd.,1797816.0,5825.82,0.0136221092784,Petroleum Products,COMFUND,ICICI Prudential AMC,2026-08
INE100A01010,Atul Ltd.,52698.0,3368.46,0.0078762354861,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE576O01020,Laxmi Organic Industries Ltd.,2021545.0,3367.29,0.0078734997566,Chemicals & Petrochemicals,COMFUND,ICICI Prudential AMC,2026-08
INE229C01021,Sagar Cements Ltd.,2068421.0,3301.61,0.0077199247856,Cement & Cement Products,COMFUND,ICICI Prudential AMC,2026-08
INE267A01025,Hindustan Zinc Ltd.,526424.0,3134.59,0.0073293935485,Non - Ferrous Metals,COMFUND,ICICI Prudential AMC,2026-08
INE603J01030,PI Industries Ltd.,102211.0,2422.4,0.0056641292583,Fertilizers & Agrochemicals,COMFUND,ICICI Prudential AMC,2026-08
