isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,75938000.0,68936.9,0.0232205893037,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,68598930.0,68540.07,0.0230869217548,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,51474000.0,49472.07,0.016664088746,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020200120,Government Securities,46599410.0,48600.11,0.016370379208,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2120250138,State Government of Madhya Pradesh,49151900.0,48435.66,0.016314986147,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2120250120,State Government of Madhya Pradesh,41636600.0,41035.45,0.0138223118728,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2920250171,State Government of Rajasthan,29050600.0,28608.97,0.0096365972762,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1920250256,State Government of Karnataka,22533100.0,22283.68,0.0075059972446,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2920250213,State Government of Rajasthan,20000000.0,19617.1,0.006607790928,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN3120250300,State Government of Tamil Nadu,20000000.0,19583.84,0.0065965876857,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2220250293,State Government of Maharashtra,18101600.0,17873.81,0.0060205840602,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1320250112,State Government of Bihar,17070700.0,16874.37,0.0056839343737,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1720250084,State Government of Himachal pradesh,15000000.0,14778.3,0.0049778976848,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020240118,Government Securities,15470750.0,14610.36,0.004921329058,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,14882100.0,14276.09,0.0048087341141,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN4520250684,State Government of Telangana,13216700.0,13272.54,0.0044707000221,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,13500000.0,12952.21,0.0043628006044,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,11051200.0,10730.85,0.0036145614428,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN4520250528,State Government of Telangana,8259600.0,8021.54,0.002701962025,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2920250338,State Government of Rajasthan,7765600.0,7721.59,0.0026009273721,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1620250135,State Government of Haryana,7307500.0,7198.03,0.0024245723034,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,5657700.0,5543.78,0.0018673575192,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1020250313,State Government of Andhra Pradesh,5555600.0,5525.6,0.0018612337986,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1620250325,State Government of Haryana,3679300.0,3701.33,0.001246749764,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2220250319,State Government of Maharashtra,2623300.0,2556.2,0.0008610261032,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,2021800.0,1955.03,0.0006585290128,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN2720250082,State Government of Odisha,1582000.0,1542.87,0.0005196977325,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN3320250126,State Government of Uttar Pradesh,638000.0,623.78,0.0002101130047,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020240126,Government Securities,455400.0,452.8,0.0001525203894,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,383200.0,368.91,0.0001242630231,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN3120250292,State Government of Tamil Nadu,296300.0,292.72,9.85993118e-05,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN1320250146,State Government of Bihar,178200.0,175.43,5.90915457e-05,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,30120.0,30.93,,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
IN0020250042,Government Securities,6250.0,6.03,,SOV,CORPORATE BOND,ICICI Prudential AMC,2026-08
INE115A07RF8,LIC Housing Finance Ltd. **,145500.0,145280.3,0.0489359715947,CRISIL AAA,CORPORATE BOND,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,74550.0,74393.37,0.0250585374696,ICRA AAA,CORPORATE BOND,ICICI Prudential AMC,2026-08
INE556F08LB2,Small Industries Development Bank Of India. **,74433.0,73397.93,0.0247232351364,CRISIL AAA,CORPORATE BOND,ICICI Prudential AMC,2026-08
INE261F08EK5,NABARD,68500.0,68277.1,0.0229983433829,CRISIL AAA,CORPORATE BOND,ICICI Prudential AMC,2026-08
INE296A07UB9,Bajaj Finance Ltd. **,50000.0,49448.7,0.0166562168346,CRISIL AAA,CORPORATE BOND,ICICI Prudential AMC,2026-08
