isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE041025011,EMBASSY OFFICE PARKS REIT,4793752.0,21019.64,0.033192807168,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-08
INE0CCU25019,MINDSPACE BUSINESS PARKS REIT,1042789.0,5170.67,0.0081651756281,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-08
INE0FDU25010,Brookfield India Real Estate Trust REIT,968175.0,3308.35,0.0052243246599,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-08
INE0NDH25011,Nexus Select Trust,9413.0,15.79,,Units of Real Estate Investment Trust (REITs),CRF,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,14464800.0,14452.39,0.022822245975,SOV,CRF,ICICI Prudential AMC,2026-08
IN2220250301,State Government of Maharashtra,5000000.0,4928.6,0.0077829149028,SOV,CRF,ICICI Prudential AMC,2026-08
IN3120250300,State Government of Tamil Nadu,5000000.0,4895.96,0.0077313720017,SOV,CRF,ICICI Prudential AMC,2026-08
IN3320250092,State Government of Uttar Pradesh,5000000.0,4847.16,0.0076543103113,SOV,CRF,ICICI Prudential AMC,2026-08
IN0020250018,Government Securities,5000000.0,4539.03,0.0071677320601,SOV,CRF,ICICI Prudential AMC,2026-08
IN2220250293,State Government of Maharashtra,3920300.0,3870.97,0.0061127764682,SOV,CRF,ICICI Prudential AMC,2026-08
IN2920250296,State Government of Rajasthan,3442000.0,3340.47,0.0052750464118,SOV,CRF,ICICI Prudential AMC,2026-08
IN1520230245,State Government of Gujarat,2500000.0,2525.16,0.0039875634857,SOV,CRF,ICICI Prudential AMC,2026-08
IN3520260057,State Government of Chhattisgarh,2500000.0,2457.13,0.0038801350678,SOV,CRF,ICICI Prudential AMC,2026-08
IN2220250376,State Government of Maharashtra,2456600.0,2385.41,0.003766879649,SOV,CRF,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,2301500.0,2211.99,0.0034930264042,SOV,CRF,ICICI Prudential AMC,2026-08
IN4520250528,State Government of Telangana,2064900.0,2005.39,0.0031667775264,SOV,CRF,ICICI Prudential AMC,2026-08
IN2920250338,State Government of Rajasthan,1941500.0,1930.5,0.0030485162561,SOV,CRF,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,2000000.0,1918.85,0.0030301193566,SOV,CRF,ICICI Prudential AMC,2026-08
IN2920250312,State Government of Rajasthan,1956400.0,1896.49,0.0029948099427,SOV,CRF,ICICI Prudential AMC,2026-08
IN1020250313,State Government of Andhra Pradesh,1851800.0,1841.8,0.002908447159,SOV,CRF,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,1653600.0,1586.26,0.0025049155122,SOV,CRF,ICICI Prudential AMC,2026-08
IN2920250213,State Government of Rajasthan,1500000.0,1471.28,0.0023233467999,SOV,CRF,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,1038300.0,999.57,0.0015784539726,SOV,CRF,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,998400.0,978.3,0.0015448658137,SOV,CRF,ICICI Prudential AMC,2026-08
IN2220250319,State Government of Maharashtra,327900.0,319.51,0.0005045487847,SOV,CRF,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,288800.0,279.26,0.0004409886815,SOV,CRF,ICICI Prudential AMC,2026-08
IN3320250126,State Government of Uttar Pradesh,107000.0,104.62,0.0001652088944,SOV,CRF,ICICI Prudential AMC,2026-08
IN3120250292,State Government of Tamil Nadu,74000.0,73.11,0.0001154504136,SOV,CRF,ICICI Prudential AMC,2026-08
INE205A08038,Vedanta Ltd.,20000.0,20073.74,0.0316991052635,ICRA AA+,CRF,ICICI Prudential AMC,2026-08
INE423A07476,Adani Enterprises Ltd. **,20000.0,20026.82,0.0316250123431,ICRA AA-,CRF,ICICI Prudential AMC,2026-08
INE432R07505,Truhome Finance Ltd. **,20000.0,19663.44,0.0310511869936,FITCH AA,CRF,ICICI Prudential AMC,2026-08
INE755L07015,Bamboo Hotels & Global Centre (Delhi) Pvt Ltd. **,18500.0,18571.39,0.0293266948012,ICRA A+(CE),CRF,ICICI Prudential AMC,2026-08
INE814H07190,Adani Power Ltd. **,17500.0,17400.08,0.0274770405272,CRISIL AA,CRF,ICICI Prudential AMC,2026-08
INE263M07109,Keystone Realtors Ltd. **,23500.0,17072.73,0.0269601113397,CRISIL AA-,CRF,ICICI Prudential AMC,2026-08
INE091A07208,Nirma Ltd. **,15000.0,15036.62,0.0237448228475,CRISIL AA,CRF,ICICI Prudential AMC,2026-08
INE216P07308,Aavas Financiers Ltd. **,15000.0,14919.17,0.0235593536766,CARE AA,CRF,ICICI Prudential AMC,2026-08
INE07UF07042,Hiranandani Financial Services Pvt Ltd **,15000.0,14855.81,0.0234592998098,CARE A+,CRF,ICICI Prudential AMC,2026-08
INE285J07058,SIS Ltd. **,12500.0,12499.59,0.019738515053,CRISIL AA-,CRF,ICICI Prudential AMC,2026-08
INE918K07QY7,Nuvama Wealth Finance Ltd. **,12500.0,12479.44,0.019706695523,ICRA AA,CRF,ICICI Prudential AMC,2026-08
INE896L07AJ8,Indostar Capital Finance Ltd. **,10000.0,10026.56,0.0158332717705,CARE AA-,CRF,ICICI Prudential AMC,2026-08
INE670K07281,Lodha Developers Ltd. **,15000.0,10026.26,0.0158327980306,CRISIL AA,CRF,ICICI Prudential AMC,2026-08
INE01A207146,JM Financial Home Loans **,10000.0,10020.75,0.0158240970077,ICRA AA,CRF,ICICI Prudential AMC,2026-08
INE523L07AN0,Nuvama Wealth & Investment Ltd **,10000.0,10011.02,0.0158087320437,CARE AA,CRF,ICICI Prudential AMC,2026-08
INE670K07364,Lodha Developers Ltd **,10000.0,10000.76,0.0157925301391,CRISIL AA,CRF,ICICI Prudential AMC,2026-08
INE220B08142,Kalpataru Projects International Ltd **,10000.0,9974.33,0.0157507936539,FITCH AA+,CRF,ICICI Prudential AMC,2026-08
INE261F08EO7,NABARD,10000.0,9971.61,0.0157464984121,CRISIL AAA,CRF,ICICI Prudential AMC,2026-08
INE248U07GG6,360 One Prime Ltd **,10000.0,9954.5,0.0157194794465,ICRA AA,CRF,ICICI Prudential AMC,2026-08
INE729N08071,TVS Credit Services Ltd. **,95.0,9620.12,0.015191448954,CRISIL AA+,CRF,ICICI Prudential AMC,2026-08
INE192U07350,Kogta Financial (India) Ltd. **,9500.0,9484.32,0.0149770026927,CARE AA-,CRF,ICICI Prudential AMC,2026-08
INE205A08046,Vedanta Ltd.,7500.0,7575.12,0.0119621219694,CRISIL AA+,CRF,ICICI Prudential AMC,2026-08
INE192U07392,Kogta Financial (India) Ltd. **,7500.0,7441.07,0.0117504391908,CARE AA-,CRF,ICICI Prudential AMC,2026-08
INE316Z08063,Godrej Seeds & Genetics Ltd **,7500.0,7410.73,0.0117025282956,CRISIL AA,CRF,ICICI Prudential AMC,2026-08
INE556F08LA4,Small Industries Development Bank Of India. **,7500.0,7352.34,0.0116103227197,CRISIL AAA,CRF,ICICI Prudential AMC,2026-08
INE010A08156,Prism Johnson Ltd. **,7000.0,6981.62,0.011024906534,FITCH AA-,CRF,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,6500.0,6486.34,0.0102427935419,ICRA AAA,CRF,ICICI Prudential AMC,2026-08
