isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K018N2,ICICI Prudential Focused Equity Fund - Direct - Growth,14304943.556,15905.67,0.4574997654331,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF194K01V89,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,2047530.376,3450.6,0.0992506880001,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF0R8701046,Helios Flexi Cap Fund - Direct Plan - Growth Option,19086002.47,3118.65,0.0897027062341,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF109K016L0,ICICI Prudential Large cap Fund - Direct Plan -  Growth,1878387.022,2255.0,0.0648612709211,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF879O01027,Parag Parikh Flexi Cap Fund - Direct - Growth,2172486.269,1972.24,0.0567281565239,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF109K011O5,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,143454.523,1721.96,0.0495292745345,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF663L01GR4,PGIM India Large Cap Fund - Direct Plan -  Growth,410160.843,1657.21,0.0476668500147,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF179KC1FB2,HDFC Nifty Smallcap 250 ETF,814300.0,1509.39,0.04341505708,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF109KC11W8,ICICI Prudential Nifty Midcap 150 ETF,4515000.0,1094.89,0.031492663822,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF109KC1V18,ICICI Prudential Nifty Smallcap 250 Index Fund - Direct Plan -  Growth,5372317.205,1013.92,0.0291636983646,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
INF109K014O9,ICICI Prudential Multicap Fund - Direct Plan - Growth,45741.965,450.7,0.0129636251903,Capital Markets,INDEQTY,ICICI Prudential AMC,2026-08
