isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109K012K1,ICICI Prudential Value Fund - Direct Plan -  Growth,72272281.559,367858.69,0.1283501768391,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K016E5,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,647633891.668,275971.7,0.0962897369574,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K016L0,ICICI Prudential Large cap Fund - Direct Plan -  Growth,177185595.206,212711.31,0.0742174508754,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K018N2,ICICI Prudential Focused Equity Fund - Direct - Growth,153555591.31,170738.46,0.059572635172,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01O82,ICICI Prudential Savings Fund - Direct - Growth,27254066.269,161970.86,0.0565135175243,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC12T2,ICICI Prudential Innovation Fund - Direct Plan - Growth,744819410.1,153581.76,0.0535864629302,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K011O5,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,12344738.028,148180.06,0.0517017469535,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01Z48,ICICI Prudential Technology Fund - Direct - Growth,68235253.265,141403.92,0.0493374728696,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K018M4,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth,57743215.677,128247.68,0.0447471076657,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01P57,ICICI Prudential Floating Interest Fund - Direct Plan,24823538.778,124399.04,0.0434042723922,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K013J1,ICICI Prudential  Banking and Financial Services Fund - Direct - Growth,82849297.09,124290.52,0.0433664085016,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K013N3,ICICI Prudential Short Term Fund - Direct Plan -  Growth Option,144800839.103,102308.31,0.0356965596778,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K016B1,ICICI Prudential Corporate Bond Fund- Direct Plan -  Growth,303145837.24,101577.8,0.0354416762396,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K018C5,ICICI Prudential Gilt Fund - Direct Plan - Growth,69559886.029,81468.89,0.028425443581,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC10Y6,ICICI Prudential Equity Minimum Variance Fund - Direct Plan -  Growth,528032542.894,56763.5,0.019805445572,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC10C2,ICICI Prudential Housing Opportunities Fund - Direct - Growth,285253412.225,52144.32,0.0181937599276,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K1A187,ICICI Prudential Quality Fund - Direct Plan -  Growth,454309744.982,50064.93,0.0174682365637,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K010A6,ICICI Prudential Banking & PSU Debt Fund - Direct Plan - Growth,136385069.842,49703.36,0.0173420805839,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC1F91,ICICI Prudential Commodities Fund - Direct - Growth,84840555.5,44473.42,0.0155172936695,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC1GH2,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Growth,85333960.562,40738.43,0.0142141122033,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K015A5,ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,72184959.672,38771.62,0.0135278693112,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K1A385,ICICI Prudential Active Momentum Fund - Direct - Growth,336801516.854,37755.45,0.0131733157755,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01V83,ICICI Prudential Bond Fund - Direct Plan - Growth,79184102.823,35594.05,0.0124191781684,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC1YD4,ICICI Prudential Bharat Consumption Fund - Direct - Growth,121271690.737,33216.32,0.0115895605074,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01W25,ICICI Prudential Exports and Services Fund - Direct - Growth,16355809.647,31164.36,0.0108736077896,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC12W6,ICICI Prudential Energy Opportunities Fund - Direct Plan -  Growth,187404252.179,22151.18,0.0077288044226,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01Z14,ICICI Prudential FMCG Fund - Direct Plan - Growth,4136623.044,18259.88,0.0063710845788,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109K01V00,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,30246521.552,11683.78,0.0040766067784,Capital Markets,MODER,ICICI Prudential AMC,2026-08
INF109KC1O66,ICICI Prudential Quant Fund - Direct Plan -  Growth,14472441.909,3466.15,0.0012093800623,Capital Markets,MODER,ICICI Prudential AMC,2026-08
