isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,134416750.0,122024.2,0.0927035229023,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,73712000.0,70845.19,0.0538220999906,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,47028310.0,45274.06,0.0343953482841,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN0020240118,Government Securities,31500000.0,29748.16,0.0226001008968,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2220250202,State Government of Maharashtra,30000000.0,28157.31,0.0213915094911,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2220250194,State Government of Maharashtra,29159500.0,27388.79,0.0208076539,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,26457100.0,25379.74,0.0192813499973,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2120250138,State Government of Madhya Pradesh,24491200.0,24134.31,0.0183351790859,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2920250171,State Government of Rajasthan,24050600.0,23684.98,0.0179938166844,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,23500000.0,22546.44,0.0171288516286,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2220250210,State Government of Maharashtra,24000000.0,22512.94,0.0171034012014,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,19793700.0,19776.72,0.0150246558916,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2120250120,State Government of Madhya Pradesh,19981900.0,19693.4,0.0149613565007,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN4520250684,State Government of Telangana,17622400.0,17696.85,0.0134445490261,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN3320250050,State Government of Uttar Pradesh,15000000.0,14719.02,0.0111822491577,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN2220250301,State Government of Maharashtra,12500000.0,12321.5,0.0093608190624,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,10982600.0,10761.47,0.0081756420497,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,11051200.0,10730.85,0.0081523795995,SOV,SEASONS BOND,ICICI Prudential AMC,2026-08
