isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN2920180337,State Government of Rajasthan,8570000.0,8835.51,0.1782757661867,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1320180061,State Government of Bihar,8000000.0,8252.42,0.1665106483264,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3320180174,State Government of Uttar Pradesh,6500000.0,6702.88,0.1352452849533,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3620180213,State Government of Uttarakhand,3000000.0,3094.86,0.0624455790034,SOV,F8510I,ICICI Prudential AMC,2026-08
IN2020180138,State Government of Kerala,1900000.0,1954.44,0.0394351077035,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3120180226,State Government of Tamil Nadu,1500000.0,1547.64,0.0312270267116,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3720180089,State Government of Jharkhand,1500000.0,1546.92,0.0312124991346,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1520180291,State Government of Gujarat,1500000.0,1543.82,0.0311499498449,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3320180158,State Government of Uttar Pradesh,1500000.0,1542.01,0.0311134291305,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1020230752,State Government of Andhra Pradesh,1500000.0,1511.46,0.0304970159685,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1920180206,State Government of Karnataka,1135000.0,1169.98,0.0236069090435,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1520180309,State Government of Gujarat,1000000.0,1031.7,0.0208168071763,SOV,F8510I,ICICI Prudential AMC,2026-08
IN2920180311,State Government of Rajasthan,1000000.0,1031.41,0.0208109557911,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3320180182,State Government of Uttar Pradesh,1000000.0,1030.49,0.0207923927761,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3320180166,State Government of Uttar Pradesh,990000.0,1021.07,0.020602323644,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1520180259,State Government of Gujarat,900000.0,924.89,0.0186616814862,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1920180164,State Government of Karnataka,665000.0,684.7,0.0138153221611,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1020220720,State Government of Andhra Pradesh,518200.0,525.96,0.0106123949815,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1520180325,State Government of Gujarat,500000.0,515.18,0.0103948848707,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1520180283,State Government of Gujarat,500000.0,514.49,0.0103809626094,SOV,F8510I,ICICI Prudential AMC,2026-08
IN2220200355,State Government of Maharashtra,500000.0,500.9,0.010106754594,SOV,F8510I,ICICI Prudential AMC,2026-08
IN2120210066,State Government of Madhya Pradesh,500000.0,500.61,0.0101009032088,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3720180055,State Government of Jharkhand,350000.0,360.05,0.0072647973479,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3120180200,State Government of Tamil Nadu,250000.0,255.97,0.0051647553871,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3520200111,State Government of Chhattisgarh,255300.0,255.46,0.0051544650201,SOV,F8510I,ICICI Prudential AMC,2026-08
IN2920180329,State Government of Rajasthan,200000.0,206.2,0.0041605366286,SOV,F8510I,ICICI Prudential AMC,2026-08
IN3420180157,State Government of West Bengal,100000.0,102.81,0.0020744169291,SOV,F8510I,ICICI Prudential AMC,2026-08
IN1520180317,State Government of Gujarat,48300.0,49.81,0.0010050258461,SOV,F8510I,ICICI Prudential AMC,2026-08
IN2420180068,State Government of Meghalaya,40000.0,41.25,0.0008323090976,SOV,F8510I,ICICI Prudential AMC,2026-08
