isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020200120,Government Securities,34538930.0,36021.82,0.0395027019103,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN1320250070,State Government of Bihar,20000000.0,20005.0,0.0219381350447,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN1920250223,State Government of Karnataka,20000000.0,19887.38,0.0218091491189,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN3120260044,State Government of Tamil Nadu,15000000.0,15226.85,0.0166982600152,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,12203330.0,12531.6,0.013742561016,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN1920250157,State Government of Karnataka,10000000.0,9964.78,0.0109277025409,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN2220260045,State Government of Maharashtra,7774300.0,7804.74,0.0085589322723,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN1520230245,State Government of Gujarat,7500000.0,7575.47,0.0083075073175,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN2220250475,State Government of Maharashtra,7125300.0,7069.02,0.0077521177402,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN2220250301,State Government of Maharashtra,5000000.0,4928.6,0.0054048634032,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN2920250338,State Government of Rajasthan,3882800.0,3860.8,0.0042338791192,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN1920250256,State Government of Karnataka,2256300.0,2231.33,0.0024469492061,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN2920250361,State Government of Rajasthan,428000.0,428.03,0.0004693916492,SOV,FLOATING,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,122700.0,122.59,0.0001344361897,SOV,FLOATING,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,38000.0,37920.16,0.041584483429,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE915D08DC0,Citicorp Finance (India) Ltd. **,26143.0,26117.98,0.0286418281597,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE306N07NI9,Tata Capital Financial Services Ltd. **,2500.0,24981.25,0.027395252991,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE020B08FR6,Rural Electrification Corporation Ltd. **,22500.0,22475.9,0.0246478045214,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08NP7,Power Finance Corporation Ltd.,22500.0,22439.72,0.0246081283541,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE020B08EW9,Rural Electrification Corporation Ltd. **,20000.0,20039.7,0.0219761881957,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE115A07RF8,LIC Housing Finance Ltd. **,20000.0,19969.8,0.0218995335774,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE296A07UB9,Bajaj Finance Ltd. **,20000.0,19779.48,0.021690822462,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08KS8,Small Industries Development Bank Of India. **,19000.0,18841.2,0.0206618740317,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08OC3,Power Finance Corporation Ltd. **,17000.0,16851.95,0.0184803976439,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE261F08EI9,NABARD **,15000.0,15017.91,0.016469129601,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE774D07VP7,Mahindra & Mahindra Financial Services Ltd. **,15000.0,14951.76,0.0163965873549,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE071G07868,ICICI Home Finance Company Ltd. **,15000.0,14904.99,0.0163452978485,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE282H07018,Jio Credit Ltd,15000.0,14826.78,0.0162595302133,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE115A07QC7,LIC Housing Finance Ltd. **,1400.0,14008.99,0.0153627150442,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE261F08EK5,NABARD,13500.0,13456.07,0.0147563649503,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE020B08FW6,Rural Electrification Corporation Ltd.,13500.0,13323.99,0.0146115217172,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE774D07VM4,Mahindra & Mahindra Financial Services Ltd. **,12500.0,12533.98,0.0137451710016,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE020B08GB8,Rural Electrification Corporation Ltd. **,12500.0,12403.48,0.0136020604481,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE071G07777,ICICI Home Finance Company Ltd. **,12500.0,12388.9,0.0135860715448,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08LB2,Small Industries Development Bank Of India. **,12400.0,12227.57,0.0134091518084,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE238A08518,Axis Bank Ltd. **,12500.0,12131.9,0.0133042369682,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08KW0,Small Industries Development Bank Of India. **,12000.0,11928.86,0.0130815766863,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE0CCU07215,MINDSPACE BUSINESS PARKS REIT **,10000.0,9969.32,0.0109326812528,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE071G07876,ICICI Home Finance Company Ltd. **,10000.0,9964.47,0.0109273625848,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE031A08996,Housing and Urban Development Corporation Ltd. **,9000.0,8882.28,0.0097405977578,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE01XX07059,Pipeline Infrastructure Pvt Ltd. **,8800.0,8824.95,0.0096777278111,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08IX1,Power Finance Corporation Ltd. **,850.0,8535.36,0.0093601539782,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08IT9,Power Finance Corporation Ltd. **,850.0,8520.64,0.0093440115464,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE261F08EF5,NABARD,8500.0,8518.89,0.0093420924394,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08NL6,Power Finance Corporation Ltd. **,8000.0,7979.34,0.0087504043233,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08LA4,Small Industries Development Bank Of India. **,8000.0,7842.5,0.0086003411191,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08KM1,Small Industries Development Bank Of India. **,7500.0,7516.53,0.0082428717924,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08KN9,Small Industries Development Bank Of India. **,7500.0,7514.13,0.0082402398742,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08IR3,Power Finance Corporation Ltd.,750.0,7501.99,0.0082269267545,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE296A07SZ2,Bajaj Finance Ltd. **,7500.0,7491.59,0.0082155217755,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE507T07153,Summit Digitel Infrastructure Private Ltd. **,7500.0,7438.1,0.008156862898,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE0NDH07068,Nexus Select Trust **,7500.0,7325.84,0.008033754923,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE950O07511,Mahindra Rural Housing Finance Ltd. **,7000.0,6954.56,0.0076265971735,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE07Z507037,Oriental InfraTrust **,7000.0,6634.98,0.0072761353291,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE020B08AH8,Rural Electrification Corporation Ltd. **,650.0,6520.12,0.0071501761093,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE186K07098,DLF Cyber City Developers Ltd. **,6000.0,6027.95,0.0066104464455,ICRA AAA,FLOATING,ICICI Prudential AMC,2026-08
INE261F08DV4,NABARD,6000.0,5994.61,0.0065738847148,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE213W07392,SMFG India Home Finance Company Ltd. **,5000.0,4980.33,0.0054615922073,CARE AAA,FLOATING,ICICI Prudential AMC,2026-08
INE556F08KX8,Small Industries Development Bank Of India. **,5000.0,4975.7,0.0054565147983,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE134E08OA7,Power Finance Corporation Ltd. **,5000.0,4954.8,0.0054335951771,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE403D08272,Bharti Telecom Ltd. **,4500.0,4461.03,0.0048921109012,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE514E08FJ9,Export-Import Bank Of India **,400.0,4001.82,0.0043885262476,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE071G07819,ICICI Home Finance Company Ltd. **,4000.0,3990.42,0.004376024636,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
INE041007175,EMBASSY OFFICE PARKS REIT **,3700.0,3667.87,0.0040223057928,CRISIL AAA,FLOATING,ICICI Prudential AMC,2026-08
