isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,11337653,164849.47,0.0918443104949,Banks,FOCUSED,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,8632750,112225.75,0.0625255066245,Banks,FOCUSED,ICICI Prudential AMC,2026-08
INE356A01018,Mphasis Ltd.,3946778,95804.09,0.0533763353236,It - Software,FOCUSED,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,12637094,89597.0,0.04991811431,Banks,FOCUSED,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,2055849,89250.57,0.0497251041385,Automobiles,FOCUSED,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,3818509,69187.56,0.0385471894027,Telecom - Services,FOCUSED,ICICI Prudential AMC,2026-08
INE127D01025,HDFC Asset Management Company Ltd.,2502364,65614.49,0.0365564875187,Capital Markets,FOCUSED,ICICI Prudential AMC,2026-08
INE00H001014,Swiggy Ltd,23018499,64889.15,0.0361523712533,Retailing,FOCUSED,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,1164292,61125.33,0.0340553948255,Food Products,FOCUSED,ICICI Prudential AMC,2026-08
INE208A01029,Ashok Leyland Ltd.,33219770,58347.2,0.0325075861833,"Agricultural, Commercial & Construction Vehicles",FOCUSED,ICICI Prudential AMC,2026-08
INE102D01028,Godrej Consumer Products Ltd.,6298599,56769.27,0.0316284575282,Personal Products,FOCUSED,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,1087594,55493.4,0.0309176187222,Consumer Durables,FOCUSED,ICICI Prudential AMC,2026-08
INE211B01039,The Phoenix Mills Ltd.,2767339,52579.44,0.0292941336906,Realty,FOCUSED,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,26681091,49186.59,0.0274038396614,Ferrous Metals,FOCUSED,ICICI Prudential AMC,2026-08
INE044A01036,Sun Pharmaceutical Industries Ltd.,2440859,48446.17,0.0269913217177,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-08
INE572E01012,PNB Housing Finance Ltd.,4175240,47960.98,0.0267210027351,Finance,FOCUSED,ICICI Prudential AMC,2026-08
INE376G01013,Biocon Ltd.,11357500,46792.9,0.0260702180999,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-08
INE155A01022,Tata Motors Passenger Vehicles Ltd.,14936490,46131.35,0.0257016418248,Automobiles,FOCUSED,ICICI Prudential AMC,2026-08
INE811K01011,Prestige Estates Projects Ltd.,2795816,45655.68,0.0254366268194,Realty,FOCUSED,ICICI Prudential AMC,2026-08
INE027H01010,MAX Healthcare Institute Ltd,4313399,44949.93,0.0250434249357,Healthcare Services,FOCUSED,ICICI Prudential AMC,2026-08
INE066F01020,Hindustan Aeronautics Ltd.,922926,44315.21,0.0246897967393,Aerospace & Defense,FOCUSED,ICICI Prudential AMC,2026-08
INE742F01042,Adani Ports and Special Economic Zone Ltd.,2669118,42521.72,0.0236905708854,Transport Infrastructure,FOCUSED,ICICI Prudential AMC,2026-08
INE466L01038,360 One Wam Ltd.,3526518,41436.59,0.0230860010518,Capital Markets,FOCUSED,ICICI Prudential AMC,2026-08
INE089A01031,Dr. Reddy's Laboratories Ltd.,3497500,40375.14,0.0224946243044,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-08
INE118H01025,BSE Ltd.,1199078,39353.74,0.0219255610327,Capital Markets,FOCUSED,ICICI Prudential AMC,2026-08
INE121A01024,Cholamandalam Investment And Finance Company Ltd.,2071181,38470.12,0.0214332605743,Finance,FOCUSED,ICICI Prudential AMC,2026-08
INE745G01043,Multi Commodity Exchange Of India Ltd.,1121132,38118.49,0.0212373532724,Capital Markets,FOCUSED,ICICI Prudential AMC,2026-08
INE540L01014,Alkem Laboratories Ltd.,660928,35224.16,0.0196248049081,Pharmaceuticals & Biotechnology,FOCUSED,ICICI Prudential AMC,2026-08
INE880J01026,JSW Infrastructure Ltd,8841186,30060.03,0.0167476591147,Transport Infrastructure,FOCUSED,ICICI Prudential AMC,2026-08
INE795G01014,HDFC Life Insurance Company Ltd.,4337322,23566.84,0.0131300402139,Insurance,FOCUSED,ICICI Prudential AMC,2026-08
INE494B04019,TVS Motor Company Ltd.,4637628,463.76,0.0002583794623,CARE A1+,FOCUSED,ICICI Prudential AMC,2026-08
IN002025Z336,364 Days Treasury Bills,10000000,9897.58,0.005514342331,SOV,FOCUSED,ICICI Prudential AMC,2026-08
