isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,143466750.0,130239.83,0.1638135794745,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,79038200.0,75964.25,0.0955466212186,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,70000000.0,69939.94,0.087969340252,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,60827960.0,58558.96,0.0736545252547,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220250202,State Government of Maharashtra,30000000.0,28157.31,0.0354158151118,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220250194,State Government of Maharashtra,29159500.0,27388.79,0.0344491829218,SOV,GILT,ICICI Prudential AMC,2026-08
IN3320250050,State Government of Uttar Pradesh,25000000.0,24531.7,0.0308555807205,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220250210,State Government of Maharashtra,25000000.0,23450.98,0.0294962683534,SOV,GILT,ICICI Prudential AMC,2026-08
IN4520250684,State Government of Telangana,21433600.0,21524.16,0.0270727449105,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,21496400.0,20621.05,0.0259368275666,SOV,GILT,ICICI Prudential AMC,2026-08
IN2920250213,State Government of Rajasthan,20000000.0,19617.1,0.0246740752802,SOV,GILT,ICICI Prudential AMC,2026-08
IN2120250138,State Government of Madhya Pradesh,19660700.0,19374.2,0.024368559537,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,17500000.0,16789.9,0.0211180682439,SOV,GILT,ICICI Prudential AMC,2026-08
IN2920250171,State Government of Rajasthan,16867000.0,16610.59,0.0208925349878,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020200120,Government Securities,15788050.0,16465.89,0.0207105336373,SOV,GILT,ICICI Prudential AMC,2026-08
IN2120250120,State Government of Madhya Pradesh,16654600.0,16414.14,0.0206454433132,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020240118,Government Securities,14000000.0,13221.4,0.0166296658991,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220250301,State Government of Maharashtra,12500000.0,12321.5,0.015497786042,SOV,GILT,ICICI Prudential AMC,2026-08
IN1720250084,State Government of Himachal pradesh,10000000.0,9852.2,0.0123919399134,SOV,GILT,ICICI Prudential AMC,2026-08
IN3120250300,State Government of Tamil Nadu,10000000.0,9791.92,0.0123161206915,SOV,GILT,ICICI Prudential AMC,2026-08
IN2120250195,State Government of Madhya Pradesh,10000000.0,9774.3,0.0122939585367,SOV,GILT,ICICI Prudential AMC,2026-08
IN2920250221,State Government of Rajasthan,9500000.0,9358.35,0.0117707832655,SOV,GILT,ICICI Prudential AMC,2026-08
IN1020250321,State Government of Andhra Pradesh,9047600.0,8827.81,0.0111034785212,SOV,GILT,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,8288200.0,8047.94,0.0101225704824,SOV,GILT,ICICI Prudential AMC,2026-08
IN4520250528,State Government of Telangana,8259600.0,8021.54,0.0100893649837,SOV,GILT,ICICI Prudential AMC,2026-08
IN2920250338,State Government of Rajasthan,7765600.0,7721.59,0.0097120926611,SOV,GILT,ICICI Prudential AMC,2026-08
IN1620250325,State Government of Haryana,7358600.0,7402.66,0.0093109475974,SOV,GILT,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,7321700.0,7174.28,0.0090236948785,SOV,GILT,ICICI Prudential AMC,2026-08
IN2120250187,State Government of Madhya Pradesh,7222900.0,7052.42,0.0088704213154,SOV,GILT,ICICI Prudential AMC,2026-08
IN4520260063,State Government of Telangana,6243400.0,6154.01,0.0077404155566,SOV,GILT,ICICI Prudential AMC,2026-08
IN1520250169,State Government of Gujarat,5421800.0,5290.97,0.0066548976192,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220250186,State Government of Maharashtra,5559900.0,5226.91,0.0065743239736,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220260029,State Government of Maharashtra,5000000.0,5103.08,0.006418572576,SOV,GILT,ICICI Prudential AMC,2026-08
IN1320250112,State Government of Bihar,5121200.0,5062.3,0.0063672801429,SOV,GILT,ICICI Prudential AMC,2026-08
IN1620250135,State Government of Haryana,4871600.0,4798.62,0.0060356276473,SOV,GILT,ICICI Prudential AMC,2026-08
IN4520220299,State Government of Telangana,4000000.0,4007.01,0.0050399532239,SOV,GILT,ICICI Prudential AMC,2026-08
IN1020250339,State Government of Andhra Pradesh,4047600.0,3945.69,0.0049628259066,SOV,GILT,ICICI Prudential AMC,2026-08
IN1020250313,State Government of Andhra Pradesh,3703700.0,3683.7,0.0046332990661,SOV,GILT,ICICI Prudential AMC,2026-08
IN1620250184,State Government of Haryana,2776500.0,2714.12,0.0034137768171,SOV,GILT,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,2599500.0,2513.65,0.0031616288507,SOV,GILT,ICICI Prudential AMC,2026-08
IN1620250432,State Government of Haryana,1967700.0,1976.24,0.0024856831301,SOV,GILT,ICICI Prudential AMC,2026-08
IN2720250082,State Government of Odisha,1582000.0,1542.87,0.0019405972609,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020240142,Government Securities,1100000.0,1021.86,0.0012852791985,SOV,GILT,ICICI Prudential AMC,2026-08
IN2220250319,State Government of Maharashtra,983700.0,958.54,0.0012056363131,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,301070.0,309.17,0.0003888690914,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020250042,Government Securities,147900.0,142.78,0.0001795864051,SOV,GILT,ICICI Prudential AMC,2026-08
IN1920230274,State Government of Karnataka,22800.0,22.76,,SOV,GILT,ICICI Prudential AMC,2026-08
IN0020240134,Government Securities,8700.0,8.6,,SOV,GILT,ICICI Prudential AMC,2026-08
IN3120240053,State Government of Tamil Nadu,5000.0,4.99,,SOV,GILT,ICICI Prudential AMC,2026-08
