isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE044A01036,Sun Pharmaceutical Industries Ltd.,4338091.0,86102.43,0.1230805136897,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE089A01031,Dr. Reddy's Laboratories Ltd.,5008009.0,57812.46,0.082640957688,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE059A01026,Cipla Ltd.,2857946.0,40274.18,0.0575705791675,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE634S01028,Mankind Pharma Ltd.,1507093.0,36459.59,0.0521177516838,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE540L01014,Alkem Laboratories Ltd.,639791.0,34097.66,0.0487414525747,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE361B01024,Divi's Laboratories Ltd.,356579.0,33757.33,0.0482549623418,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE376G01013,Biocon Ltd.,7943167.0,32725.85,0.0467804965426,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE804L01022,Medplus Health Services Ltd,4317751.0,29026.08,0.0414918003684,Retailing,PHARMA,ICICI Prudential AMC,2026-08
INE03QK01018,Cohance Lifesciences Ltd.,6266692.0,28572.98,0.0408441092318,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE398R01022,Syngene International Ltd.,5747880.0,23034.63,0.0329272250858,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE943P01029,Dr Agarwal's Health Care Ltd,3800000.0,19501.6,0.0278768781063,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE027H01010,MAX Healthcare Institute Ltd,1741433.0,18147.47,0.0259411950367,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE901L01018,Alembic Pharmaceuticals Ltd.,2077449.0,17344.62,0.0247935480955,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE358A01014,Abbott India Ltd.,64361.0,16637.32,0.0237824866501,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE09XN01023,Akums Drugs and Pharmaceuticals Ltd.,1795770.0,13947.75,0.0199378372342,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE203A01020,Astrazeneca Pharma India Ltd.,199762.0,13886.46,0.0198502252506,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE326A01037,Lupin Ltd.,626941.0,13719.98,0.0196122477171,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE0KBH01020,Blue Jet Healthcare Ltd.,2337144.0,13526.22,0.0193352743456,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE065X01017,Indegene Ltd.,2191275.0,13402.93,0.0191590354575,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE182A01018,Pfizer Ltd.,277493.0,12998.88,0.0185814596381,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE112L01020,Metropolis Healthcare Ltd.,2091796.0,12181.57,0.0174131426156,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE961O01016,Rainbow Childrens Medicare Ltd,673760.0,9531.68,0.0136252144187,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE594H01019,Thyrocare Technologies Ltd.,1500766.0,9072.13,0.0129683032251,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE010601016,Entero Healthcare Solutions,476507.0,8624.3,0.0123281453753,Retailing,PHARMA,ICICI Prudential AMC,2026-08
INE686Y01026,Fine Organic Industries Ltd.,161698.0,8542.18,0.0122107576107,Chemicals & Petrochemicals,PHARMA,ICICI Prudential AMC,2026-08
INE03Q201024,Alivus Life Sciences Ltd.,602385.0,8467.73,0.0121043338519,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE456Z01021,Medi Assist Healthcare Services Ltd,2407739.0,7926.28,0.0113303493763,Insurance,PHARMA,ICICI Prudential AMC,2026-08
INE767A01016,Aarti Drugs Ltd.,1865108.0,7678.65,0.0109763706604,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE475B01022,Hikal Ltd.,3641193.0,7333.73,0.0104833191776,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE0UOS01011,Sanofi Consumer Healthcare India Ltd,164531.0,6811.91,0.0097373951235,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE459N01021,Manipal Health Enterprises Ltd.,846550.0,6457.48,0.0092307494171,Healthcare Services,PHARMA,ICICI Prudential AMC,2026-08
INE0WO601020,Laxmi Dental Ltd.,2396119.0,4684.41,0.0066962057764,Healthcare Equipment & Supplies,PHARMA,ICICI Prudential AMC,2026-08
INE258B01022,FDC Ltd.,1281588.0,4321.51,0.0061774524913,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE873D01024,Indoco Remedies Ltd.,1662047.0,4044.43,0.0057813759957,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
INE0H5O01029,Windlas Biotech Ltd.,404079.0,4017.35,0.005742666051,Pharmaceuticals & Biotechnology,PHARMA,ICICI Prudential AMC,2026-08
