isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020240035,Government Securities,31701500.0,30468.57,0.3661627176283,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN0020250018,Government Securities,12425000.0,11279.48,0.1355536229706,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2220250194,State Government of Maharashtra,7500000.0,7044.56,0.0846595437231,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,4960700.0,4758.7,0.0571887201919,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2220250202,State Government of Maharashtra,5000000.0,4692.89,0.0563978340936,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2220250210,State Government of Maharashtra,5000000.0,4690.2,0.056365506429,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2920250221,State Government of Rajasthan,2500000.0,2462.72,0.0295962773427,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2120250195,State Government of Madhya Pradesh,2500000.0,2443.58,0.0293662581979,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,2500000.0,2398.56,0.0288252204811,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN1020250321,State Government of Andhra Pradesh,2261900.0,2206.95,0.0265225053118,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2220250186,State Government of Maharashtra,2085000.0,1960.13,0.0235562918674,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN2120250187,State Government of Madhya Pradesh,1805700.0,1763.08,0.0211882003059,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,1038300.0,999.57,0.012012551546,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN1020250339,State Government of Andhra Pradesh,1023800.0,998.02,0.0119939240813,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN1320250112,State Government of Bihar,853500.0,843.68,0.0101391093053,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN1620250184,State Government of Haryana,694100.0,678.51,0.0081541426308,SOV,LT BOND,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,577700.0,558.62,0.0067133382801,SOV,LT BOND,ICICI Prudential AMC,2026-08
INE261F08BE4,NABARD **,1.0,10.51,0.0001263062284,CRISIL AAA,LT BOND,ICICI Prudential AMC,2026-08
INF0RQ622028,Corporate Debt Market Development Fund (Class A2),2816.996,337.21,0.0040524950797,Financial Services,LT BOND,ICICI Prudential AMC,2026-08
