isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE494B01023,TVS Motor Company Ltd.,8875.0,385.29,0.097095621696,Automobiles,LTWEF,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,2427.0,328.79,0.0828572489746,Automobiles,LTWEF,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,21581.0,313.79,0.079077150022,Banks,LTWEF,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,37450.0,265.52,0.0669127915926,Banks,LTWEF,ICICI Prudential AMC,2026-08
INE04TZ01018,The Ethos Ltd.,8151.0,236.27,0.0595415986351,Consumer Durables,LTWEF,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,65080.0,213.53,0.053810968623,Retailing,LTWEF,ICICI Prudential AMC,2026-08
INE192R01011,Avenue Supermarts Ltd.,5147.0,200.73,0.0505852841834,Retailing,LTWEF,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,14956.0,190.99,0.0481307399302,Petroleum Products,LTWEF,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,9920.0,179.74,0.0452956657158,Telecom - Services,LTWEF,ICICI Prudential AMC,2026-08
INE777K01022,RR Kabel Ltd.,5844.0,171.14,0.043128408983,Industrial Products,LTWEF,ICICI Prudential AMC,2026-08
INE0LXT01019,Red Tape Ltd,134856.0,167.42,0.0421909444427,Consumer Durables,LTWEF,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,14750.0,167.24,0.0421455832553,It - Software,LTWEF,ICICI Prudential AMC,2026-08
INE849A01020,Trent Ltd.,5166.0,148.78,0.0374935414776,Retailing,LTWEF,ICICI Prudential AMC,2026-08
INE044A01036,Sun Pharmaceutical Industries Ltd.,7216.0,143.22,0.0360923847992,Pharmaceuticals & Biotechnology,LTWEF,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,10854.0,141.1,0.0355581308139,Banks,LTWEF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,10118.0,107.25,0.0270277075109,Banks,LTWEF,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,6544.0,85.87,0.0216398064705,It - Software,LTWEF,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,1523.0,79.71,0.020087445834,Transport Services,LTWEF,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,2280.0,74.83,0.0188576536414,Automobiles,LTWEF,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,1378.0,72.35,0.0182326772812,Food Products,LTWEF,ICICI Prudential AMC,2026-08
INE466L01038,360 One Wam Ltd.,4087.0,48.02,0.0121013567802,Capital Markets,LTWEF,ICICI Prudential AMC,2026-08
INE103V01028,Travel Food Services Ltd,3000.0,38.99,0.0098257372107,Leisure Services,LTWEF,ICICI Prudential AMC,2026-08
INE506V01022,Rubicon Research Ltd,1346.0,24.49,0.0061716415565,Pharmaceuticals & Biotechnology,LTWEF,ICICI Prudential AMC,2026-08
INE127D01025,HDFC Asset Management Company Ltd.,741.0,19.43,0.0048964881765,Capital Markets,LTWEF,ICICI Prudential AMC,2026-08
INE494B04019,TVS Motor Company Ltd.,54032.0,5.4,0.0013608356229,CARE A1+,LTWEF,ICICI Prudential AMC,2026-08
