isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE041025011,EMBASSY OFFICE PARKS REIT,4475446.0,19623.94,0.0362136564691,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0FDU25010,Brookfield India Real Estate Trust REIT,1365449.0,4665.88,0.0086103287844,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0CCU25019,MINDSPACE BUSINESS PARKS REIT,405994.0,2013.12,0.0037149744705,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0NDH25011,Nexus Select Trust,14766.0,24.78,,Units of Real Estate Investment Trust (REITs),MDMTERM BOND,ICICI Prudential AMC,2026-08
IN0020250018,Government Securities,18979000.0,17229.23,0.0317945028596,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,14822500.0,14246.02,0.0262893422183,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,12354300.0,12343.7,0.0227788360216,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,9538300.0,9182.5,0.0169452159213,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2920250221,State Government of Rajasthan,2500000.0,2462.72,0.0045446580075,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN3520260057,State Government of Chhattisgarh,2500000.0,2457.13,0.0045343423247,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2920250213,State Government of Rajasthan,2500000.0,2452.14,0.0045251338708,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2220250376,State Government of Maharashtra,2456600.0,2385.41,0.0044019915612,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN1020250321,State Government of Andhra Pradesh,2261900.0,2206.95,0.0040726647729,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN4520250528,State Government of Telangana,2064900.0,2005.39,0.0037007096712,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2920250338,State Government of Rajasthan,1941500.0,1930.5,0.0035625090483,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,2000000.0,1918.85,0.0035410103534,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2920250312,State Government of Rajasthan,1956400.0,1896.49,0.0034997476224,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN1020250313,State Government of Andhra Pradesh,1851800.0,1841.8,0.0033988237063,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2120250187,State Government of Madhya Pradesh,1805700.0,1763.08,0.0032535552721,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN1020250339,State Government of Andhra Pradesh,1761900.0,1717.54,0.0031695165971,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,1653600.0,1586.26,0.0029272549096,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2720250082,State Government of Odisha,1582000.0,1542.87,0.0028471838049,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,1381400.0,1341.36,0.0024753209723,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,1331200.0,1304.4,0.0024071156708,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN0020240118,Government Securities,1000000.0,944.39,0.0017427598653,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN1620250184,State Government of Haryana,694100.0,678.51,0.0012521098235,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN2220250319,State Government of Maharashtra,327900.0,319.51,0.0005896178534,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,288800.0,279.26,0.0005153412467,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
IN3320250126,State Government of Uttar Pradesh,107000.0,104.62,0.0001930638159,SOV,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE423A07476,Adani Enterprises Ltd. **,17500.0,17523.47,0.0323374879217,ICRA AA-,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE205A08038,Vedanta Ltd.,17000.0,17062.68,0.0314871545654,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE725H08246,Tata Projects Ltd. **,15000.0,15000.47,0.0276815903155,FITCH AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE093I07082,Oberoi Realty Ltd. **,15000.0,14955.15,0.0275979576244,CARE AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE814H07190,Adani Power Ltd. **,12500.0,12428.63,0.0229355642751,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE729N08089,TVS Credit Services Ltd. **,110.0,11143.42,0.0205638614759,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE813H07366,Torrent Power Ltd. **,10500.0,10563.86,0.0194943521549,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE670K07273,Lodha Developers Ltd. **,10000.0,10032.45,0.0185136979548,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE523L07AO8,Nuvama Wealth & Investment Ltd **,10000.0,10000.57,0.0184548671916,CARE AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE201P08209,G R Infraprojects Ltd. **,10000.0,9994.16,0.0184430382959,CARE AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE432R07505,Truhome Finance Ltd. **,10000.0,9831.72,0.0181432745198,FITCH AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE105N07209,Oriental Nagpur Betul Highway Ltd. **,8237.0,8239.27,0.0152045966985,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE205A08046,Vedanta Ltd.,7500.0,7575.12,0.0139789865538,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE414G07KC4,Muthoot Finance Ltd. **,7500.0,7458.14,0.0137631138221,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE729N08113,TVS Credit Services Ltd. **,70.0,7161.69,0.0132160504668,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE484J08071,Godrej Properties Ltd. **,6500.0,6542.47,0.0120733533143,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE233A08204,Godrej Industries Ltd. **,6200.0,6166.01,0.0113786409826,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE233A08212,Godrej Industries Ltd. **,6200.0,6165.47,0.0113776444766,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE121A08PP7,Cholamandalam Investment And Finance Company Ltd. **,5500.0,5549.55,0.0102410370832,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE248U07GJ0,360 One Prime Ltd **,5500.0,5500.83,0.0101511300949,ICRA AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE729N08097,TVS Credit Services Ltd. **,50.0,5068.96,0.0093541651725,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE484J08089,Godrej Properties Ltd. **,5000.0,5017.82,0.0092597923609,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE896L07975,Indostar Capital Finance Ltd. **,5000.0,5017.32,0.0092588696702,CARE AA-,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE896L07AJ8,Indostar Capital Finance Ltd. **,5000.0,5013.28,0.0092514143288,CARE AA-,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE813H07432,Torrent Power Ltd. **,5000.0,5006.79,0.0092394378026,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE670K07364,Lodha Developers Ltd **,5000.0,5000.38,0.009227608907,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE248U07GB7,360 One Prime Ltd **,5000.0,4988.22,0.0092051690676,ICRA AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE220B08142,Kalpataru Projects International Ltd **,5000.0,4987.17,0.009203231417,FITCH AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE248U07GC5,360 One Prime Ltd. **,5000.0,4985.77,0.0092006478828,ICRA AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0NDH07050,Nexus Select Trust **,5000.0,4977.3,0.0091850175012,ICRA AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE248U07GG6,360 One Prime Ltd **,5000.0,4977.25,0.0091849252322,ICRA AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE03ST08010,Hampi Expressways Private Ltd. **,5000.0,4923.37,0.0090854960752,CARE AA+(CE),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE103D08021,Bharat Sanchar Nigam Ltd. **,510.0,4918.64,0.0090767674205,CRISIL AAA(CE),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE012I07090,JM Financial Services Ltd. **,5000.0,4915.32,0.0090706407539,ICRA AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE128M08094,L&T Metro Rail (Hyderabad) Ltd. **,5000.0,4889.08,0.0090222179424,CRISIL AAA(CE),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE153A08089,Mahanagar Telephone Nigam Ltd. ** #,500.0,4817.58,0.0088902731629,BWR AA+(CE),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE216P07217,Aavas Financiers Ltd. **,450.0,4498.99,0.0083023530605,CARE AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE216P07308,Aavas Financiers Ltd. **,4500.0,4475.75,0.0082594663936,CARE AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE852O07139,Aptus Value Housing Finance India Ltd. **,5000.0,4001.95,0.0073851246236,CARE AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE285J07058,SIS Ltd. **,3750.0,3749.88,0.0069199593007,CRISIL AA-,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE670K07281,Lodha Developers Ltd. **,5000.0,3342.09,0.0061674311656,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE852O07147,Aptus Value Housing Finance India Ltd. **,4000.0,3210.17,0.0059239884339,CARE AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE105N07217,Oriental Nagpur Betul Highway Ltd. **,3094.0,3095.53,0.005712433895,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE105N07225,Oriental Nagpur Betul Highway Ltd. **,3000.0,2989.87,0.0055174508823,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0REQ08025,Aadharshila Infratech Pvt Ltd **,3000.0,2957.38,0.0054574944363,CARE AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE414G07JZ7,Muthoot Finance Ltd. **,2600.0,2584.36,0.0047691302171,CRISIL AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE423A07328,Adani Enterprises Ltd. **,250000.0,2522.41,0.0046548088311,ICRA AA-,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE121A08PT9,Cholamandalam Investment And Finance Company Ltd. **,2500.0,2517.63,0.0046459879074,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE202B07JR4,Piramal Finance Ltd. **,2500.0,2511.12,0.0046339744736,CARE AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE406M08029,Eris Lifesciences Ltd. **,2500.0,2504.39,0.0046215550559,FITCH AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE087M08126,Bahadur Chand Investments Pvt. Ltd. **,2500.0,2499.45,0.0046124388711,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE115A07RF8,LIC Housing Finance Ltd. **,2500.0,2496.23,0.0046064967426,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,2500.0,2494.75,0.0046037655779,ICRA AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE261F08EO7,NABARD,2500.0,2492.9,0.0046003516221,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE261F08EK5,NABARD,2500.0,2491.87,0.0045984508791,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE087M08134,Bahadur Chand Investments Pvt. Ltd. **,2500.0,2490.96,0.0045967715819,ICRA AA+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE012I07108,JM Financial Services Ltd. **,2500.0,2475.73,0.0045686664212,ICRA AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE115A07RB7,LIC Housing Finance Ltd. **,2500.0,2449.1,0.004519523911,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE936D07190,Jamnagar Utilities & Power Pvt. Ltd. **,2500.0,2436.95,0.0044971025254,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE896L07AG4,Indostar Capital Finance Ltd. **,1500.0,1509.84,0.0027862308528,CARE AA-,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE916U08012,Sheela Foam Ltd. **,1500.0,1500.68,0.002769327158,FITCH AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE163K07139,Phoenix Arc Pvt Ltd. **,850.0,846.26,0.0015616725756,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE163K07154,Phoenix Arc Pvt Ltd. **,850.0,844.9,0.0015591628567,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE316Z08022,Godrej Seeds & Genetics Ltd. **,750.0,743.14,0.0013713768319,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE316Z08030,Godrej Seeds & Genetics Ltd. **,750.0,739.98,0.0013655454263,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE316Z08014,Godrej Seeds & Genetics Ltd. **,750.0,739.04,0.0013638107677,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE020B08BS3,Rural Electrification Corporation Ltd. **,20.0,205.25,0.0003787645595,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE020B08BQ7,Rural Electrification Corporation Ltd. **,5.0,51.33,9.4723434e-05,CRISIL AAA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE02PE08036,JTPM Metal Traders Ltd. **,15000.0,16170.39,0.0298405390779,CRISIL AA,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE2I7F15012,Siddhivinayak Securitisation Trust **,150.0,14861.89,0.0274258573427,CRISIL AAA(SO),MDMTERM BOND,ICICI Prudential AMC,2026-08
INE028A16LG5,Bank Of Baroda **,500.0,2430.72,0.0044856057984,FITCH A1+,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0Z8Z23013,Capital Infra Trust InvIT,14841358.0,11420.42,0.0210750321604,Units of Infrastructure Investment Trusts,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE0NR623014,Cube Highways Trust,4200000.0,6595.68,0.0121715460657,Units of Infrastructure Investment Trusts,MDMTERM BOND,ICICI Prudential AMC,2026-08
INE2PB023011,Raajmarg Infra Investment Trust,5320892.0,6464.35,0.011929192109,Units of Infrastructure Investment Trusts,MDMTERM BOND,ICICI Prudential AMC,2026-08
INF0RQ622028,Corporate Debt Market Development Fund (Class A2),16108.9,1928.34,0.0035585230242,Financial Services,MDMTERM BOND,ICICI Prudential AMC,2026-08
