isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020240035,Government Securities,19081000.0,18338.9,0.0895379445319,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020250018,Government Securities,14808250.0,13443.0,0.0656341758961,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2220250202,State Government of Maharashtra,7500000.0,7039.33,0.0343688628588,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2220250210,State Government of Maharashtra,7500000.0,7035.29,0.0343491379409,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2220250194,State Government of Maharashtra,7289900.0,6847.22,0.0334309039559,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN3320250050,State Government of Uttar Pradesh,5000000.0,4906.34,0.0239547409481,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,4960700.0,4758.7,0.0232339026137,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN4520250684,State Government of Telangana,4405600.0,4424.21,0.0216007868289,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,4000000.0,3837.69,0.0187371584092,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2020200035,State Government of Kerala,3500000.0,3781.46,0.0184626207531,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,2762800.0,2682.71,0.0130980778113,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,2662400.0,2608.79,0.0127371704036,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,2500000.0,2567.25,0.012534355283,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,2500000.0,2497.86,0.0121955651717,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2120250120,State Government of Madhya Pradesh,2500000.0,2463.91,0.0120298075081,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2120250138,State Government of Madhya Pradesh,2500000.0,2463.57,0.0120281474903,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1720250084,State Government of Himachal pradesh,2500000.0,2463.05,0.0120256086395,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2920250221,State Government of Rajasthan,2500000.0,2462.72,0.0120239974457,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2920250171,State Government of Rajasthan,2500000.0,2462.0,0.0120204821138,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2120250195,State Government of Madhya Pradesh,2500000.0,2443.58,0.0119305482062,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1020250321,State Government of Andhra Pradesh,2261900.0,2206.95,0.0107752246145,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2120250187,State Government of Madhya Pradesh,1805700.0,1763.08,0.0086080713262,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1320250112,State Government of Bihar,1707100.0,1687.47,0.0082389126533,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020200120,Government Securities,1421610.0,1482.65,0.0072388983777,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1620250325,State Government of Haryana,1226400.0,1233.74,0.0060236188477,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1620250135,State Government of Haryana,1217900.0,1199.65,0.0058571776473,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1520250169,State Government of Gujarat,1084300.0,1058.13,0.005166219634,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN2220250186,State Government of Maharashtra,890000.0,836.7,0.0040851086046,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1020250313,State Government of Andhra Pradesh,740700.0,736.7,0.0035968680638,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN1620250184,State Government of Haryana,694100.0,678.51,0.0033127608932,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020240142,Government Securities,700000.0,650.27,0.0031748817644,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,577700.0,558.62,0.0027274093088,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,351100.0,338.0,0.0016502530278,SOV,BOND FUND,ICICI Prudential AMC,2026-08
IN0020220151,Government Securities,17200.0,17.69,8.63697516e-05,SOV,BOND FUND,ICICI Prudential AMC,2026-08
INE507T07146,Summit Digitel Infrastructure Private Ltd. **,11650.0,11691.24,0.0570813733991,CRISIL AAA,BOND FUND,ICICI Prudential AMC,2026-08
INE040A08864,HDFC Bank Ltd. **,1100.0,10598.56,0.0517464666581,CRISIL AAA,BOND FUND,ICICI Prudential AMC,2026-08
INE01XX07034,Pipeline Infrastructure Pvt Ltd. **,7400.0,7451.38,0.036380658007,CRISIL AAA,BOND FUND,ICICI Prudential AMC,2026-08
INE261F08EM1,NABARD,6000.0,5987.39,0.0292328653142,ICRA AAA,BOND FUND,ICICI Prudential AMC,2026-08
INE115A07NP6,LIC Housing Finance Ltd. **,500.0,5099.37,0.024897191664,CRISIL AAA,BOND FUND,ICICI Prudential AMC,2026-08
