isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN3120160137,State Government of Tamil Nadu,17000000.0,17053.57,0.0046685407199,SOV,MONEY MARKET,ICICI Prudential AMC,2026-08
IN3120160152,State Government of Tamil Nadu,7500000.0,7529.82,0.0020613438291,SOV,MONEY MARKET,ICICI Prudential AMC,2026-08
IN3420160126,State Government of West Bengal,7428400.0,7466.46,0.0020439985612,SOV,MONEY MARKET,ICICI Prudential AMC,2026-08
IN3420160118,State Government of West Bengal,6634700.0,6660.76,0.0018234322365,SOV,MONEY MARKET,ICICI Prudential AMC,2026-08
IN3320160267,State Government of Uttar Pradesh,5000000.0,5015.69,0.0013730821759,SOV,MONEY MARKET,ICICI Prudential AMC,2026-08
INE238AD6BV1,Axis Bank Ltd. **,26000.0,126847.37,0.0347254042447,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE040A16IK8,HDFC Bank Ltd. **,21500.0,104714.35,0.0286663265779,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE028A16LD2,Bank Of Baroda **,19000.0,92507.87,0.0253247125389,FITCH A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE556F16BV4,Small Industries Development Bank Of India. **,17000.0,82884.78,0.0226903205895,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE095A160D4,IndusInd Bank Ltd. **,15000.0,72941.03,0.0199681455971,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE556F16CB4,Small Industries Development Bank Of India.,15000.0,72664.8,0.0198925255948,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE692A16KU1,Union Bank Of India **,12100.0,58970.98,0.0161437412475,ICRA A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE476A16G28,Canara Bank **,12100.0,58883.14,0.0161196943988,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE160A16UE2,Punjab National Bank,11500.0,55875.74,0.0152963964406,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE261F16AF6,NABARD **,11000.0,53562.52,0.0146631353836,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE556F16BW2,Small Industries Development Bank Of India. **,10500.0,51061.76,0.0139785338667,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
INE160A16UD4,Punjab National Bank **,10000.0,48597.25,0.0133038560549,CRISIL A1+,MONEY MARKET,ICICI Prudential AMC,2026-08
