isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109KC18U7,ICICI Prudential Nifty Private Bank ETF,24672963,6920.77,0.2626885444209,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC18W3,ICICI Prudential Nifty Oil & Gas ETF,23376960,2622.89,0.0995558523511,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF666M01LM6,Groww BSE Power ETF,20634000,2308.94,0.0876393938471,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC16I6,ICICI Prudential Nifty IT ETF,6445290,2211.38,0.0839363529436,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC19W1,ICICI Prudential Nifty Metal ETF,15809493,2107.41,0.0799900105621,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF204KC1089,Nippon India Nifty Pharma ETF,7627000,2105.05,0.0799004331069,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC19V3,ICICI Prudential Nifty FMCG ETF,4182300,2095.33,0.0795314954523,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC10V2,ICICI Prudential Nifty Auto ETF,6479500,1941.26,0.0736835299746,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC15I8,ICICI Prudential Nifty Bank ETF,2309440,1363.26,0.051744644753,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF247L01CI4,Motilal Oswal Nifty Realty ETF,792000,713.2,0.0270706106229,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109K1A567,ICICI Prudential BSE Insurance ETF,4028500,616.36,0.0233948984346,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF109KC1Q72,ICICI Prudential Nifty Healthcare ETF,210500,360.1,0.0136681532323,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
INF174KA1XV0,Kotak Nifty Chemicals ETF,948000,285.16,0.0108236894633,Capital Markets,AGGRES,ICICI Prudential AMC,2026-08
