isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE467B01029,Tata Consultancy Services Ltd.,32354.0,776.27,0.0547079997727,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,49353.0,738.57,0.0520510742294,Food Products,N200ETF,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,64580.0,732.21,0.0516028501855,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,164655.0,682.41,0.0480931713513,Aerospace & Defense,N200ETF,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,49461.0,649.03,0.0457406998756,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,5247.0,636.46,0.0448548231096,Automobiles,N200ETF,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,31028.0,610.44,0.0430210511564,Diversified Fmcg,N200ETF,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,235012.0,600.46,0.04231770588,Diversified Fmcg,N200ETF,ICICI Prudential AMC,2026-08
INE935N01020,Dixon Technologies (India) Ltd.,4025.0,597.71,0.0421238983139,Consumer Durables,N200ETF,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,10963.0,575.56,0.0405628664629,Food Products,N200ETF,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,129542.0,520.43,0.0366775533277,Consumable Fuels,N200ETF,ICICI Prudential AMC,2026-08
INE259A01022,Colgate - Palmolive (India) Ltd.,26672.0,506.13,0.0356697539837,Personal Products,N200ETF,ICICI Prudential AMC,2026-08
INE066F01020,Hindustan Aeronautics Ltd.,10506.0,504.46,0.0355520599344,Aerospace & Defense,N200ETF,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,18912.0,501.85,0.0353681189353,Consumer Durables,N200ETF,ICICI Prudential AMC,2026-08
INE158A01026,Hero Motocorp Ltd.,8464.0,461.29,0.0325096335233,Automobiles,N200ETF,ICICI Prudential AMC,2026-08
INE267A01025,Hindustan Zinc Ltd.,73279.0,436.34,0.0307512703322,Non - Ferrous Metals,N200ETF,ICICI Prudential AMC,2026-08
INE127D01025,HDFC Asset Management Company Ltd.,16532.0,433.49,0.0305504152182,Capital Markets,N200ETF,ICICI Prudential AMC,2026-08
INE196A01026,Marico Ltd.,51194.0,419.79,0.0295849011614,Agricultural Food & Other Products,N200ETF,ICICI Prudential AMC,2026-08
INE343H01029,Solar Industries India Ltd.,2085.0,419.25,0.0295468444029,Chemicals & Petrochemicals,N200ETF,ICICI Prudential AMC,2026-08
INE298A01020,Cummins India Ltd.,8208.0,419.02,0.0295306350429,Industrial Products,N200ETF,ICICI Prudential AMC,2026-08
INE262H01021,Persistent Systems Ltd.,7366.0,412.09,0.0290422399762,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE318A01026,Pidilite Industries Ltd.,22222.0,375.04,0.026431123494,Chemicals & Petrochemicals,N200ETF,ICICI Prudential AMC,2026-08
INE455K01017,Polycab India Ltd.,3745.0,353.72,0.0249285862903,Industrial Products,N200ETF,ICICI Prudential AMC,2026-08
INE881D01027,Oracle Financial Services Software Ltd.,2681.0,336.2,0.0236938559052,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE214T01019,LTIMindtree Ltd.,7382.0,335.14,0.0236191518979,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE761H01022,Page Industries Ltd.,886.0,317.19,0.022354117057,Textiles & Apparels,N200ETF,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,21154.0,263.18,0.0185477364579,Consumer Durables,N200ETF,ICICI Prudential AMC,2026-08
INE249Z01020,Mazagon Dock Shipbuilders Ltd,9866.0,244.68,0.0172439401038,Industrial Manufacturing,N200ETF,ICICI Prudential AMC,2026-08
INE670A01012,Tata Elxsi Ltd.,5116.0,183.08,0.012902650622,It - Software,N200ETF,ICICI Prudential AMC,2026-08
INE04I401011,KPIT Technologies Ltd,24981.0,146.14,0.0102992864425,It - Software,N200ETF,ICICI Prudential AMC,2026-08
