isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,61837112.0,438425.12,0.098502437614,Banks,NIFETF,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,28928052.0,420613.88,0.0945007267701,Banks,NIFETF,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,27280330.0,348369.81,0.0782694100103,Petroleum Products,NIFETF,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,12279506.0,222492.37,0.0499881046859,Telecom - Services,NIFETF,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,4726390.0,191177.75,0.042952544308,Construction,NIFETF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,16691560.0,176930.54,0.0397515760008,Banks,NIFETF,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,14163872.0,160589.98,0.0360802877499,It - Software,NIFETF,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,11597255.0,150764.32,0.0338727238649,Banks,NIFETF,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,29730995.0,124691.79,0.0280149213746,Banks,NIFETF,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,3605125.0,118320.2,0.0265833949454,Automobiles,NIFETF,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,10823244.0,114401.69,0.0257030102019,Finance,NIFETF,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,38926441.0,99457.06,0.0223453502115,Diversified Fmcg,NIFETF,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,4122819.0,98918.8,0.0222244175376,It - Software,NIFETF,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,29193976.0,95785.44,0.0215204350698,Retailing,NIFETF,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,1667198.0,85067.11,0.0191123120312,Consumer Durables,NIFETF,ICICI Prudential AMC,2026-08
INE044A01036,Sun Pharmaceutical Industries Ltd.,4275949.0,84869.04,0.019067810982,Pharmaceuticals & Biotechnology,NIFETF,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,526785.0,71363.56,0.016033489634,Automobiles,NIFETF,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,3582513.0,70482.36,0.0158355074836,Diversified Fmcg,NIFETF,ICICI Prudential AMC,2026-08
INE721A01047,Shriram Finance Ltd.,5655438.0,62769.71,0.0141026806204,Finance,NIFETF,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,19144273.0,62678.35,0.0140821544637,Power,NIFETF,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,33379691.0,61535.46,0.0138253775461,Ferrous Metals,NIFETF,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,14463488.0,59943.93,0.0134678031796,Aerospace & Defense,NIFETF,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,5846925.0,59372.6,0.0133394405582,Non - Ferrous Metals,NIFETF,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,4257442.0,55866.15,0.0125516347126,It - Software,NIFETF,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,477815.0,54709.82,0.0122918381853,Cement & Cement Products,NIFETF,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,447187.0,54243.78,0.0121871314202,Automobiles,NIFETF,ICICI Prudential AMC,2026-08
INE047A01021,Grasim Industries Ltd.,1523577.0,51359.78,0.0115391734974,Cement & Cement Products,NIFETF,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,3787600.0,49530.45,0.0111281718098,Ferrous Metals,NIFETF,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,1826153.0,48458.8,0.0108874006212,Consumer Durables,NIFETF,ICICI Prudential AMC,2026-08
INE752E01010,Power Grid Corporation Of India Ltd.,18287072.0,48195.58,0.0108282621037,Power,NIFETF,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,914049.0,47841.32,0.010748669325,Transport Services,NIFETF,ICICI Prudential AMC,2026-08
INE742F01042,Adani Ports and Special Economic Zone Ltd.,2979129.0,47460.5,0.0106631092223,Transport Infrastructure,NIFETF,ICICI Prudential AMC,2026-08
INE918I01026,Bajaj Finserv Ltd.,2337717.0,47245.26,0.0106147505318,Finance,NIFETF,ICICI Prudential AMC,2026-08
INE066A01021,Eicher Motors Ltd.,556512.0,44262.18,0.0099445319741,Automobiles,NIFETF,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,2895466.0,43330.65,0.0097352420144,Food Products,NIFETF,ICICI Prudential AMC,2026-08
INE669C01036,Tech Mahindra Ltd.,2564660.0,41752.66,0.009380709725,It - Software,NIFETF,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,9672661.0,38859.92,0.0087307881571,Consumable Fuels,NIFETF,ICICI Prudential AMC,2026-08
