isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE685A01028,Torrent Pharmaceuticals Ltd.,144610.0,7325.94,0.0463176736762,Pharmaceuticals & Biotechnology,AP30ETF,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,54097.0,6561.97,0.0414875340411,Automobiles,AP30ETF,ICICI Prudential AMC,2026-08
INE437A01024,Apollo Hospitals Enterprise Ltd.,70561.0,6278.87,0.0396976567806,Healthcare Services,AP30ETF,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,416518.0,6233.19,0.0394088486094,Food Products,AP30ETF,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,1868051.0,6116.0,0.038667924144,Power,AP30ETF,ICICI Prudential AMC,2026-08
INE196A01026,Marico Ltd.,744021.0,6100.97,0.038572898163,Agricultural Food & Other Products,AP30ETF,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,419246.0,6095.84,0.0385404641455,Banks,AP30ETF,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,592621.0,6017.77,0.0380468727724,Non - Ferrous Metals,AP30ETF,ICICI Prudential AMC,2026-08
INE171A01029,The Federal Bank Ltd.,1637687.0,5841.63,0.036933241615,Banks,AP30ETF,ICICI Prudential AMC,2026-08
INE047A01021,Grasim Industries Ltd.,173057.0,5833.75,0.036883420941,Cement & Cement Products,AP30ETF,ICICI Prudential AMC,2026-08
INE044A01036,Sun Pharmaceutical Industries Ltd.,291184.0,5779.42,0.036539923832,Pharmaceuticals & Biotechnology,AP30ETF,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,423849.0,5542.67,0.0350430907644,Ferrous Metals,AP30ETF,ICICI Prudential AMC,2026-08
INE298A01020,Cummins India Ltd.,107613.0,5493.64,0.0347331024844,Industrial Products,AP30ETF,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,104368.0,5325.27,0.0336685965347,Consumer Durables,AP30ETF,ICICI Prudential AMC,2026-08
INE123W01016,SBI Life Insurance Company Ltd.,305620.0,5319.32,0.0336309781324,Insurance,AP30ETF,ICICI Prudential AMC,2026-08
INE318A01026,Pidilite Industries Ltd.,306698.0,5176.14,0.0327257339566,Chemicals & Petrochemicals,AP30ETF,ICICI Prudential AMC,2026-08
INE326A01037,Lupin Ltd.,234192.0,5125.06,0.0324027847144,Pharmaceuticals & Biotechnology,AP30ETF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,480763.0,5096.09,0.0322196241908,Banks,AP30ETF,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,278076.0,5038.46,0.031855263094,Telecom - Services,AP30ETF,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,115534.0,5015.68,0.0317112383536,Automobiles,AP30ETF,ICICI Prudential AMC,2026-08
INE066A01021,Eicher Motors Ltd.,62153.0,4943.34,0.0312538744503,Automobiles,AP30ETF,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,88237.0,4632.44,0.0292882338982,Food Products,AP30ETF,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,347913.0,4442.85,0.0280895661843,Petroleum Products,AP30ETF,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,165766.0,4398.77,0.027810873886,Consumer Durables,AP30ETF,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,1051474.0,4224.3,0.0267078011709,Consumable Fuels,AP30ETF,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,36862.0,4220.7,0.0266850404569,Cement & Cement Products,AP30ETF,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,30737.0,4163.94,0.0263261798659,Automobiles,AP30ETF,ICICI Prudential AMC,2026-08
INE010B01027,Zydus Lifesciences Ltd.,351661.0,4083.84,0.0258197539791,Pharmaceuticals & Biotechnology,AP30ETF,ICICI Prudential AMC,2026-08
INE192A01025,Tata Consumer Products Ltd.,384293.0,3987.04,0.0252077436689,Agricultural Food & Other Products,AP30ETF,ICICI Prudential AMC,2026-08
INE180A01020,Max Financial Services Ltd.,233392.0,3671.49,0.0232127038612,Insurance,AP30ETF,ICICI Prudential AMC,2026-08
