isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE101A01026,Mahindra & Mahindra Ltd.,157630.0,5173.42,0.2276054555533,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,23033.0,3120.28,0.1372772268352,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,19554.0,2371.9,0.1043521268381,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE066A01021,Eicher Motors Ltd.,24332.0,1935.25,0.085141638966,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,41476.0,1800.6,0.079217690284,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE775A01035,Samvardhana Motherson International Ltd.,780023.0,1331.34,0.0585725201503,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
INE158A01026,Hero Motocorp Ltd.,22920.0,1249.14,0.0549561177615,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE155A01022,Tata Motors Passenger Vehicles Ltd.,369002.0,1139.66,0.0501395273293,Automobiles,AUTOETF,ICICI Prudential AMC,2026-08
INE465A01025,Bharat Forge Ltd.,47061.0,990.59,0.0435811683985,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
INE208A01029,Ashok Leyland Ltd.,505208.0,887.35,0.0390391077827,"Agricultural, Commercial & Construction Vehicles",AUTOETF,ICICI Prudential AMC,2026-08
INE323A01026,Bosch Ltd.,1531.0,765.5,0.0336782971856,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
INE073K01018,Sona Blw Precision Forgings Ltd.,79161.0,643.62,0.0283161667336,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
INE974X01010,Tube Investments of India Ltd.,18864.0,524.42,0.0230719433182,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
INE405E01023,UNO Minda Ltd.,32115.0,409.79,0.0180287777971,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
INE302A01020,Exide Industries Ltd.,80328.0,353.64,0.0155584494013,Auto Components,AUTOETF,ICICI Prudential AMC,2026-08
