isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,7343271.0,52063.79,0.1702331836463,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,3124543.0,45430.86,0.1485454657371,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,2963102.0,31408.88,0.1026977413124,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,7204347.0,30215.03,0.0987942051639,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,2163319.0,28123.15,0.091954376711,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE171A01029,The Federal Bank Ltd.,6129892.0,21865.32,0.071493124781,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE095A01012,IndusInd Bank Ltd.,1638103.0,16652.96,0.0544502503166,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE949L01017,AU Small Finance Bank Ltd.,1357755.0,14747.93,0.0482213660606,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE092T01019,IDFC First Bank Ltd.,16637003.0,14302.83,0.0467660207997,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE028A01039,Bank Of Baroda,4455666.0,10631.22,0.0347609428096,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE160A01022,Punjab National Bank,9030339.0,10315.36,0.0337281740967,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE528G01035,Yes Bank Ltd.,44654245.0,10194.56,0.0333331938507,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE476A01022,Canara Bank,8015116.0,10171.18,0.0332567481706,Banks,BANKETF,ICICI Prudential AMC,2026-08
INE692A01016,Union Bank Of India,5137012.0,9689.95,0.0316832685033,Banks,BANKETF,ICICI Prudential AMC,2026-08
