isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE002A01018,Reliance Industries Ltd.,97419.0,1244.04,0.0998610935616,Petroleum Products,COMETF,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,283195.0,927.18,0.0744262312533,Power,COMETF,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,493777.0,910.28,0.0730696410463,Ferrous Metals,COMETF,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,86490.0,878.26,0.0704993440977,Non - Ferrous Metals,COMETF,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,7068.0,809.29,0.064963011164,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-08
INE047A01021,Grasim Industries Ltd.,22539.0,759.79,0.0609895664746,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,56027.0,732.67,0.0588126004146,Ferrous Metals,COMETF,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,143084.0,574.84,0.0461433322264,Consumable Fuels,COMETF,ICICI Prudential AMC,2026-08
INE213A01029,Oil & Natural Gas Corporation Ltd.,232041.0,537.87,0.0431756908089,Oil,COMETF,ICICI Prudential AMC,2026-08
INE814H01029,Adani Power Ltd.,247864.0,490.77,0.0393948979833,Power,COMETF,ICICI Prudential AMC,2026-08
INE029A01011,Bharat Petroleum Corporation Ltd.,121064.0,392.31,0.031491355274,Petroleum Products,COMETF,ICICI Prudential AMC,2026-08
INE245A01021,Tata Power Company Ltd.,99633.0,345.73,0.0277523036856,Power,COMETF,ICICI Prudential AMC,2026-08
INE318A01026,Pidilite Industries Ltd.,18509.0,312.38,0.0250752454959,Chemicals & Petrochemicals,COMETF,ICICI Prudential AMC,2026-08
INE242A01010,Indian Oil Corporation Ltd.,223188.0,310.52,0.0249259403015,Petroleum Products,COMETF,ICICI Prudential AMC,2026-08
INE205A01025,Vedanta Ltd.,101296.0,281.81,0.0226213423817,Diversified Metals,COMETF,ICICI Prudential AMC,2026-08
INE931S01010,Adani Energy Solutions Ltd.,19616.0,278.04,0.0223187184124,Power,COMETF,ICICI Prudential AMC,2026-08
INE749A01030,Jindal Steel Ltd.,22126.0,263.94,0.0211868887131,Ferrous Metals,COMETF,ICICI Prudential AMC,2026-08
INE364U01010,Adani Green Energy Ltd.,20026.0,243.3,0.019530082685,Power,COMETF,ICICI Prudential AMC,2026-08
INE702C01027,APL Apollo Tubes Ltd.,10874.0,241.77,0.0194072671219,Industrial Products,COMETF,ICICI Prudential AMC,2026-08
INE647A01010,SRF Ltd.,8676.0,222.14,0.0178315354199,Chemicals & Petrochemicals,COMETF,ICICI Prudential AMC,2026-08
INE094A01015,Hindustan Petroleum Corporation Ltd.,57363.0,209.81,0.01684178647,Petroleum Products,COMETF,ICICI Prudential AMC,2026-08
INE121E01018,JSW Energy Ltd,36614.0,190.54,0.0152949525475,Power,COMETF,ICICI Prudential AMC,2026-08
INE628A01036,UPL Ltd.,33499.0,188.35,0.0151191577218,Fertilizers & Agrochemicals,COMETF,ICICI Prudential AMC,2026-08
INE070A01015,Shree Cements Ltd.,799.0,185.37,0.0148799483244,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-08
INE584A01023,NMDC Ltd.,206466.0,182.1,0.01461746016,Minerals & Mining,COMETF,ICICI Prudential AMC,2026-08
INE848E01016,NHPC Ltd.,225149.0,172.73,0.0138653151754,Power,COMETF,ICICI Prudential AMC,2026-08
INE274J01014,Oil India Ltd.,32579.0,157.41,0.012635554112,Oil,COMETF,ICICI Prudential AMC,2026-08
INE079A01024,Ambuja Cements Ltd.,37242.0,149.4,0.0119925785168,Cement & Cement Products,COMETF,ICICI Prudential AMC,2026-08
INE813H01021,Torrent Power Ltd.,11357.0,138.0,0.0110774821641,Power,COMETF,ICICI Prudential AMC,2026-08
INE603J01030,PI Industries Ltd.,4839.0,114.68,0.0092055482216,Fertilizers & Agrochemicals,COMETF,ICICI Prudential AMC,2026-08
