isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE154A01025,ITC Ltd.,7477956.0,19106.18,0.2598858122849,Diversified Fmcg,FMCGETF,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,688202.0,13539.69,0.1841693804693,Diversified Fmcg,FMCGETF,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,556227.0,8323.94,0.1132237793379,Food Products,FMCGETF,ICICI Prudential AMC,2026-08
INE192A01025,Tata Consumer Products Ltd.,505209.0,5241.54,0.0712964015059,Agricultural Food & Other Products,FMCGETF,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,91370.0,4796.93,0.0652487336308,Food Products,FMCGETF,ICICI Prudential AMC,2026-08
INE200M01039,Varun Beverages Ltd.,1060681.0,4247.5,0.0577752846293,Beverages,FMCGETF,ICICI Prudential AMC,2026-08
INE854D01024,United Spirits Ltd.,229174.0,3414.69,0.0464472481862,Beverages,FMCGETF,ICICI Prudential AMC,2026-08
INE196A01026,Marico Ltd.,410647.0,3367.31,0.0458027766181,Agricultural Food & Other Products,FMCGETF,ICICI Prudential AMC,2026-08
INE102D01028,Godrej Consumer Products Ltd.,311761.0,2809.9,0.038220782173,Personal Products,FMCGETF,ICICI Prudential AMC,2026-08
INE944F01028,Radico Khaitan Ltd.,60745.0,2724.41,0.0370579313,Beverages,FMCGETF,ICICI Prudential AMC,2026-08
INE259A01022,Colgate - Palmolive (India) Ltd.,102218.0,1939.69,0.0263840239771,Personal Products,FMCGETF,ICICI Prudential AMC,2026-08
INE016A01026,Dabur India Ltd.,458073.0,1745.26,0.0237393509716,Personal Products,FMCGETF,ICICI Prudential AMC,2026-08
INE619A01035,Patanjali Foods Ltd.,268740.0,927.15,0.0126112666613,Agricultural Food & Other Products,FMCGETF,ICICI Prudential AMC,2026-08
INE686F01025,United Breweries Ltd.,56052.0,733.44,0.0099763872298,Beverages,FMCGETF,ICICI Prudential AMC,2026-08
INE548C01032,Emami Ltd.,152825.0,556.28,0.0075666239749,Personal Products,FMCGETF,ICICI Prudential AMC,2026-08
