isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE296A01032,Bajaj Finance Ltd.,317090.0,3351.64,0.1558382838125,Finance,FINETF,ICICI Prudential AMC,2026-08
INE721A01047,Shriram Finance Ltd.,165687.0,1838.96,0.0855045202945,Finance,FINETF,ICICI Prudential AMC,2026-08
INE118H01025,BSE Ltd.,48345.0,1586.68,0.0737744770201,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE918I01026,Bajaj Finserv Ltd.,68490.0,1384.18,0.0643590110178,Finance,FINETF,ICICI Prudential AMC,2026-08
INE745G01043,Multi Commodity Exchange Of India Ltd.,30181.0,1026.15,0.0477120021644,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE121A01024,Cholamandalam Investment And Finance Company Ltd.,51182.0,950.65,0.0442015444697,Finance,FINETF,ICICI Prudential AMC,2026-08
INE758E01017,Jio Financial Services Ltd,388177.0,936.87,0.0435608278202,Finance,FINETF,ICICI Prudential AMC,2026-08
INE123W01016,SBI Life Insurance Company Ltd.,53158.0,925.21,0.043018682963,Insurance,FINETF,ICICI Prudential AMC,2026-08
INE982J01020,One 97 Communications Ltd,49809.0,855.27,0.0397667437422,Financial Technology (Fintech),FINETF,ICICI Prudential AMC,2026-08
INE417T01026,PB Fintech Ltd.,40939.0,767.61,0.0356908931261,Financial Technology (Fintech),FINETF,ICICI Prudential AMC,2026-08
INE795G01014,HDFC Life Insurance Company Ltd.,127269.0,691.52,0.0321530027157,Insurance,FINETF,ICICI Prudential AMC,2026-08
INE127D01025,HDFC Asset Management Company Ltd.,24120.0,632.45,0.0294064764107,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE0J1Y01017,Life Insurance Corporation of India,150087.0,627.36,0.0291698111171,Insurance,FINETF,ICICI Prudential AMC,2026-08
INE118A01012,Bajaj Holdings & Investment Ltd.,5122.0,596.41,0.0277307559429,Finance,FINETF,ICICI Prudential AMC,2026-08
INE134E01011,Power Finance Corporation Ltd.,172267.0,579.33,0.0269366020697,Finance,FINETF,ICICI Prudential AMC,2026-08
INE180A01020,Max Financial Services Ltd.,31379.0,493.62,0.022951418904,Insurance,FINETF,ICICI Prudential AMC,2026-08
INE020B01018,Rural Electrification Corporation Ltd.,147773.0,477.75,0.0222135253462,Finance,FINETF,ICICI Prudential AMC,2026-08
INE765G01017,ICICI Lombard General Insurance Company Ltd.,28752.0,450.52,0.0209474357697,Insurance,FINETF,ICICI Prudential AMC,2026-08
INE674K01013,Aditya Birla Capital Ltd.,97418.0,398.83,0.0185440508923,Finance,FINETF,ICICI Prudential AMC,2026-08
INE414G01012,Muthoot Finance Ltd.,12687.0,377.83,0.0175676321958,Finance,FINETF,ICICI Prudential AMC,2026-08
INE466L01038,360 One Wam Ltd.,30656.0,360.21,0.0167483704133,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE498L01015,L&T Finance Ltd.,100933.0,323.99,0.0150642806424,Finance,FINETF,ICICI Prudential AMC,2026-08
INE736A01011,Central Depository Services (India) Ltd.,21075.0,295.58,0.0137433256344,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE572E01012,PNB Housing Finance Ltd.,22239.0,255.46,0.0118779009627,Finance,FINETF,ICICI Prudential AMC,2026-08
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,46801.0,241.98,0.0112511331518,Insurance,FINETF,ICICI Prudential AMC,2026-08
INE018E01016,SBI Cards & Payment Services Ltd.,35083.0,226.2,0.0105174242455,Finance,FINETF,ICICI Prudential AMC,2026-08
INE596I01020,Computer Age Management Services Ltd.,28428.0,222.31,0.010336554306,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE732I01021,Angel One Ltd.,76860.0,220.51,0.0102528612749,Capital Markets,FINETF,ICICI Prudential AMC,2026-08
INE053F01010,Indian Railway Finance Corporation Ltd.,237973.0,198.33,0.0092215771468,Finance,FINETF,ICICI Prudential AMC,2026-08
INE115A01026,LIC Housing Finance Ltd.,35569.0,191.5,0.0089040085898,Finance,FINETF,ICICI Prudential AMC,2026-08
