isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE044A01036,Sun Pharmaceutical Industries Ltd.,215831.0,4283.81,0.1808048417885,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE361B01024,Divi's Laboratories Ltd.,25904.0,2452.33,0.1035043892384,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE437A01024,Apollo Hospitals Enterprise Ltd.,20976.0,1866.55,0.0787806362654,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-08
INE059A01026,Cipla Ltd.,114693.0,1616.25,0.0682163367518,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE027H01010,MAX Healthcare Institute Ltd,151700.0,1580.87,0.0667230690059,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-08
INE947Q01028,Laurus Labs Ltd.,79305.0,1518.69,0.0640986657148,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE685A01028,Torrent Pharmaceuticals Ltd.,29899.0,1514.68,0.0639294174485,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE089A01031,Dr. Reddy's Laboratories Ltd.,124251.0,1434.35,0.0605389652714,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE326A01037,Lupin Ltd.,49500.0,1083.26,0.0457206675636,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE406A01037,Aurobindo Pharma Ltd.,56420.0,968.73,0.0408867513698,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE061F01013,Fortis Healthcare Ltd.,106220.0,963.31,0.0406579918678,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-08
INE935A01035,Glenmark Pharmaceuticals Ltd.,30690.0,761.11,0.0321238274185,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE540L01014,Alkem Laboratories Ltd.,11927.0,635.65,0.0268285936311,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE376G01013,Biocon Ltd.,145425.0,599.15,0.025288054549,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE010B01027,Zydus Lifesciences Ltd.,50996.0,592.22,0.0249955631561,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE571A01038,IPCA Laboratories Ltd.,28313.0,559.15,0.0235997925412,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE634S01028,Mankind Pharma Ltd.,23076.0,558.25,0.023561806646,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE358A01014,Abbott India Ltd.,1062.0,274.53,0.0115869642248,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE0DK501011,Piramal Pharma Ltd.,126779.0,271.81,0.0114721624083,Pharmaceuticals & Biotechnology,HEALETF,ICICI Prudential AMC,2026-08
INE398R01022,Syngene International Ltd.,38752.0,155.3,0.0065546772452,Healthcare Services,HEALETF,ICICI Prudential AMC,2026-08
