isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE009A01021,Infosys Ltd.,1463032.0,16587.86,0.2886625439371,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,485174.0,11640.78,0.2025732775784,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,500985.0,6573.93,0.1143997693171,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE669C01036,Tech Mahindra Ltd.,371427.0,6046.83,0.1052271559173,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE591G01025,COFORGE Ltd.,203546.0,4041.0,0.0703216291944,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE262H01021,Persistent Systems Ltd.,63555.0,3555.58,0.0618743326729,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE075A01022,Wipro Ltd.,1583917.0,2922.33,0.0508544931066,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE214T01019,LTIMindtree Ltd.,54300.0,2465.22,0.0428998482362,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE356A01018,Mphasis Ltd.,77422.0,1879.34,0.0327043431354,It - Software,ITETF,ICICI Prudential AMC,2026-08
INE881D01027,Oracle Financial Services Software Ltd.,13948.0,1749.08,0.0304375538706,It - Software,ITETF,ICICI Prudential AMC,2026-08
