isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE009A01021,Infosys Ltd.,1190446.0,13497.28,0.2886197087781,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,394769.0,9471.69,0.2025383195308,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,407649.0,5349.17,0.1143842231623,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE669C01036,Tech Mahindra Ltd.,302227.0,4920.26,0.1052126064149,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE591G01025,COFORGE Ltd.,165619.0,3288.03,0.0703097410036,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE262H01021,Persistent Systems Ltd.,51714.0,2893.14,0.0618655924937,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE075A01022,Wipro Ltd.,1288803.0,2377.84,0.0508466512009,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE214T01019,LTIMindtree Ltd.,44198.0,2006.59,0.0429080097202,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE356A01018,Mphasis Ltd.,62993.0,1529.09,0.032697366469,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
INE881D01027,Oracle Financial Services Software Ltd.,11346.0,1422.79,0.0304242955212,It - Software,NIFTYIT,ICICI Prudential AMC,2026-08
