isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE397D01024,Bharti Airtel Ltd.,26693.0,483.65,0.0940577524548,Telecom - Services,CONETF,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,13468.0,442.02,0.0859617652022,Automobiles,CONETF,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,145425.0,371.56,0.0722590685456,Diversified Fmcg,CONETF,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,109066.0,357.85,0.0695928186001,Retailing,CONETF,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,6227.0,317.73,0.0617904883437,Consumer Durables,CONETF,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,1968.0,266.6,0.051846990188,Automobiles,CONETF,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,13384.0,263.32,0.0512091127393,Diversified Fmcg,CONETF,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,1670.0,202.57,0.0393947667006,Automobiles,CONETF,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,6822.0,181.03,0.0352057788212,Consumer Durables,CONETF,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,3414.0,178.69,0.0347507077145,Transport Services,CONETF,ICICI Prudential AMC,2026-08
INE066A01021,Eicher Motors Ltd.,2079.0,165.35,0.0321564134568,Automobiles,CONETF,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,10816.0,161.86,0.0314776962934,Food Products,CONETF,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,3543.0,153.81,0.0299121738965,Automobiles,CONETF,ICICI Prudential AMC,2026-08
INE849A01020,Trent Ltd.,5020.0,144.57,0.0281152264496,Retailing,CONETF,ICICI Prudential AMC,2026-08
INE437A01024,Apollo Hospitals Enterprise Ltd.,1552.0,138.1,0.0268569742872,Healthcare Services,CONETF,ICICI Prudential AMC,2026-08
INE814H01029,Adani Power Ltd.,62598.0,123.94,0.0241032106673,Power,CONETF,ICICI Prudential AMC,2026-08
INE027H01010,MAX Healthcare Institute Ltd,11227.0,117.0,0.0227535553338,Healthcare Services,CONETF,ICICI Prudential AMC,2026-08
INE158A01026,Hero Motocorp Ltd.,1958.0,106.71,0.0207524093134,Automobiles,CONETF,ICICI Prudential AMC,2026-08
INE192A01025,Tata Consumer Products Ltd.,9824.0,101.92,0.0198208748685,Agricultural Food & Other Products,CONETF,ICICI Prudential AMC,2026-08
INE053A01029,The Indian Hotels Company Ltd.,13247.0,97.75,0.0190099148195,Leisure Services,CONETF,ICICI Prudential AMC,2026-08
INE192R01011,Avenue Supermarts Ltd.,2431.0,94.81,0.0184381588136,Retailing,CONETF,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,1777.0,93.29,0.0181425570691,Food Products,CONETF,ICICI Prudential AMC,2026-08
INE935N01020,Dixon Technologies (India) Ltd.,625.0,92.81,0.0180492091498,Consumer Durables,CONETF,ICICI Prudential AMC,2026-08
INE245A01021,Tata Power Company Ltd.,25162.0,87.31,0.0169795975743,Power,CONETF,ICICI Prudential AMC,2026-08
INE200M01039,Varun Beverages Ltd.,20627.0,82.6,0.016063621116,Beverages,CONETF,ICICI Prudential AMC,2026-08
INE663F01032,Info Edge (India) Ltd.,5775.0,75.83,0.0147470265039,Retailing,CONETF,ICICI Prudential AMC,2026-08
INE271C01023,DLF Ltd.,9678.0,66.88,0.0130064767583,Realty,CONETF,ICICI Prudential AMC,2026-08
INE854D01024,United Spirits Ltd.,4456.0,66.39,0.0129111840907,Beverages,CONETF,ICICI Prudential AMC,2026-08
INE102D01028,Godrej Consumer Products Ltd.,6062.0,54.64,0.0106261048157,Personal Products,CONETF,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,3802.0,47.3,0.0091986595494,Consumer Durables,CONETF,ICICI Prudential AMC,2026-08
