isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE081A01020,Tata Steel Ltd.,10141554.0,18695.95,0.178838683962,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,1776411.0,18038.57,0.1725504250577,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,1150752.0,15048.38,0.1439473508947,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE423A01024,Adani Enterprises Ltd.,354040.0,10122.36,0.0968268283232,Metals & Minerals Trading,METALETF,ICICI Prudential AMC,2026-08
INE205A01025,Vedanta Ltd.,2080525.0,5788.02,0.0553661022599,Diversified Metals,METALETF,ICICI Prudential AMC,2026-08
INE749A01030,Jindal Steel Ltd.,454477.0,5421.46,0.0518597221084,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE702C01027,APL Apollo Tubes Ltd.,223335.0,4965.63,0.0474994174803,Industrial Products,METALETF,ICICI Prudential AMC,2026-08
INE139A01034,National Aluminium Company Ltd.,1100209.0,4197.3,0.0401498510743,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE191B01025,Welspun Corp Ltd.,160778.0,3844.2,0.0367722244061,Industrial Products,METALETF,ICICI Prudential AMC,2026-08
INE584A01023,NMDC Ltd.,4240565.0,3740.18,0.0357772067737,Minerals & Mining,METALETF,ICICI Prudential AMC,2026-08
INE267A01025,Hindustan Zinc Ltd.,590018.0,3513.26,0.0336065722692,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE114A01011,Steel Authority Of India Ltd.,1773692.0,3458.7,0.0330846710768,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE281B01032,Lloyds Metals & Energy Ltd.,159667.0,2865.38,0.0274091869229,Minerals & Mining,METALETF,ICICI Prudential AMC,2026-08
INE220G01021,Jindal Stainless Ltd.,384257.0,2698.06,0.0258086644246,Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
INE531E01026,Hindustan Copper Ltd.,402635.0,2115.24,0.0202336194664,Non - Ferrous Metals,METALETF,ICICI Prudential AMC,2026-08
