isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE002A01018,Reliance Industries Ltd.,770750.0,9842.48,0.3243337818107,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-08
INE213A01029,Oil & Natural Gas Corporation Ltd.,1934725.0,4484.69,0.1477815009986,Oil,NIFOGETF,ICICI Prudential AMC,2026-08
INE029A01011,Bharat Petroleum Corporation Ltd.,1009421.0,3271.03,0.1077884364831,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-08
INE242A01010,Indian Oil Corporation Ltd.,1860913.0,2589.09,0.0853168460741,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-08
INE129A01019,GAIL (India) Ltd.,1343475.0,2384.67,0.0785807072476,Gas,NIFOGETF,ICICI Prudential AMC,2026-08
INE094A01015,Hindustan Petroleum Corporation Ltd.,478289.0,1749.34,0.0576450303046,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-08
INE274J01014,Oil India Ltd.,271645.0,1312.45,0.0432484365665,Oil,NIFOGETF,ICICI Prudential AMC,2026-08
INE347G01014,Petronet LNG Ltd.,373230.0,1121.93,0.0369703367268,Gas,NIFOGETF,ICICI Prudential AMC,2026-08
INE399L01023,Adani total gas Ltd.,138162.0,858.26,0.0282817655282,Gas,NIFOGETF,ICICI Prudential AMC,2026-08
INE208C01025,Aegis Logistics Ltd.,62522.0,790.65,0.0260538507153,Gas,NIFOGETF,ICICI Prudential AMC,2026-08
INE203G01027,Indraprastha Gas Ltd.,349366.0,525.76,0.0173250775337,Gas,NIFOGETF,ICICI Prudential AMC,2026-08
INE172A01027,Castrol India Ltd.,238298.0,439.64,0.0144872129621,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-08
INE178A01016,Chennai Petroleum Corporation Ltd.,23956.0,327.57,0.0107942324401,Petroleum Products,NIFOGETF,ICICI Prudential AMC,2026-08
INE002S01010,Mahanagar Gas Ltd.,28366.0,303.32,0.0099951356465,Gas,NIFOGETF,ICICI Prudential AMC,2026-08
INE0INX01018,Aegis Vopak Terminals Ltd,71869.0,193.15,0.0063647647703,Oil,NIFOGETF,ICICI Prudential AMC,2026-08
