isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN2920170072,State Government of Rajasthan,59678500.0,60393.69,0.0757882089563,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2120170047,State Government of Madhya Pradesh,35783000.0,36214.65,0.0454458646504,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2220170061,State Government of Maharashtra,28564130.0,28834.26,0.0361841927853,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120180119,State Government of Tamil Nadu,26495000.0,27107.99,0.0340178917782,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3320170092,State Government of Uttar Pradesh,24588700.0,24845.48,0.0311786617088,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2220170103,State Government of Maharashtra,20167000.0,20392.95,0.0255911694721,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3320170100,State Government of Uttar Pradesh,19943600.0,20179.13,0.0253228461615,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3520170017,State Government of Chhattisgarh,19157300.0,19388.66,0.0243308831678,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2220210230,State Government of Maharashtra,17500000.0,17540.78,0.0220119734345,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120170086,State Government of Tamil Nadu,16710800.0,16870.49,0.0211708246559,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1520170086,State Government of Gujarat,14600000.0,14739.52,0.0184966644971,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1320210033,State Government of Bihar,9500000.0,9544.32,0.0119771936191,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3320170050,State Government of Uttar Pradesh,9000000.0,9079.81,0.0113942787328,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1520170078,State Government of Gujarat,8304640.0,8380.82,0.0105171142446,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120170060,State Government of Tamil Nadu,8293280.0,8372.81,0.0105070624734,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1620170036,State Government of Haryana,8255000.0,8337.32,0.010462525974,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1920170025,State Government of Karnataka,7750000.0,7843.69,0.009843068319,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1720170035,State Government of Himachal pradesh,7500000.0,7578.44,0.0095102053589,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1320210025,State Government of Bihar,7000000.0,7020.38,0.0088098943183,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1920200087,State Government of Karnataka,5875000.0,5876.02,0.0073738337828,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1620170051,State Government of Haryana,5733000.0,5799.33,0.0072775952892,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2220210222,State Government of Maharashtra,5590100.0,5605.36,0.0070341817987,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1520170094,State Government of Gujarat,5544300.0,5601.69,0.0070295763055,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1820170075,State Government of Jammu & Kashmir,5500000.0,5564.39,0.0069827684321,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN4520190088,State Government of Telangana,5367000.0,5409.53,0.0067884341889,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1220170048,State Government of Assam,5000000.0,5048.65,0.0063355648768,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1520210098,State Government of Gujarat,5000000.0,5004.75,0.0062804746451,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3620170065,State Government of Uttarakhand,4532000.0,4583.5,0.0057518468527,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1220170030,State Government of Assam,4300000.0,4342.36,0.0054492395984,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1520230062,State Government of Gujarat,3500000.0,3542.53,0.0044455307147,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3520190023,State Government of Chhattisgarh,3500000.0,3535.32,0.0044364828658,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2120170021,State Government of Madhya Pradesh,3497600.0,3532.05,0.0044323793337,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3320170068,State Government of Uttar Pradesh,3100000.0,3126.1,0.0039229515536,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1620220096,State Government of Haryana,3001000.0,3038.21,0.0038126581491,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2020170063,State Government of Kerala,3000000.0,3026.39,0.0037978251983,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120170045,State Government of Tamil Nadu,2600000.0,2624.51,0.0032935048725,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3420170018,State Government of West Bengal,2500000.0,2524.61,0.0031681400857,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3320170084,State Government of Uttar Pradesh,2322100.0,2344.25,0.0029418058218,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2920210290,State Government of Rajasthan,2315800.0,2314.94,0.0029050246216,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120170052,State Government of Tamil Nadu,2200000.0,2221.95,0.0027883312129,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN4520190104,State Government of Telangana,2000000.0,2022.89,0.0025385302672,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1720170019,State Government of Himachal pradesh,2000000.0,2021.48,0.0025367608543,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1620170028,State Government of Haryana,2000000.0,2019.13,0.0025338118328,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1020170040,State Government of Andhra Pradesh,2000000.0,2018.94,0.0025335734012,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1520170060,State Government of Gujarat,2000000.0,2018.85,0.00253346046,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3420170034,State Government of West Bengal,2000000.0,2017.66,0.0025319671257,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN4520190096,State Government of Telangana,2000000.0,2016.58,0.0025306118307,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1820170067,State Government of Jammu & Kashmir,1500000.0,1517.29,0.001904051426,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2120170039,State Government of Madhya Pradesh,1465600.0,1481.23,0.001858799632,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1020180098,State Government of Andhra Pradesh,1000000.0,1016.51,0.0012756212161,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2920170031,State Government of Rajasthan,1000000.0,1009.3,0.0012665733671,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3420170026,State Government of West Bengal,1000000.0,1009.1,0.0012663223866,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1320160170,State Government of Bihar,1000000.0,1008.84,0.0012659961119,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2020160148,State Government of Kerala,1000000.0,1008.69,0.0012658078764,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1920190023,State Government of Karnataka,1000000.0,1007.98,0.0012649168955,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN2920160420,State Government of Rajasthan,815600.0,822.65,0.0010323457648,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN4520190021,State Government of Telangana,500000.0,506.31,0.0006353698221,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1220170014,State Government of Assam,500000.0,505.33,0.0006341400174,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1220170063,State Government of Assam,500000.0,505.1,0.0006338513898,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3420170042,State Government of West Bengal,500000.0,504.65,0.0006332866835,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN4520190062,State Government of Telangana,500000.0,503.81,0.0006322325652,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120161424,State Government of Tamil Nadu,472500.0,477.03,0.000598626269,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120160186,State Government of Tamil Nadu,400000.0,402.02,0.0005044960121,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1020180213,State Government of Andhra Pradesh,333000.0,340.03,0.0004267045893,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN1720160549,State Government of Himachal pradesh,300000.0,303.08,0.0003803359319,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN4520190039,State Government of Telangana,250000.0,252.95,0.000317427656,SOV,PSUSDL,ICICI Prudential AMC,2026-08
IN3120170078,State Government of Tamil Nadu,103000.0,103.95,0.000130447143,SOV,PSUSDL,ICICI Prudential AMC,2026-08
INE261F08EI9,NABARD **,66550.0,66629.46,0.0836134940111,ICRA AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE053F07AC3,Indian Railway Finance Corporation Ltd. **,4995.0,49894.71,0.0626130098574,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08JC3,Power Finance Corporation Ltd. **,3495.0,34932.84,0.043837317729,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE261F08CF9,NABARD **,3150.0,31305.42,0.0392852583179,ICRA AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE514E08FP6,Export-Import Bank Of India **,2500.0,24988.9,0.0313586398643,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE053F07AB5,Indian Railway Finance Corporation Ltd. **,2000.0,19982.06,0.0250755424723,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08LH8,Power Finance Corporation Ltd. **,5750.0,17099.91,0.0214587244497,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE752E07OG5,Power Grid Corporation Of India Ltd. **,1620.0,16180.38,0.0203048037043,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08LT3,Power Finance Corporation Ltd. **,874.0,8714.31,0.0109356117698,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE053F07AA7,Indian Railway Finance Corporation Ltd. **,755.0,7554.3,0.009479912006,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08NT9,Power Finance Corporation Ltd.,7500.0,7423.52,0.0093157958215,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08JE9,Power Finance Corporation Ltd. **,650.0,6486.64,0.0081401025131,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE053F09EO6,Indian Railway Finance Corporation Ltd. **,300.0,3061.91,0.0038423993447,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE514E08FN1,Export-Import Bank Of India **,250.0,2504.71,0.0031431675205,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE848E07AC9,NHPC Ltd. **,250.0,2504.37,0.0031427408536,FITCH AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE752E07OF7,Power Grid Corporation Of India Ltd. **,250.0,2499.78,0.0031369808499,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08IP7,Power Finance Corporation Ltd. **,212.0,2119.84,0.0026601930909,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE752E07KA6,Power Grid Corporation Of India Ltd. **,160.0,2030.66,0.0025482808617,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE752E07IX2,Power Grid Corporation Of India Ltd. **,100.0,1018.86,0.0012785702376,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE752E07KY6,Power Grid Corporation Of India Ltd. **,100.0,1003.82,0.0012596964999,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
INE134E08IR3,Power Finance Corporation Ltd.,50.0,500.13,0.000627614523,CRISIL AAA,PSUSDL,ICICI Prudential AMC,2026-08
