isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE044A01036,Sun Pharmaceutical Industries Ltd.,164106.0,3257.18,0.2076160638672,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE361B01024,Divi's Laboratories Ltd.,19688.0,1863.86,0.1188043880901,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE059A01026,Cipla Ltd.,87200.0,1228.82,0.0783262735253,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE947Q01028,Laurus Labs Ltd.,60292.0,1154.59,0.0735947755974,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE685A01028,Torrent Pharmaceuticals Ltd.,22724.0,1151.2,0.0733786934476,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE089A01031,Dr. Reddy's Laboratories Ltd.,94471.0,1090.57,0.0695140737606,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE326A01037,Lupin Ltd.,37631.0,823.52,0.0524920271265,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE406A01037,Aurobindo Pharma Ltd.,42891.0,736.44,0.046941456743,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE935A01035,Glenmark Pharmaceuticals Ltd.,23325.0,578.46,0.0368716461186,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE540L01014,Alkem Laboratories Ltd.,9056.0,482.64,0.0307639789833,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE376G01013,Biocon Ltd.,110570.0,455.55,0.0290372340167,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE010B01027,Zydus Lifesciences Ltd.,38768.0,450.21,0.0286968568251,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE571A01038,IPCA Laboratories Ltd.,21518.0,424.96,0.0270873953852,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE634S01028,Mankind Pharma Ltd.,17534.0,424.18,0.0270376773685,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE068V01023,Gland Pharma Ltd.,12341.0,356.14,0.0227007365222,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE570L01029,Sai Life Sciences Ltd.,21374.0,312.0,0.0198872067022,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE049B01025,Wockhardt Ltd.,12788.0,240.89,0.0153545808413,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE031B01049,Ajanta Pharma Ltd.,6516.0,234.7,0.0149600237597,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE0DK501011,Piramal Pharma Ltd.,96391.0,206.66,0.0131727247983,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
INE358A01014,Abbott India Ltd.,795.0,205.51,0.0130994225941,Pharmaceuticals & Biotechnology,PHARMDEX,ICICI Prudential AMC,2026-08
