isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,6510281.0,94659.49,0.2208276235778,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,21204873.0,88933.24,0.2074690667177,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,6263034.0,81419.44,0.1899404005688,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,11273973.0,79932.47,0.1864715032461,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE171A01029,The Federal Bank Ltd.,7098604.0,25320.72,0.0590697712916,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE095A01012,IndusInd Bank Ltd.,1896975.0,19284.65,0.0449884468111,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE092T01019,IDFC First Bank Ltd.,19108929.0,16427.95,0.0383241570259,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE528G01035,Yes Bank Ltd.,50588873.0,11549.44,0.0269432614612,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE976G01028,RBL Bank Ltd.,1780017.0,6770.29,0.015794159166,Banks,PVTETF,ICICI Prudential AMC,2026-08
INE545U01014,Bandhan Bank Ltd.,2627568.0,4296.07,0.0100221428281,Banks,PVTETF,ICICI Prudential AMC,2026-08
