isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE090A01021,ICICI Bank Ltd.,82010.0,1192.43,0.2208121909061,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,267144.0,1120.4,0.2074737961064,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,78898.0,1025.67,0.1899318533135,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,142026.0,1006.96,0.1864671668398,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE171A01029,The Federal Bank Ltd.,89425.0,318.98,0.0590681823295,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE095A01012,IndusInd Bank Ltd.,23887.0,242.84,0.0449687046113,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE092T01019,IDFC First Bank Ltd.,240738.0,206.96,0.0383245062854,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE528G01035,Yes Bank Ltd.,637347.0,145.51,0.0269452981715,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE976G01028,RBL Bank Ltd.,22416.0,85.26,0.0157883040485,Banks,PVTDEX,ICICI Prudential AMC,2026-08
INE545U01014,Bandhan Bank Ltd.,33094.0,54.11,0.0100199992032,Banks,PVTDEX,ICICI Prudential AMC,2026-08
