isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN3120180192,State Government of Tamil Nadu,14407000.0,14778.41,0.1626463506562,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3120180200,State Government of Tamil Nadu,9335000.0,9557.94,0.1051915639633,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2920180279,State Government of Rajasthan,8000000.0,8180.81,0.0900353212498,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2020180112,State Government of Kerala,5460000.0,5612.61,0.0617705513757,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3320180042,State Government of Uttar Pradesh,5000000.0,5165.94,0.0568546473341,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180234,State Government of Gujarat,3518700.0,3602.73,0.0396504689543,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180226,State Government of Gujarat,3500000.0,3589.5,0.0395048638981,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2920180196,State Government of Rajasthan,3100000.0,3206.1,0.0352852887989,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3120180168,State Government of Tamil Nadu,3000000.0,3096.93,0.0340837994573,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3120180184,State Government of Tamil Nadu,3000000.0,3087.92,0.0339846383419,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2920180188,State Government of Rajasthan,2960000.0,3048.81,0.0335542064636,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180119,State Government of Gujarat,2900000.0,2998.03,0.0329953383792,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2220180052,State Government of Maharashtra,2406400.0,2463.87,0.0271165479907,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1920180081,State Government of Karnataka,2000000.0,2064.21,0.0227180206455,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2220200256,State Government of Maharashtra,2000000.0,1985.44,0.0218511037687,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1920180115,State Government of Karnataka,1528800.0,1565.31,0.0172272902934,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2920180238,State Government of Rajasthan,1500000.0,1547.21,0.0170280876088,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3320180091,State Government of Uttar Pradesh,1500000.0,1536.98,0.0169154995721,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180218,State Government of Gujarat,1300000.0,1337.02,0.014714805162,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3320180067,State Government of Uttar Pradesh,1000000.0,1033.73,0.0113768945416,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180184,State Government of Gujarat,1000000.0,1032.3,0.011361156429,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1620180050,State Government of Haryana,1000000.0,1030.57,0.0113421166144,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1020220589,State Government of Andhra Pradesh,1000000.0,1009.87,0.0111142991794,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3320180059,State Government of Uttar Pradesh,800000.0,826.46,0.0090957486606,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180077,State Government of Gujarat,630000.0,647.93,0.0071309058268,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2120180095,State Government of Madhya Pradesh,550000.0,565.35,0.0062220573352,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180176,State Government of Gujarat,500000.0,516.14,0.0056804681577,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180192,State Government of Gujarat,500000.0,516.01,0.0056790374202,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2820180114,State Government of Punjab,500000.0,514.03,0.0056572461873,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2920180170,State Government of Rajasthan,500000.0,513.9,0.0056558154498,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2220200181,State Government of Maharashtra,500000.0,498.27,0.0054837967779,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1920170157,State Government of Karnataka,400000.0,406.64,0.004475346944,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180150,State Government of Gujarat,200000.0,206.44,0.0022720111723,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2920180204,State Government of Rajasthan,100000.0,103.33,0.0011372162102,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN2020180104,State Government of Kerala,100000.0,103.1,0.0011346849053,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN3320180083,State Government of Uttar Pradesh,50000.0,51.6,0.0005678927363,SOV,SDL2028,ICICI Prudential AMC,2026-08
IN1520180200,State Government of Gujarat,23000.0,23.73,0.0002611646246,SOV,SDL2028,ICICI Prudential AMC,2026-08
