isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN2220170061,State Government of Maharashtra,15772870.0,15922.03,0.1099339768029,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1520170060,State Government of Gujarat,14000000.0,14131.94,0.0975742643457,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1920170025,State Government of Karnataka,13000000.0,13157.16,0.0908438762037,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2920170072,State Government of Rajasthan,12100000.0,12245.01,0.0845459181581,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2120170047,State Government of Madhya Pradesh,10000000.0,10120.63,0.0698780936633,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3120180119,State Government of Tamil Nadu,6417000.0,6565.46,0.0453313507976,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1920200087,State Government of Karnataka,6000000.0,6001.04,0.0414343015402,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3120170078,State Government of Tamil Nadu,5397000.0,5446.97,0.0376087140663,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3320170050,State Government of Uttar Pradesh,5197400.0,5243.49,0.0362037823083,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2220210222,State Government of Maharashtra,5000000.0,5013.65,0.0346168473993,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3420170042,State Government of West Bengal,4200000.0,4239.02,0.0292683989634,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3320170100,State Government of Uttar Pradesh,4167000.0,4216.21,0.029110906859,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1620170036,State Government of Haryana,4100000.0,4140.89,0.028590858402,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3520170017,State Government of Chhattisgarh,3700000.0,3744.68,0.0258552184774,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2920210290,State Government of Rajasthan,3310500.0,3309.27,0.0228489213633,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2120170021,State Government of Madhya Pradesh,2599600.0,2625.21,0.0181258153164,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1520170078,State Government of Gujarat,2076160.0,2095.2,0.0144663505971,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3320170092,State Government of Uttar Pradesh,2000000.0,2020.89,0.0139532757055,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2220170103,State Government of Maharashtra,1983000.0,2005.22,0.0138450818749,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3320170068,State Government of Uttar Pradesh,1900000.0,1916.0,0.013229060588,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1520170094,State Government of Gujarat,1600000.0,1616.56,0.0111615710773,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2020170055,State Government of Kerala,1395100.0,1407.51,0.009718181142,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN4520190088,State Government of Telangana,1333000.0,1343.56,0.0092766370791,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1620170010,State Government of Haryana,1200000.0,1212.57,0.008372213986,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1620170051,State Government of Haryana,1167000.0,1180.5,0.0081507860251,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN4520190104,State Government of Telangana,1135000.0,1147.99,0.0079263200753,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3120170060,State Government of Tamil Nadu,1073320.0,1083.61,0.0074818070687,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2920200036,State Government of Rajasthan,1000000.0,1013.19,0.0069955907605,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1020220100,State Government of Andhra Pradesh,1000000.0,1009.81,0.0069722534824,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3320170084,State Government of Uttar Pradesh,1000000.0,1009.54,0.006970389262,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2920170023,State Government of Rajasthan,1000000.0,1008.93,0.0069661775047,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3120170045,State Government of Tamil Nadu,800000.0,807.54,0.0055756761937,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1220170030,State Government of Assam,700000.0,706.9,0.0048808052868,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2920160438,State Government of Rajasthan,500000.0,504.95,0.0034864374446,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1520170086,State Government of Gujarat,500000.0,504.78,0.0034852636762,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3120170086,State Government of Tamil Nadu,500000.0,504.78,0.0034852636762,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN4520190062,State Government of Telangana,500000.0,503.81,0.0034785662916,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2120170013,State Government of Madhya Pradesh,310100.0,312.86,0.0021601481709,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1920160083,State Government of Karnataka,200000.0,201.01,0.0013878775933,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN2920160446,State Government of Rajasthan,175000.0,176.61,0.0012194073019,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1020180213,State Government of Andhra Pradesh,167000.0,170.53,0.0011774278194,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN1520160186,State Government of Gujarat,150000.0,150.75,0.001040856411,SOV,NIFSDL,ICICI Prudential AMC,2026-08
IN3120160186,State Government of Tamil Nadu,100000.0,100.51,0.0006939733192,SOV,NIFSDL,ICICI Prudential AMC,2026-08
