isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE467B01029,Tata Consultancy Services Ltd.,4114.0,98.71,0.0756795377612,It - Software,EQL15ETF,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,8213.0,93.12,0.0713937651334,It - Software,EQL15ETF,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,2831.0,92.91,0.0712327611528,Automobiles,EQL15ETF,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,8757.0,92.56,0.0709644211851,Finance,EQL15ETF,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,6318.0,91.86,0.0704277412496,Banks,EQL15ETF,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,21378.0,89.66,0.0687410328809,Banks,EQL15ETF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,8388.0,88.91,0.0681660186642,Banks,EQL15ETF,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,655.0,88.73,0.0680280152523,Automobiles,EQL15ETF,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,6606.0,84.36,0.0646775990835,Petroleum Products,EQL15ETF,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,2075.0,83.93,0.064347924266,Construction,EQL15ETF,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,4622.0,83.75,0.064209920854,Telecom - Services,EQL15ETF,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,6268.0,81.48,0.0624695444918,Banks,EQL15ETF,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,4021.0,79.11,0.0606524995673,Diversified Fmcg,EQL15ETF,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,10941.0,77.57,0.0594718037092,Banks,EQL15ETF,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,29890.0,76.37,0.0585517809626,Diversified Fmcg,EQL15ETF,ICICI Prudential AMC,2026-08
