isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE467B01029,Tata Consultancy Services Ltd.,9834.0,235.95,0.0757362657396,It - Software,EQL15DEX,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,19631.0,222.58,0.0714447045066,It - Software,EQL15DEX,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,6767.0,222.09,0.0712874221577,Automobiles,EQL15DEX,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,20931.0,221.24,0.0710145854301,Finance,EQL15DEX,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,15100.0,219.55,0.0704721218187,Banks,EQL15DEX,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,51099.0,214.31,0.0687901636392,Banks,EQL15DEX,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,20049.0,212.52,0.0682156015893,Banks,EQL15DEX,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,1563.0,211.74,0.0679652337686,Automobiles,EQL15DEX,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,15789.0,201.63,0.064720081632,Petroleum Products,EQL15DEX,ICICI Prudential AMC,2026-08
INE018A01030,Larsen & Toubro Ltd.,4960.0,200.63,0.0643990972466,Construction,EQL15DEX,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,11049.0,200.2,0.0642610739609,Telecom - Services,EQL15DEX,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,14983.0,194.78,0.0625213385919,Banks,EQL15DEX,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,9611.0,189.09,0.0606949374389,Diversified Fmcg,EQL15DEX,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,26151.0,185.41,0.0595137149005,Banks,EQL15DEX,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,71446.0,182.54,0.0585924897144,Diversified Fmcg,EQL15DEX,ICICI Prudential AMC,2026-08
