isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE467B01029,Tata Consultancy Services Ltd.,5909.0,141.77,0.0547071041734,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,9010.0,134.83,0.0520290530839,Food Products,QUA30DEX,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,11790.0,133.68,0.0515852838111,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE263A01024,Bharat Electronics Ltd.,30059.0,124.58,0.0480737182615,Aerospace & Defense,QUA30DEX,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,9030.0,118.49,0.0457236705474,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,957.0,116.08,0.0447936845063,Automobiles,QUA30DEX,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,5664.0,111.43,0.042999313099,Diversified Fmcg,QUA30DEX,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,42904.0,109.62,0.0423008588523,Diversified Fmcg,QUA30DEX,ICICI Prudential AMC,2026-08
INE935N01020,Dixon Technologies (India) Ltd.,735.0,109.15,0.04211949228,Consumer Durables,QUA30DEX,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,2003.0,105.16,0.0405798058466,Food Products,QUA30DEX,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,23651.0,95.02,0.0366669185198,Consumable Fuels,QUA30DEX,ICICI Prudential AMC,2026-08
INE259A01022,Colgate - Palmolive (India) Ltd.,4869.0,92.39,0.0356520374873,Personal Products,QUA30DEX,ICICI Prudential AMC,2026-08
INE066F01020,Hindustan Aeronautics Ltd.,1919.0,92.14,0.0355555659063,Aerospace & Defense,QUA30DEX,ICICI Prudential AMC,2026-08
INE021A01026,Asian Paints Ltd.,3455.0,91.68,0.0353780581972,Consumer Durables,QUA30DEX,ICICI Prudential AMC,2026-08
INE158A01026,Hero Motocorp Ltd.,1546.0,84.26,0.0325147816721,Automobiles,QUA30DEX,ICICI Prudential AMC,2026-08
INE267A01025,Hindustan Zinc Ltd.,13380.0,79.67,0.0307435634443,Non - Ferrous Metals,QUA30DEX,ICICI Prudential AMC,2026-08
INE127D01025,HDFC Asset Management Company Ltd.,3018.0,79.13,0.0305351848292,Capital Markets,QUA30DEX,ICICI Prudential AMC,2026-08
INE343H01029,Solar Industries India Ltd.,383.0,77.01,0.0297171058221,Chemicals & Petrochemicals,QUA30DEX,ICICI Prudential AMC,2026-08
INE196A01026,Marico Ltd.,9348.0,76.65,0.0295781867454,Agricultural Food & Other Products,QUA30DEX,ICICI Prudential AMC,2026-08
INE298A01020,Cummins India Ltd.,1498.0,76.47,0.029508727207,Industrial Products,QUA30DEX,ICICI Prudential AMC,2026-08
INE262H01021,Persistent Systems Ltd.,1344.0,75.19,0.0290147927121,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE318A01026,Pidilite Industries Ltd.,4057.0,68.47,0.0264216366139,Chemicals & Petrochemicals,QUA30DEX,ICICI Prudential AMC,2026-08
INE455K01017,Polycab India Ltd.,685.0,64.7,0.0249668451719,Industrial Products,QUA30DEX,ICICI Prudential AMC,2026-08
INE881D01027,Oracle Financial Services Software Ltd.,490.0,61.45,0.0237127146184,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE214T01019,LTIMindtree Ltd.,1347.0,61.15,0.0235969487212,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE761H01022,Page Industries Ltd.,161.0,57.64,0.0222424877234,Textiles & Apparels,QUA30DEX,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,3863.0,48.06,0.0185456967382,Consumer Durables,QUA30DEX,ICICI Prudential AMC,2026-08
INE249Z01020,Mazagon Dock Shipbuilders Ltd,1800.0,44.64,0.0172259655096,Industrial Manufacturing,QUA30DEX,ICICI Prudential AMC,2026-08
INE670A01012,Tata Elxsi Ltd.,934.0,33.42,0.0128963209527,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
INE04I401011,KPIT Technologies Ltd,4561.0,26.68,0.010295447128,It - Software,QUA30DEX,ICICI Prudential AMC,2026-08
