isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE029A01011,Bharat Petroleum Corporation Ltd.,78790.0,255.32,0.0531461198285,Petroleum Products,NIF30ETF,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,24042.0,254.85,0.0530482870057,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE213A01029,Oil & Natural Gas Corporation Ltd.,103642.0,240.24,0.050007143301,Oil,NIF30ETF,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,23514.0,238.77,0.049701155536,Non - Ferrous Metals,NIF30ETF,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,69665.0,228.08,0.0474759792045,Power,NIF30ETF,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,56308.0,226.22,0.0470888110121,Consumable Fuels,NIF30ETF,ICICI Prudential AMC,2026-08
INE242A01010,Indian Oil Corporation Ltd.,159841.0,222.39,0.0462915775837,Petroleum Products,NIF30ETF,ICICI Prudential AMC,2026-08
INE155A01022,Tata Motors Passenger Vehicles Ltd.,71130.0,219.69,0.0457295592399,Automobiles,NIF30ETF,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,85669.0,218.88,0.0455609537367,Diversified Fmcg,NIF30ETF,ICICI Prudential AMC,2026-08
INE047A01021,Grasim Industries Ltd.,6279.0,211.67,0.0440601566039,Cement & Cement Products,NIF30ETF,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,113159.0,208.61,0.0434232024809,Ferrous Metals,NIF30ETF,ICICI Prudential AMC,2026-08
INE752E01010,Power Grid Corporation Of India Ltd.,78560.0,207.04,0.0430963992217,Power,NIF30ETF,ICICI Prudential AMC,2026-08
INE205A01025,Vedanta Ltd.,73973.0,205.79,0.0428362055441,Diversified Metals,NIF30ETF,ICICI Prudential AMC,2026-08
INE134E01011,Power Finance Corporation Ltd.,56312.0,189.38,0.0394203829435,Finance,NIF30ETF,ICICI Prudential AMC,2026-08
INE094A01015,Hindustan Petroleum Corporation Ltd.,41737.0,152.65,0.0317748519185,Petroleum Products,NIF30ETF,ICICI Prudential AMC,2026-08
INE020B01018,Rural Electrification Corporation Ltd.,47063.0,152.15,0.0316707744474,Finance,NIF30ETF,ICICI Prudential AMC,2026-08
INE028A01039,Bank Of Baroda,61896.0,147.68,0.030740321856,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE095A01012,IndusInd Bank Ltd.,14092.0,143.26,0.0298202770117,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE129A01019,GAIL (India) Ltd.,80636.0,143.13,0.0297932168692,Gas,NIF30ETF,ICICI Prudential AMC,2026-08
INE476A01022,Canara Bank,109100.0,138.45,0.02881905174,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE160A01022,Punjab National Bank,113949.0,130.16,0.0270934472696,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE171A01029,The Federal Bank Ltd.,35540.0,126.77,0.0263878020157,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE692A01016,Union Bank Of India,58805.0,110.92,0.0230885461827,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE562A01011,Indian Bank,8395.0,75.45,0.0157052903848,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE084A01016,Bank Of India,46008.0,65.14,0.0135592129313,Banks,NIF30ETF,ICICI Prudential AMC,2026-08
INE274J01014,Oil India Ltd.,12590.0,60.83,0.0126620651307,Oil,NIF30ETF,ICICI Prudential AMC,2026-08
INE584A01023,NMDC Ltd.,67202.0,59.27,0.0123373434209,Minerals & Mining,NIF30ETF,ICICI Prudential AMC,2026-08
INE115A01026,LIC Housing Finance Ltd.,10652.0,57.35,0.011937685932,Finance,NIF30ETF,ICICI Prudential AMC,2026-08
INE628A01036,UPL Ltd.,8972.0,50.45,0.0105014168312,Fertilizers & Agrochemicals,NIF30ETF,ICICI Prudential AMC,2026-08
INE114A01011,Steel Authority Of India Ltd.,25338.0,49.41,0.0102849356914,Ferrous Metals,NIF30ETF,ICICI Prudential AMC,2026-08
