isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE758T01015,Eternal Ltd.,206420.0,677.26,0.0252929151496,Retailing,EQUAL,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,5414.0,656.72,0.024525829426,Automobiles,EQUAL,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,12221.0,623.56,0.0232874378683,Consumer Durables,EQUAL,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,47491.0,623.18,0.0232732464089,It - Software,EQUAL,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,25076.0,601.65,0.0224691881991,It - Software,EQUAL,ICICI Prudential AMC,2026-08
INE918I01026,Bajaj Finserv Ltd.,29706.0,600.36,0.0224210119292,Finance,EQUAL,ICICI Prudential AMC,2026-08
INE669C01036,Tech Mahindra Ltd.,36183.0,589.06,0.0219990027434,It - Software,EQUAL,ICICI Prudential AMC,2026-08
INE721A01047,Shriram Finance Ltd.,51911.0,576.16,0.0215172400446,Finance,EQUAL,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,38256.0,572.5,0.0213805538835,Food Products,EQUAL,ICICI Prudential AMC,2026-08
INE047A01021,Grasim Industries Ltd.,16900.0,569.7,0.0212759852357,Cement & Cement Products,EQUAL,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,50065.0,567.64,0.0211990525876,It - Software,EQUAL,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,17251.0,566.18,0.021144527507,Automobiles,EQUAL,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,53386.0,564.29,0.0210739436697,Finance,EQUAL,ICICI Prudential AMC,2026-08
INE019A01038,JSW Steel Ltd.,42965.0,561.85,0.0209828195623,Ferrous Metals,EQUAL,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,38510.0,559.94,0.0209114888062,Banks,EQUAL,ICICI Prudential AMC,2026-08
INE044A01036,Sun Pharmaceutical Industries Ltd.,28211.0,559.93,0.0209111153467,Pharmaceuticals & Biotechnology,EQUAL,ICICI Prudential AMC,2026-08
INE075A01022,Wipro Ltd.,303283.0,559.56,0.0208972973468,It - Software,EQUAL,ICICI Prudential AMC,2026-08
