isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE040A01034,HDFC Bank Ltd.,189663.0,1344.71,0.1360044189213,Banks,NV20DEX,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,89094.0,1295.43,0.1310202232476,Banks,NV20DEX,ICICI Prudential AMC,2026-08
INE002A01018,Reliance Industries Ltd.,95664.0,1221.63,0.1235560665771,Petroleum Products,NV20DEX,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,96944.0,1027.61,0.1039328189184,Banks,NV20DEX,ICICI Prudential AMC,2026-08
INE009A01021,Infosys Ltd.,58114.0,658.9,0.0666413662628,It - Software,NV20DEX,ICICI Prudential AMC,2026-08
INE238A01034,Axis Bank Ltd.,39428.0,512.56,0.051840489743,Banks,NV20DEX,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,193232.0,493.71,0.0499339944416,Diversified Fmcg,NV20DEX,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,17101.0,410.3,0.0414978791586,It - Software,NV20DEX,ICICI Prudential AMC,2026-08
INE213A01029,Oil & Natural Gas Corporation Ltd.,164968.0,382.4,0.038676063832,Oil,NV20DEX,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,83758.0,351.28,0.0355285766289,Banks,NV20DEX,ICICI Prudential AMC,2026-08
INE155A01022,Tata Motors Passenger Vehicles Ltd.,98280.0,303.54,0.0307001370699,Automobiles,NV20DEX,ICICI Prudential AMC,2026-08
INE522F01014,Coal India Ltd.,68729.0,276.12,0.0279268691037,Consumable Fuels,NV20DEX,ICICI Prudential AMC,2026-08
INE733E01010,NTPC Ltd.,83998.0,275.01,0.0278146033327,Power,NV20DEX,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,18943.0,248.57,0.0251404528941,It - Software,NV20DEX,ICICI Prudential AMC,2026-08
INE038A01020,Hindalco Industries Ltd.,23725.0,240.92,0.0243667293368,Non - Ferrous Metals,NV20DEX,ICICI Prudential AMC,2026-08
INE047A01021,Grasim Industries Ltd.,6361.0,214.43,0.0216875218815,Cement & Cement Products,NV20DEX,ICICI Prudential AMC,2026-08
INE752E01010,Power Grid Corporation Of India Ltd.,73822.0,194.56,0.0196778634392,Power,NV20DEX,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,104785.0,193.17,0.0195372783745,Ferrous Metals,NV20DEX,ICICI Prudential AMC,2026-08
INE918I01026,Bajaj Finserv Ltd.,7554.0,152.67,0.0154410948358,Finance,NV20DEX,ICICI Prudential AMC,2026-08
INE075A01022,Wipro Ltd.,46766.0,86.28,0.0087263880424,It - Software,NV20DEX,ICICI Prudential AMC,2026-08
