isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INF109KC1S88,ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund-Direct-Growth,220229264.697,29462.05,0.1966181880314,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC18U7,ICICI Prudential Nifty Private Bank ETF,57977328.0,16262.64,0.108530492936,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC18O0,ICICI Prudential Nifty 10 Year Benchmark G-Sec ETF,3331800.0,8852.93,0.0590809891154,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC16E5,ICICI Prudential Nifty Infrastructure ETF,6229880.0,5893.47,0.0393307116313,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC15I8,ICICI Prudential Nifty Bank ETF,9738000.0,5748.34,0.0383621708261,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC18W3,ICICI Prudential Nifty Oil & Gas ETF,49274017.0,5528.54,0.0368953116724,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC16I6,ICICI Prudential Nifty IT ETF,15907580.0,5457.89,0.0364238212301,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC19V3,ICICI Prudential Nifty FMCG ETF,9133000.0,4575.63,0.0305359633732,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF666M01LM6,Groww BSE Power ETF,39389626.0,4407.7,0.0294152642937,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC19W1,ICICI Prudential Nifty Metal ETF,32636330.0,4350.42,0.0290329999974,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC10V2,ICICI Prudential Nifty Auto ETF,14290000.0,4281.28,0.028571586704,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC13P8,ICICI Prudential Nifty SDL Sep 2026 Index Fund - Direct Plan -  Growth,19191526.065,2475.69,0.0165217858882,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC1Q72,ICICI Prudential Nifty Healthcare ETF,1228531.0,2101.65,0.0140255893556,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109K1A567,ICICI Prudential BSE Insurance ETF,9037182.0,1382.69,0.0092275317708,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF247L01CI4,Motilal Oswal Nifty Realty ETF,1506000.0,1356.15,0.0090504142006,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109K012R6,ICICI Prudential Nifty 50 ETF,480000.0,1312.42,0.0087585772998,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC14A8,ICICI Prudential Nifty 5 yr Benchmark G-SEC ETF,1704300.0,1125.01,0.0075078763262,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF204KC1089,Nippon India Nifty Pharma ETF,2775000.0,765.9,0.0051113167689,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF457M01133,Reliance CPSE ETF,750000.0,694.35,0.004633820079,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF109KC1V42,ICICI Prudential Nifty India Consumption ETF,390000.0,477.98,0.0031898514025,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
INF174KA1XV0,Kotak Nifty Chemicals ETF,1250000.0,376.0,0.0025092768052,Capital Markets,MASFOF,ICICI Prudential AMC,2026-08
