isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE0J1Y01017,Life Insurance Corporation of India,50400.0,210.67,0.0215846242736,Insurance,RETIRECO,ICICI Prudential AMC,2026-08
INE775A01035,Samvardhana Motherson International Ltd.,102452.0,174.87,0.0179166622999,Auto Components,RETIRECO,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,38640.0,162.06,0.0166041876384,Banks,RETIRECO,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,4717.0,154.81,0.0158613741102,Automobiles,RETIRECO,ICICI Prudential AMC,2026-08
INE00H001014,Swiggy Ltd,52500.0,148.0,0.0151636416789,Retailing,RETIRECO,ICICI Prudential AMC,2026-08
INE066F01020,Hindustan Aeronautics Ltd.,2904.0,139.44,0.0142866094304,Aerospace & Defense,RETIRECO,ICICI Prudential AMC,2026-08
INE280A01028,Titan Company Ltd.,2500.0,127.56,0.0130694198146,Consumer Durables,RETIRECO,ICICI Prudential AMC,2026-08
INE665J01013,V-Mart Retail Ltd.,13260.0,112.37,0.0115130974017,Retailing,RETIRECO,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,14675.0,104.05,0.0106606548425,Banks,RETIRECO,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,1920.0,100.49,0.0102959077859,Transport Services,RETIRECO,ICICI Prudential AMC,2026-08
INE298J01013,Nippon Life India Asset Management Ltd,8210.0,96.25,0.0098614899432,Capital Markets,RETIRECO,ICICI Prudential AMC,2026-08
INE749A01030,Jindal Steel Ltd.,8000.0,95.43,0.0097774751717,Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-08
INE437A01024,Apollo Hospitals Enterprise Ltd.,1071.0,95.3,0.0097641557567,Healthcare Services,RETIRECO,ICICI Prudential AMC,2026-08
INE081A01020,Tata Steel Ltd.,50862.0,93.76,0.0096063719176,Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-08
INE192A01025,Tata Consumer Products Ltd.,8523.0,88.43,0.0090602759031,Agricultural Food & Other Products,RETIRECO,ICICI Prudential AMC,2026-08
INE944F01028,Radico Khaitan Ltd.,1726.0,77.41,0.0079311993403,Beverages,RETIRECO,ICICI Prudential AMC,2026-08
INE182A01018,Pfizer Ltd.,1645.0,77.06,0.0078953393768,Pharmaceuticals & Biotechnology,RETIRECO,ICICI Prudential AMC,2026-08
INE0FS801015,Motherson Sumi Wiring India Ltd.,196424.0,72.26,0.0074035455927,Auto Components,RETIRECO,ICICI Prudential AMC,2026-08
INE133A01011,Jsw Dulux Ltd.,2130.0,67.4,0.0069056043862,Consumer Durables,RETIRECO,ICICI Prudential AMC,2026-08
INE376G01013,Biocon Ltd.,15381.0,63.37,0.0064927025215,Pharmaceuticals & Biotechnology,RETIRECO,ICICI Prudential AMC,2026-08
INE220G01021,Jindal Stainless Ltd.,8490.0,59.61,0.0061074640573,Ferrous Metals,RETIRECO,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,2316400.0,2314.41,0.2371275941766,SOV,RETIRECO,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,600000.0,576.66,0.0590828757471,SOV,RETIRECO,ICICI Prudential AMC,2026-08
IN0020250018,Government Securities,400000.0,363.12,0.0372041997733,SOV,RETIRECO,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,163030.0,167.42,0.0171533573641,SOV,RETIRECO,ICICI Prudential AMC,2026-08
INE031A08616,Housing and Urban Development Corporation Ltd. **,50.0,513.13,0.0525737800994,ICRA AAA,RETIRECO,ICICI Prudential AMC,2026-08
INE261F08DV4,NABARD,500.0,499.55,0.0511824135183,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-08
INE020B08BO2,Rural Electrification Corporation Ltd. **,40.0,407.5,0.0417512431362,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-08
INE091A07208,Nirma Ltd. **,350.0,350.85,0.0359470519125,CRISIL AA,RETIRECO,ICICI Prudential AMC,2026-08
INE205A08046,Vedanta Ltd.,200.0,202.0,0.0206963217509,CRISIL AA+,RETIRECO,ICICI Prudential AMC,2026-08
INE134E08MI4,Power Finance Corporation Ltd. **,200.0,199.98,0.0204893585334,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-08
INE528G08345,Yes Bank Ltd. **,20.0,199.96,0.0204873093927,ICRA AA,RETIRECO,ICICI Prudential AMC,2026-08
INE053F07AC3,Indian Railway Finance Corporation Ltd. **,13.0,129.86,0.0133050710028,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-08
INE556F08KS8,Small Industries Development Bank Of India. **,100.0,99.16,0.0101596399248,CRISIL AAA,RETIRECO,ICICI Prudential AMC,2026-08
INE16J715035,India Universal Trust AL1 **,2.0,170.79,0.0174986375834,FITCH AAA(SO),RETIRECO,ICICI Prudential AMC,2026-08
INE16J715027,India Universal Trust AL1 **,1.0,47.98,0.004915888701,FITCH AAA(SO),RETIRECO,ICICI Prudential AMC,2026-08
