isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020260025,Government Securities,1100000.0,1099.06,0.1367951895811,SOV,RETIREDE,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,1000000.0,961.11,0.1196251566414,SOV,RETIREDE,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,695100.0,713.8,0.0888435629747,SOV,RETIREDE,ICICI Prudential AMC,2026-08
IN0020250018,Government Securities,500000.0,453.9,0.0564949470919,SOV,RETIREDE,ICICI Prudential AMC,2026-08
INE091A07208,Nirma Ltd. **,600.0,601.46,0.0748610946858,CRISIL AA,RETIREDE,ICICI Prudential AMC,2026-08
INE031A08616,Housing and Urban Development Corporation Ltd. **,50.0,513.13,0.0638670460482,ICRA AAA,RETIREDE,ICICI Prudential AMC,2026-08
INE115A07NP6,LIC Housing Finance Ltd. **,50.0,509.94,0.0634700007051,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-08
INE414G07IR6,Muthoot Finance Ltd. **,500.0,500.64,0.0623124703945,CRISIL AA+,RETIREDE,ICICI Prudential AMC,2026-08
INE528G08345,Yes Bank Ltd. **,50.0,499.89,0.062219121176,ICRA AA,RETIREDE,ICICI Prudential AMC,2026-08
INE020B08BO2,Rural Electrification Corporation Ltd. **,40.0,407.5,0.0507197421017,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-08
INE205A08046,Vedanta Ltd.,300.0,303.0,0.0377130843112,CRISIL AA+,RETIREDE,ICICI Prudential AMC,2026-08
INE121A08PT9,Cholamandalam Investment And Finance Company Ltd. **,300.0,302.12,0.0376035545613,ICRA AA+,RETIREDE,ICICI Prudential AMC,2026-08
INE406M08011,Eris Lifesciences Ltd. **,300.0,300.74,0.0374317919991,FITCH AA,RETIREDE,ICICI Prudential AMC,2026-08
INE134E08MI4,Power Finance Corporation Ltd. **,300.0,299.97,0.037335953468,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-08
INE040A08773,HDFC Bank Ltd. **,11.0,109.66,0.0136489004144,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-08
INE556F08KS8,Small Industries Development Bank Of India. **,100.0,99.16,0.0123420113541,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-08
INE134E08IO0,Power Finance Corporation Ltd. **,8.0,79.96,0.0099522713581,CRISIL AAA,RETIREDE,ICICI Prudential AMC,2026-08
