isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE0J1Y01017,Life Insurance Corporation of India,3509403.0,14669.3,0.0716687723059,Insurance,RURALOPP,ICICI Prudential AMC,2026-08
INE040A01034,HDFC Bank Ltd.,2036500.0,14438.79,0.0705425857323,Banks,RURALOPP,ICICI Prudential AMC,2026-08
INE030A01027,Hindustan Unilever Ltd.,721059.0,14186.11,0.0693080847414,Diversified Fmcg,RURALOPP,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,749870.0,13586.89,0.0663805175268,Telecom - Services,RURALOPP,ICICI Prudential AMC,2026-08
INE101A01026,Mahindra & Mahindra Ltd.,402253.0,13201.94,0.0644997942544,Automobiles,RURALOPP,ICICI Prudential AMC,2026-08
INE062A01020,State Bank Of India,1020039.0,10812.41,0.0528254347766,Banks,RURALOPP,ICICI Prudential AMC,2026-08
INE481G01011,Ultratech Cement Ltd.,76525.0,8762.11,0.042808427567,Cement & Cement Products,RURALOPP,ICICI Prudential AMC,2026-08
INE216A01030,Britannia Industries Ltd.,132240.0,6942.6,0.0339189749075,Food Products,RURALOPP,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,45328.0,6140.58,0.0300006019269,Automobiles,RURALOPP,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,133402.0,5791.38,0.0282945399274,Automobiles,RURALOPP,ICICI Prudential AMC,2026-08
INE176B01034,Havells India Ltd.,447362.0,5565.63,0.0271916089526,Consumer Durables,RURALOPP,ICICI Prudential AMC,2026-08
INE121A01024,Cholamandalam Investment And Finance Company Ltd.,293347.0,5448.63,0.0266199902414,Finance,RURALOPP,ICICI Prudential AMC,2026-08
INE0V6F01027,Hyundai Motor India Ltd.,224049.0,4940.28,0.0241363802258,Automobiles,RURALOPP,ICICI Prudential AMC,2026-08
INE259A01022,Colgate - Palmolive (India) Ltd.,247157.0,4690.05,0.0229138490284,Personal Products,RURALOPP,ICICI Prudential AMC,2026-08
INE102D01028,Godrej Consumer Products Ltd.,504500.0,4547.06,0.0222152527933,Personal Products,RURALOPP,ICICI Prudential AMC,2026-08
INE237A01036,Kotak Mahindra Bank Ltd.,1011000.0,4240.13,0.0207157063743,Banks,RURALOPP,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,31767.0,3853.34,0.0188259935428,Automobiles,RURALOPP,ICICI Prudential AMC,2026-08
INE115A01026,LIC Housing Finance Ltd.,686425.0,3695.71,0.0180558716843,Finance,RURALOPP,ICICI Prudential AMC,2026-08
INE208A01029,Ashok Leyland Ltd.,2049433.0,3599.62,0.0175864114966,"Agricultural, Commercial & Construction Vehicles",RURALOPP,ICICI Prudential AMC,2026-08
INE335Y01020,Indian Railway Catering and Tourism Corporation Ltd.,718042.0,3455.58,0.01688268535,Leisure Services,RURALOPP,ICICI Prudential AMC,2026-08
INE795G01014,HDFC Life Insurance Company Ltd.,632575.0,3437.1,0.0167923989074,Insurance,RURALOPP,ICICI Prudential AMC,2026-08
INE154A01025,ITC Ltd.,1321022.0,3375.21,0.0164900272661,Diversified Fmcg,RURALOPP,ICICI Prudential AMC,2026-08
INE660A01013,Sundaram Finance Ltd.,72753.0,3302.99,0.0161371870667,Finance,RURALOPP,ICICI Prudential AMC,2026-08
INE1TAE01010,Tata Motors Ltd.,625000.0,2944.38,0.0143851512888,"Agricultural, Commercial & Construction Vehicles",RURALOPP,ICICI Prudential AMC,2026-08
INE123W01016,SBI Life Insurance Company Ltd.,158765.0,2763.3,0.0135004614066,Insurance,RURALOPP,ICICI Prudential AMC,2026-08
INE435G01025,Dhanuka Agritech Ltd.,268624.0,2622.04,0.0128103173114,Fertilizers & Agrochemicals,RURALOPP,ICICI Prudential AMC,2026-08
INE226A01021,Voltas Ltd.,204708.0,2445.03,0.0119455119433,Consumer Durables,RURALOPP,ICICI Prudential AMC,2026-08
INE296A01032,Bajaj Finance Ltd.,228841.0,2418.85,0.0118176061497,Finance,RURALOPP,ICICI Prudential AMC,2026-08
INE090A01021,ICICI Bank Ltd.,162000.0,2355.48,0.0115080037759,Banks,RURALOPP,ICICI Prudential AMC,2026-08
INE169A01031,Coromandel International Ltd.,109840.0,2093.44,0.0102277732881,Fertilizers & Agrochemicals,RURALOPP,ICICI Prudential AMC,2026-08
INE472A01039,Blue Star Ltd.,140857.0,2061.86,0.0100734850924,Consumer Durables,RURALOPP,ICICI Prudential AMC,2026-08
INE016A01026,Dabur India Ltd.,496214.0,1890.58,0.0092366743843,Personal Products,RURALOPP,ICICI Prudential AMC,2026-08
INE088F01024,Paradeep Phosphates Ltd.,1178183.0,1885.56,0.0092121485216,Fertilizers & Agrochemicals,RURALOPP,ICICI Prudential AMC,2026-08
INE786A01032,JK Lakshmi Cement Ltd.,308977.0,1640.36,0.0080141920432,Cement & Cement Products,RURALOPP,ICICI Prudential AMC,2026-08
INE239A01024,Nestle India Ltd.,105962.0,1585.72,0.0077472412194,Food Products,RURALOPP,ICICI Prudential AMC,2026-08
INE756I01012,HDB Financial Services Ltd.,217083.0,1481.27,0.0072369371649,Finance,RURALOPP,ICICI Prudential AMC,2026-08
INE548C01032,Emami Ltd.,328166.0,1194.52,0.0058359827595,Personal Products,RURALOPP,ICICI Prudential AMC,2026-08
INE640G01020,SBI Funds Management Ltd.,174226.0,1006.16,0.0049157254908,Capital Markets,RURALOPP,ICICI Prudential AMC,2026-08
INE026A01025,Gujarat State Fertilizers and Chemicals Ltd.,618534.0,978.21,0.004779172132,Fertilizers & Agrochemicals,RURALOPP,ICICI Prudential AMC,2026-08
INE299U01018,Crompton Greaves Consumer Electricals Ltd.,349000.0,823.29,0.0040222903309,Consumer Durables,RURALOPP,ICICI Prudential AMC,2026-08
INE258G01013,Sumitomo Chemical India Ltd.,146646.0,758.82,0.0037073137642,Fertilizers & Agrochemicals,RURALOPP,ICICI Prudential AMC,2026-08
INE871C01038,Avanti Feeds Ltd.,91917.0,758.04,0.0037035029727,Food Products,RURALOPP,ICICI Prudential AMC,2026-08
INE340A01012,Birla Corporation Ltd.,82559.0,720.49,0.0035200475659,Cement & Cement Products,RURALOPP,ICICI Prudential AMC,2026-08
INE726G01019,ICICI Prudential Life Insurance Company Ltd.,121131.0,626.31,0.0030599189315,Insurance,RURALOPP,ICICI Prudential AMC,2026-08
INE628A01036,UPL Ltd.,106123.0,596.68,0.0029151577143,Fertilizers & Agrochemicals,RURALOPP,ICICI Prudential AMC,2026-08
INE572E01012,PNB Housing Finance Ltd.,50008.0,574.44,0.0028065013029,Finance,RURALOPP,ICICI Prudential AMC,2026-08
INE531A01024,Kansai Nerolac Paints Ltd.,159047.0,306.66,0.0014982272988,Consumer Durables,RURALOPP,ICICI Prudential AMC,2026-08
