isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
IN0020250018,Government Securities,27187250.0,24680.72,0.0127202832459,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020180041,Government Securities,20000000.0,20620.0,0.0106274144567,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020260025,Government Securities,19793700.0,19776.72,0.0101927934061,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020240118,Government Securities,19756600.0,18657.86,0.0096161402083,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020250075,Government Securities,18178590.0,17500.49,0.0090196392059,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2120250138,State Government of Madhya Pradesh,17160700.0,16910.63,0.008715629182,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2920250171,State Government of Rajasthan,16867000.0,16610.59,0.0085609905092,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2920250213,State Government of Rajasthan,15000000.0,14712.83,0.0075828972959,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020240035,Government Securities,15028500.0,14444.01,0.0074443492088,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2120250120,State Government of Madhya Pradesh,14154600.0,13950.24,0.0071898633487,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN4520250684,State Government of Telangana,13216700.0,13272.54,0.0068405811577,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2220240427,State Government of Maharashtra,13228600.0,12689.92,0.006540302583,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2220250293,State Government of Maharashtra,12681300.0,12521.72,0.0064536133923,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1320250112,State Government of Bihar,11949500.0,11812.07,0.0060878643783,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2220240435,State Government of Maharashtra,11500000.0,11033.36,0.0056865222876,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN3520240083,State Government of Chhattisgarh,11051200.0,10730.85,0.0055306105927,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1920250256,State Government of Karnataka,10550000.0,10433.22,0.0053772140183,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2220250301,State Government of Maharashtra,10000000.0,9857.2,0.0050803370408,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020210137,Government Securities,8545250.0,8775.12,0.0045226400168,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2920250338,State Government of Rajasthan,7765600.0,7721.59,0.0039796574779,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1720250084,State Government of Himachal pradesh,7500000.0,7389.15,0.0038083200549,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN0020200120,Government Securities,6949840.0,7248.22,0.0037356856456,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN4520250528,State Government of Telangana,6194800.0,6016.25,0.0031007362863,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1020250313,State Government of Andhra Pradesh,5555600.0,5525.6,0.002847858454,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1920240257,State Government of Karnataka,4659200.0,4565.39,0.0023529724387,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1620250325,State Government of Haryana,3679300.0,3701.33,0.0019076415107,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN1620250135,State Government of Haryana,3653700.0,3598.96,0.0018548806757,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2220250319,State Government of Maharashtra,2623300.0,2556.2,0.001317448925,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN3420240241,State Government of West Bengal,1733000.0,1675.76,0.0008636758511,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2720250082,State Government of Odisha,1582000.0,1542.87,0.0007951852057,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN2920170122,State Government of Rajasthan,500000.0,508.86,0.0002622631484,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
IN3320170126,State Government of Uttar Pradesh,500000.0,506.46,0.0002610262039,SOV,SHTERM BOND,ICICI Prudential AMC,2026-08
