isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE009A01021,Infosys Ltd.,14864726,168536.26,0.1233705637162,It - Software,TECH,ICICI Prudential AMC,2026-08
INE397D01024,Bharti Airtel Ltd.,8622126,156224.3,0.1143580613285,Telecom - Services,TECH,ICICI Prudential AMC,2026-08
INE669C01036,Tech Mahindra Ltd.,6385113,103949.64,0.0760923832349,It - Software,TECH,ICICI Prudential AMC,2026-08
INE356A01018,Mphasis Ltd.,2549820,61894.33,0.0453073919104,It - Software,TECH,ICICI Prudential AMC,2026-08
INE591G01025,COFORGE Ltd.,2960400,58772.82,0.0430224091515,It - Software,TECH,ICICI Prudential AMC,2026-08
INE214T01019,LTIMindtree Ltd.,815534,37025.24,0.0271029197546,It - Software,TECH,ICICI Prudential AMC,2026-08
INE0W2G01015,Sagility India Ltd,74637433,35116.91,0.0257059993064,It - Services,TECH,ICICI Prudential AMC,2026-08
INE075A01022,Wipro Ltd.,18967000,34994.12,0.0256161155537,It - Software,TECH,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,9768617,32050.83,0.0234615919723,Retailing,TECH,ICICI Prudential AMC,2026-08
INE262H01021,Persistent Systems Ltd.,556867,31153.92,0.0228050430949,It - Software,TECH,ICICI Prudential AMC,2026-08
INE343G01021,Bharti Hexacom Ltd.,1955642,30224.45,0.022124659907,Telecom - Services,TECH,ICICI Prudential AMC,2026-08
INE860A01027,HCL Technologies Ltd.,2213041,29039.52,0.0212572769352,It - Software,TECH,ICICI Prudential AMC,2026-08
INE136B01020,Cyient Ltd.,2293098,26939.32,0.0197199053457,It - Services,TECH,ICICI Prudential AMC,2026-08
INE00H001014,Swiggy Ltd,9076126,25585.6,0.0187289660694,Retailing,TECH,ICICI Prudential AMC,2026-08
INE663F01032,Info Edge (India) Ltd.,1940550,25479.42,0.0186512410359,Retailing,TECH,ICICI Prudential AMC,2026-08
INE093A01041,Hexaware Technologies Ltd.,3681371,20422.41,0.014949449063,It - Software,TECH,ICICI Prudential AMC,2026-08
INE759A01021,Mastek Ltd.,1006648,17600.23,0.0128835794542,It - Software,TECH,ICICI Prudential AMC,2026-08
INE467B01029,Tata Consultancy Services Ltd.,719919,17273.02,0.0126440578097,It - Software,TECH,ICICI Prudential AMC,2026-08
INE0CLI01024,Rategain Travel Technologies Ltd.,1811145,16983.11,0.0124318402126,It - Software,TECH,ICICI Prudential AMC,2026-08
INE933S01016,Indiamart Intermesh Ltd.,938423,16473.08,0.0120584921354,Retailing,TECH,ICICI Prudential AMC,2026-08
INE0BV301023,C.E.Info Systems Ltd.,1543187,15638.66,0.0114476866875,It - Software,TECH,ICICI Prudential AMC,2026-08
INE010V01017,L&T Technology Services Ltd.,415471,14991.86,0.0109742213299,It - Services,TECH,ICICI Prudential AMC,2026-08
INE085001019,Wework India Management Ltd,2129425,14579.11,0.0106720833794,Commercial Services & Supplies,TECH,ICICI Prudential AMC,2026-08
INE066F01020,Hindustan Aeronautics Ltd.,296957,14258.69,0.0104375320963,Aerospace & Defense,TECH,ICICI Prudential AMC,2026-08
INE596I01020,Computer Age Management Services Ltd.,1793394,14024.34,0.0102659850856,Capital Markets,TECH,ICICI Prudential AMC,2026-08
INE0NT901020,Netweb Technologies India,270222,14020.74,0.0102633498424,It - Services,TECH,ICICI Prudential AMC,2026-08
INE417T01026,PB Fintech Ltd.,744958,13967.96,0.0102247142494,Financial Technology (Fintech),TECH,ICICI Prudential AMC,2026-08
INE121R01077,Amagi Media Labs Ltd,2275835,12915.36,0.0094541984247,It - Services,TECH,ICICI Prudential AMC,2026-08
INE04I401011,KPIT Technologies Ltd,2180525,12756.07,0.0093375962342,It - Software,TECH,ICICI Prudential AMC,2026-08
INE745G01043,Multi Commodity Exchange Of India Ltd.,364598,12396.33,0.0090742622395,Capital Markets,TECH,ICICI Prudential AMC,2026-08
INE065X01017,Indegene Ltd.,1864967,11407.07,0.0083501120545,Healthcare Services,TECH,ICICI Prudential AMC,2026-08
