isin,instrument_name,quantity,market_value_lakhs,pct_nav,industry,scheme_name,amc_name,report_month
INE101A01026,Mahindra & Mahindra Ltd.,1585057.0,52021.57,0.1262869840332,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE758T01015,Eternal Ltd.,12042993.0,39513.06,0.0959214644487,Retailing,TRANSPO,ICICI Prudential AMC,2026-08
INE494B01023,TVS Motor Company Ltd.,704957.0,30604.3,0.0742946578784,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE585B01010,Maruti Suzuki India Ltd.,195724.0,26514.73,0.0643668632868,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE0V6F01027,Hyundai Motor India Ltd.,1151826.0,25397.76,0.0616553193531,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE646L01027,Interglobe Aviation Ltd.,476379.0,24933.68,0.0605287239129,Transport Services,TRANSPO,ICICI Prudential AMC,2026-08
INE1TAE01010,Tata Motors Ltd.,4641495.0,21866.08,0.0530818523129,"Agricultural, Commercial & Construction Vehicles",TRANSPO,ICICI Prudential AMC,2026-08
INE917I01010,Bajaj Auto Ltd.,129457.0,15703.13,0.038120743522,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE00H001014,Swiggy Ltd,4822665.0,13595.09,0.0330032890925,Retailing,TRANSPO,ICICI Prudential AMC,2026-08
INE208A01029,Ashok Leyland Ltd.,7112165.0,12491.81,0.0303249788504,"Agricultural, Commercial & Construction Vehicles",TRANSPO,ICICI Prudential AMC,2026-08
INE066A01021,Eicher Motors Ltd.,150111.0,11939.08,0.0289831776574,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE742F01042,Adani Ports and Special Economic Zone Ltd.,734162.0,11695.93,0.0283929094251,Transport Infrastructure,TRANSPO,ICICI Prudential AMC,2026-08
INE775A01035,Samvardhana Motherson International Ltd.,5844590.0,9975.55,0.0242165340948,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE12UN01015,Shadowfax Technologies Ltd,3499300.0,9044.99,0.0219575170013,Transport Services,TRANSPO,ICICI Prudential AMC,2026-08
INE342J01019,ZF Commercial Vehicle Control Systems India Ltd,345330.0,8752.73,0.0212480298798,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE073K01018,Sona Blw Precision Forgings Ltd.,1023798.0,8323.99,0.0202072254302,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE753U01022,Divgi Torqtransfer Systems Ltd,701364.0,8323.09,0.0202050406002,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE726V01018,Pricol Ltd,894416.0,7184.4,0.0174407694363,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE148O01028,Delhivery Ltd.,1291929.0,5893.78,0.0143076746963,Transport Services,TRANSPO,ICICI Prudential AMC,2026-08
INE597I01028,Sharda Motor Industries Ltd,600704.0,5303.62,0.0128750088522,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE323A01026,Bosch Ltd.,8747.0,4373.5,0.0106170598978,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE155A01022,Tata Motors Passenger Vehicles Ltd.,1332482.0,4115.37,0.0099904263843,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE0FS801015,Motherson Sumi Wiring India Ltd.,10490024.0,3859.28,0.009368745152,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE335Y01020,Indian Railway Catering and Tourism Corporation Ltd.,776222.0,3735.57,0.0090684281336,Leisure Services,TRANSPO,ICICI Prudential AMC,2026-08
INE158A01026,Hero Motocorp Ltd.,62263.0,3393.33,0.0082376101207,Automobiles,TRANSPO,ICICI Prudential AMC,2026-08
INE00Q601028,Studds Accessories Ltd.,754569.0,3357.83,0.008151430716,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE645S01024,Rolex Rings Ltd.,1797751.0,3246.56,0.0078813129031,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE284S01014,SJS Enterprises Ltd,121462.0,3022.7,0.0073378728599,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE665L01035,Varroc Engineering Ltd.,300449.0,2589.87,0.0062871395718,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE913H01037,Endurance Technologies Ltd.,89215.0,2561.54,0.0062183659793,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE00XB01019,Sedemac Mechatronics Ltd,82537.0,2549.9,0.0061901088449,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE925R01014,CMS Info Systems Ltd,722196.0,1759.27,0.0042707842612,Commercial Services & Supplies,TRANSPO,ICICI Prudential AMC,2026-08
INE19RI01016,Tenneco Clean Air India Ltd.,330485.0,1749.59,0.004247285201,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE517F01014,Gujarat Pipavav Port Ltd.,861156.0,1442.95,0.0035028893516,Transport Infrastructure,TRANSPO,ICICI Prudential AMC,2026-08
INE0O6601022,Kross Ltd.,677244.0,1440.57,0.0034971116901,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE934S01014,GNA Axles Ltd,182559.0,985.54,0.0023924859292,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE0UIZ01018,Zinka Logistics Solutions Ltd,152471.0,905.37,0.00219786613,Transport Services,TRANSPO,ICICI Prudential AMC,2026-08
INE536H01010,CIE Automotive India Ltd,124606.0,487.27,0.0011828912258,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
INE233B01017,Blue Dart Express Ltd.,7728.0,380.53,0.0009237703905,Transport Services,TRANSPO,ICICI Prudential AMC,2026-08
INE399C01030,Suprajit Engineering Ltd.,47893.0,241.14,0.0005853887787,Auto Components,TRANSPO,ICICI Prudential AMC,2026-08
